t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 0 3 0 0
0.75 9995 2 3 0 0
0.875 9994 3 3 0 0
1 9990 7 3 0 0
1.125 9988 9 3 0 0
1.25 9986 10 4 0 0
1.375 9986 9 5 0 0
1.5 9986 8 6 0 0
1.625 9986 7 7 0 0
1.75 9986 7 7 0 0
1.875 9985 8 7 0 0
2 9985 6 9 0 0
2.125 9984 7 9 0 0
2.25 9983 8 7 2 0
2.375 9983 8 7 2 0
2.5 9983 8 7 2 0
2.625 9982 9 7 2 0
2.75 9981 10 7 2 0
2.875 9979 12 7 2 0
3 9976 14 8 2 0
3.125 9971 18 9 2 0
3.25 9970 16 12 2 0
3.375 9970 15 13 2 0
3.5 9968 14 15 3 0
3.625 9965 15 17 3 0
3.75 9958 22 17 3 0
3.875 9953 27 17 3 0
4 9947 31 19 3 0
4.125 9945 32 20 3 0
4.25 9943 31 21 5 0
4.375 9935 37 23 5 0
4.5 9928 40 27 5 0
4.625 9922 43 30 5 0
4.75 9906 57 32 5 0
4.875 9895 64 36 5 0
5 9880 76 39 5 0
5.125 9872 78 42 8 0
5.25 9858 86 46 10 0
5.375 9837 100 52 11 0
5.5 9825 105 59 11 0
5.625 9807 117 63 13 0
5.75 9792 119 75 14 0
5.875 9771 133 80 16 0
6 9756 139 88 17 0
6.125 9734 153 92 21 0
6.25 9712 162 104 22 0
6.375 9691 177 108 24 0
6.5 9662 192 116 30 0
6.625 9627 215 128 30 0
6.75 9593 237 135 35 0
6.875 9558 260 145 37 0
7 9530 272 152 46 0
7.125 9489 293 169 49 0
7.25 9457 311 180 52 0
7.375 9423 329 191 57 0
7.5 9371 367 200 62 0
7.625 9326 393 216 65 0
7.75 9284 406 238 72 0
7.875 9229 440 255 76 0
8 9175 477 269 79 0
8.125 9128 492 296 84 0
8.25 9074 514 325 87 0
8.375 9017 543 350 90 0
8.5 8963 564 378 95 0
8.625 8891 603 405 101 0
8.75 8826 626 442 106 0
8.875 8753 657 470 120 0
9 8680 691 501 128 0
9.125 8596 724 545 135 0
9.25 8504 771 578 146 1
9.375 8429 798 616 156 1
9.5 8357 822 655 165 1
9.625 8275 839 706 179 1
9.75 8200 861 747 191 1
9.875 8134 874 785 206 1
10 8042 895 826 236 1
10.125 7983 887 877 252 1
10.25 7925 896 906 271 2
10.375 7869 894 940 295 2
10.5 7800 904 978 316 2
10.625 7748 901 1018 331 2
10.75 7690 893 1059 356 2
10.875 7634 889 1088 387 2
11 7577 884 1129 408 2
11.125 7520 892 1152 433 3
11.25 7467 888 1198 444 3
11.375 7424 877 1227 469 3
11.5 7387 866 1247 497 3
11.625 7342 854 1286 515 3
11.75 7288 848 1317 544 3
11.875 7244 848 1330 575 3
12 7199 834 1354 610 3
12.125 7157 819 1389 632 3
12.25 7123 810 1409 655 3
12.375 7078 807 1430 682 3
12.5 7035 799 1444 719 3
12.625 6994 780 1474 749 3
12.75 6967 767 1480 783 3
12.875 6936 757 1490 813 4
13 6906 735 1514 841 4
13.125 6880 715 1527 873 5
13.25 6856 695 1542 901 6
13.375 6822 689 1550 933 6
13.5 6792 678 1557 967 6
13.625 6769 664 1560 1001 6
13.75 6747 639 1570 1038 6
13.875 6735 610 1560 1088 7
14 6713 595 1575 1109 8
14.125 6692 577 1573 1148 10
14.25 6676 565 1573 1176 10
14.375 6656 544 1575 1213 12
14.5 6642 522 1580 1244 12
14.625 6623 508 1583 1273 13
14.75 6615 478 1585 1308 14
14.875 6601 466 1580 1339 14
15 6596 451 1574 1365 14
15.125 6583 438 1559 1405 15
15.25 6570 437 1544 1434 15
15.375 6553 431 1532 1469 15
15.5 6544 411 1529 1500 16
15.625 6534 393 1529 1527 17
15.75 6525 379 1524 1555 17
15.875 6516 368 1507 1591 18
16 6511 350 1495 1626 18
16.125 6504 328 1490 1659 19
16.25 6501 316 1471 1693 19
16.375 6494 304 1455 1728 19
16.5 6488 291 1445 1756 20
16.625 6482 274 1440 1782 22
16.75 6476 263 1432 1806 23
16.875 6470 251 1411 1844 24
17 6466 241 1394 1872 27
17.125 6461 227 1388 1896 28
17.25 6459 215 1374 1924 28
17.375 6454 208 1366 1944 28
17.5 6453 198 1346 1974 29
17.625 6452 185 1339 1995 29
17.75 6443 181 1318 2029 29
17.875 6442 170 1305 2054 29
18 6433 168 1290 2079 30
18.125 6429 159 1278 2104 30
18.25 6428 146 1267 2129 30
18.375 6427 141 1251 2151 30
18.5 6424 137 1233 2175 31
18.625 6423 127 1223 2196 31
18.75 6420 122 1213 2214 31
18.875 6418 119 1200 2232 31
19 6416 107 1182 2264 31
19.125 6413 103 1167 2286 31
19.25 6412 98 1147 2312 31
19.375 6412 86 1136 2335 31
19.5 6410 84 1121 2354 31
19.625 6410 80 1106 2373 31
19.75 6406 77 1088 2398 31
19.875 6406 72 1076 2414 32
20 6404 70 1057 2437 32
20.125 6402 69 1037 2459 33
20.25 6401 63 1009 2493 34
20.375 6400 57 995 2514 34
20.5 6399 56 970 2541 34
20.625 6396 56 951 2563 34
20.75 6392 52 934 2588 34
20.875 6391 50 911 2614 34
21 6388 51 896 2631 34
21.125 6388 46 882 2649 35
21.25 6388 42 866 2668 36
21.375 6388 40 849 2687 36
21.5 6388 38 841 2697 36
21.625 6387 35 839 2703 36
21.75 6385 33 820 2726 36
21.875 6385 30 801 2748 36
22 6385 29 782 2768 36
22.125 6385 28 763 2788 36
22.25 6384 29 752 2799 36
22.375 6383 30 738 2811 38
22.5 6383 28 718 2833 38
22.625 6382 27 703 2850 38
