t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9997 1 2 0 0
1.75 9996 2 2 0 0
1.875 9996 1 3 0 0
2 9995 2 2 1 0
2.125 9995 1 3 1 0
2.25 9995 1 3 1 0
2.375 9995 1 3 1 0
2.5 9995 1 3 1 0
2.625 9994 2 3 1 0
2.75 9993 3 3 1 0
2.875 9993 2 4 1 0
3 9993 1 5 1 0
3.125 9993 1 5 1 0
3.25 9992 2 5 1 0
3.375 9992 2 4 2 0
3.5 9992 2 4 2 0
3.625 9992 2 4 2 0
3.75 9992 2 4 2 0
3.875 9992 2 4 2 0
4 9992 2 4 2 0
4.125 9991 2 5 2 0
4.25 9991 2 5 2 0
4.375 9991 2 5 2 0
4.5 9990 3 5 2 0
4.625 9990 3 5 2 0
4.75 9990 3 5 2 0
4.875 9990 2 6 2 0
5 9989 3 5 3 0
5.125 9989 3 5 3 0
5.25 9989 3 4 4 0
5.375 9988 3 5 4 0
5.5 9988 3 5 4 0
5.625 9986 5 5 4 0
5.75 9985 5 6 4 0
5.875 9983 7 6 4 0
6 9983 6 6 5 0
6.125 9983 6 6 5 0
6.25 9982 7 6 5 0
6.375 9981 8 6 5 0
6.5 9979 10 6 5 0
6.625 9979 10 6 5 0
6.75 9978 11 6 5 0
6.875 9978 10 7 5 0
7 9977 11 7 5 0
7.125 9976 11 8 5 0
7.25 9974 13 7 6 0
7.375 9971 15 8 6 0
7.5 9969 16 9 6 0
7.625 9968 17 9 6 0
7.75 9966 19 9 6 0
7.875 9966 18 10 6 0
8 9962 20 12 6 0
8.125 9956 24 12 8 0
8.25 9945 31 15 9 0
8.375 9940 34 16 10 0
8.5 9932 40 16 11 1
