t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9995 3 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 2 3 0 0
1.5 9995 2 2 1 0
1.625 9995 2 2 1 0
1.75 9995 2 2 1 0
1.875 9995 2 1 2 0
2 9995 2 1 2 0
2.125 9995 2 1 2 0
2.25 9994 3 1 2 0
2.375 9994 3 1 2 0
2.5 9994 3 1 2 0
2.625 9994 3 1 2 0
2.75 9994 3 1 2 0
2.875 9994 3 1 2 0
3 9994 3 1 2 0
3.125 9994 1 3 2 0
3.25 9994 1 3 2 0
3.375 9993 2 3 2 0
3.5 9993 2 3 2 0
3.625 9993 2 3 2 0
3.75 9993 2 3 2 0
3.875 9993 2 3 2 0
4 9993 2 3 2 0
4.125 9992 3 3 2 0
4.25 9991 3 4 2 0
4.375 9991 2 5 2 0
4.5 9991 2 5 2 0
4.625 9991 2 5 2 0
4.75 9990 3 5 2 0
4.875 9990 3 5 2 0
5 9990 3 5 2 0
5.125 9990 3 5 2 0
5.25 9990 3 5 2 0
5.375 9989 3 6 2 0
5.5 9988 4 6 2 0
5.625 9988 4 6 2 0
5.75 9988 3 7 2 0
5.875 9988 3 7 2 0
6 9986 5 7 2 0
6.125 9984 7 7 2 0
6.25 9984 7 7 2 0
6.375 9984 6 8 2 0
6.5 9983 7 8 2 0
6.625 9982 7 9 2 0
6.75 9981 8 9 2 0
6.875 9980 8 10 2 0
7 9980 8 9 2 1
7.125 9980 7 10 2 1
7.25 9977 9 11 2 1
7.375 9974 12 11 2 1
7.5 9973 13 11 2 1
7.625 9973 13 11 2 1
7.75 9970 15 11 3 1
7.875 9968 16 12 3 1
8 9965 19 12 3 1
8.125 9963 21 12 3 1
8.25 9963 17 16 3 1
8.375 9963 15 16 5 1
8.5 9963 15 16 5 1
