t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9996 2 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9996 2 2 0 0
2.125 9995 3 2 0 0
2.25 9995 3 2 0 0
2.375 9995 3 2 0 0
2.5 9995 3 2 0 0
2.625 9995 3 1 1 0
2.75 9995 3 1 1 0
2.875 9995 3 1 1 0
3 9995 2 2 1 0
3.125 9993 3 2 2 0
3.25 9992 4 2 2 0
3.375 9992 3 3 2 0
3.5 9992 3 3 2 0
3.625 9992 3 3 2 0
3.75 9991 4 3 2 0
3.875 9991 3 4 2 0
4 9990 4 4 2 0
4.125 9989 5 4 2 0
4.25 9985 9 4 2 0
4.375 9982 11 5 2 0
4.5 9979 14 5 2 0
4.625 9975 18 5 2 0
4.75 9972 20 5 3 0
4.875 9972 18 7 3 0
5 9970 19 8 3 0
5.125 9968 21 8 3 0
5.25 9966 22 9 3 0
5.375 9962 26 9 3 0
5.5 9962 23 12 3 0
5.625 9960 25 12 3 0
5.75 9956 27 14 3 0
5.875 9951 30 16 3 0
6 9949 32 14 5 0
6.125 9944 33 18 5 0
6.25 9939 37 19 5 0
6.375 9936 39 20 5 0
6.5 9933 38 23 6 0
6.625 9927 42 25 6 0
6.75 9924 42 28 6 0
6.875 9921 43 29 7 0
7 9915 45 30 10 0
7.125 9908 50 31 11 0
7.25 9899 55 35 11 0
7.375 9891 60 38 11 0
7.5 9887 61 41 11 0
7.625 9879 66 43 12 0
7.75 9870 72 44 14 0
7.875 9861 75 50 14 0
8 9851 79 56 14 0
8.125 9837 88 60 15 0
8.25 9826 93 66 15 0
8.375 9810 101 71 18 0
8.5 9801 101 79 19 0
