t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9997 1 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9995 3 2 0 0
1.875 9995 3 2 0 0
2 9995 3 2 0 0
2.125 9994 4 2 0 0
2.25 9994 4 2 0 0
2.375 9994 4 2 0 0
2.5 9994 4 2 0 0
2.625 9994 4 2 0 0
2.75 9993 5 2 0 0
2.875 9993 5 2 0 0
3 9993 4 2 1 0
3.125 9993 4 2 1 0
3.25 9993 4 2 1 0
3.375 9993 4 2 1 0
3.5 9993 3 3 1 0
3.625 9993 2 4 1 0
3.75 9990 5 3 2 0
3.875 9990 5 3 2 0
4 9988 7 3 2 0
4.125 9988 7 3 2 0
4.25 9987 8 3 2 0
4.375 9986 9 3 2 0
4.5 9984 11 3 2 0
4.625 9983 12 3 2 0
4.75 9982 12 4 2 0
4.875 9982 12 4 2 0
5 9980 13 5 2 0
5.125 9978 14 6 2 0
5.25 9977 15 6 2 0
5.375 9975 17 6 2 0
5.5 9973 18 7 2 0
5.625 9969 21 8 2 0
5.75 9964 22 12 2 0
5.875 9962 22 14 2 0
6 9956 28 14 2 0
6.125 9955 25 17 3 0
6.25 9951 26 20 3 0
6.375 9948 27 21 4 0
6.5 9942 32 22 4 0
6.625 9933 39 22 6 0
6.75 9928 40 26 6 0
6.875 9917 48 29 6 0
7 9907 56 30 7 0
7.125 9903 55 34 8 0
7.25 9902 53 37 8 0
7.375 9896 54 41 9 0
7.5 9887 60 43 10 0
7.625 9880 63 45 12 0
7.75 9876 63 47 14 0
7.875 9855 79 50 16 0
8 9843 84 57 16 0
8.125 9836 88 59 17 0
8.25 9828 90 63 19 0
8.375 9812 99 70 19 0
8.5 9800 100 81 19 0
