t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9995 3 2 0 0
0.375 9994 4 2 0 0
0.5 9991 7 2 0 0
0.625 9990 8 2 0 0
0.75 9989 7 4 0 0
0.875 9987 9 4 0 0
1 9987 9 4 0 0
1.125 9987 8 5 0 0
1.25 9987 8 4 1 0
1.375 9987 7 5 1 0
1.5 9986 8 5 1 0
1.625 9986 8 5 1 0
1.75 9984 10 5 1 0
1.875 9982 12 5 1 0
2 9981 13 5 1 0
2.125 9979 15 4 2 0
2.25 9979 15 4 2 0
2.375 9977 15 6 2 0
2.5 9976 16 6 2 0
2.625 9976 15 7 2 0
2.75 9967 23 7 3 0
2.875 9967 23 7 3 0
3 9965 24 8 3 0
3.125 9964 24 9 3 0
3.25 9963 24 10 3 0
3.375 9963 21 13 3 0
3.5 9962 20 15 3 0
3.625 9961 20 16 3 0
3.75 9960 20 17 3 0
3.875 9957 23 16 4 0
4 9953 24 19 4 0
4.125 9951 26 18 5 0
4.25 9947 30 18 5 0
4.375 9944 31 20 5 0
4.5 9943 30 22 5 0
4.625 9937 33 24 6 0
4.75 9933 35 26 6 0
4.875 9930 35 27 8 0
5 9927 35 30 8 0
5.125 9920 42 30 8 0
5.25 9916 42 34 8 0
5.375 9908 45 39 8 0
5.5 9902 50 39 9 0
5.625 9899 49 43 9 0
5.75 9888 58 45 9 0
5.875 9881 59 51 9 0
6 9869 67 54 10 0
6.125 9857 76 56 11 0
6.25 9833 93 62 12 0
6.375 9815 105 68 12 0
6.5 9799 116 73 12 0
6.625 9783 126 79 12 0
6.75 9762 139 84 15 0
6.875 9743 153 89 15 0
7 9723 161 101 15 0
7.125 9703 170 109 18 0
7.25 9682 181 116 21 0
7.375 9664 191 117 28 0
7.5 9642 195 132 31 0
7.625 9614 213 136 37 0
7.75 9583 230 147 40 0
7.875 9562 240 153 45 0
8 9524 262 167 47 0
8.125 9493 281 176 50 0
8.25 9459 295 189 57 0
8.375 9430 304 206 60 0
8.5 9396 319 221 64 0
8.625 9364 334 236 66 0
8.75 9338 340 251 71 0
8.875 9301 357 260 81 1
9 9296 343 272 88 1
9.125 9290 329 287 93 1
9.25 9288 308 305 97 2
9.375 9286 293 312 106 3
9.5 9284 280 320 113 3
9.625 9283 258 330 126 3
9.75 9279 242 343 133 3
9.875 9279 232 348 138 3
10 9279 212 362 144 3
10.125 9277 201 367 151 4
10.25 9274 193 370 159 4
10.375 9273 184 374 165 4
10.5 9270 177 377 172 4
10.625 9270 168 383 175 4
10.75 9269 161 382 184 4
10.875 9266 158 379 193 4
11 9265 148 384 199 4
11.125 9265 139 383 209 4
11.25 9264 129 383 220 4
11.375 9264 125 374 233 4
11.5 9262 122 376 236 4
11.625 9262 109 381 244 4
11.75 9262 105 381 248 4
11.875 9258 103 377 258 4
12 9255 103 372 266 4
12.125 9255 97 374 270 4
12.25 9254 90 372 280 4
12.375 9253 85 368 290 4
12.5 9250 85 361 300 4
12.625 9249 79 362 306 4
12.75 9249 76 352 319 4
12.875 9248 74 348 326 4
13 9247 74 342 333 4
13.125 9246 70 341 339 4
13.25 9243 70 333 349 5
13.375 9242 65 333 355 5
13.5 9240 65 329 361 5
13.625 9239 61 330 365 5
13.75 9237 59 327 372 5
13.875 9237 51 330 377 5
14 9234 50 324 387 5
14.125 9233 47 320 395 5
14.25 9233 44 318 400 5
14.375 9229 45 315 406 5
14.5 9229 41 315 410 5
14.625 9228 39 313 415 5
14.75 9228 38 308 421 5
14.875 9228 38 298 431 5
15 9227 33 296 439 5
15.125 9227 30 292 446 5
15.25 9225 30 290 450 5
15.375 9225 29 286 455 5
15.5 9222 29 282 462 5
15.625 9219 31 277 468 5
15.75 9219 29 272 475 5
15.875 9219 26 268 482 5
16 9219 25 265 486 5
16.125 9216 27 258 494 5
16.25 9215 28 254 498 5
16.375 9214 29 251 501 5
16.5 9214 29 244 508 5
16.625 9213 30 240 512 5
16.75 9212 29 237 517 5
16.875 9212 27 234 522 5
17 9211 26 230 528 5
17.125 9210 27 225 533 5
17.25 9210 23 225 537 5
17.375 9210 23 224 538 5
17.5 9210 20 220 545 5
17.625 9208 22 215 550 5
17.75 9208 20 211 556 5
17.875 9208 20 209 558 5
18 9207 20 206 562 5
18.125 9207 20 203 565 5
18.25 9207 18 203 567 5
18.375 9207 18 197 572 6
18.5 9207 15 197 575 6
18.625 9207 15 188 584 6
18.75 9206 16 184 588 6
18.875 9206 16 180 592 6
19 9205 15 177 597 6
19.125 9204 16 173 601 6
19.25 9204 16 171 603 6
19.375 9202 17 171 604 6
19.5 9202 14 170 608 6
19.625 9202 14 162 616 6
19.75 9202 12 159 621 6
19.875 9202 11 159 622 6
20 9202 10 157 625 6
20.125 9202 10 154 628 6
20.25 9202 10 151 631 6
20.375 9202 10 146 636 6
20.5 9201 11 143 639 6
20.625 9200 11 143 640 6
20.75 9200 11 141 642 6
20.875 9200 11 139 644 6
21 9200 11 137 646 6
21.125 9200 10 136 648 6
21.25 9200 10 135 649 6
21.375 9200 10 134 650 6
21.5 9200 10 132 652 6
21.625 9199 11 127 657 6
21.75 9199 9 126 660 6
21.875 9199 9 121 665 6
22 9199 9 117 669 6
22.125 9198 10 114 672 6
22.25 9198 9 115 672 6
22.375 9198 8 115 673 6
22.5 9198 6 116 674 6
22.625 9197 7 116 674 6
22.75 9197 7 114 676 6
22.875 9196 8 112 678 6
23 9196 7 113 678 6
23.125 9196 5 114 679 6
23.25 9196 5 110 683 6
23.375 9196 5 109 684 6
23.5 9196 5 108 685 6
23.625 9195 6 104 689 6
23.75 9194 6 104 690 6
23.875 9194 6 101 693 6
