t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 1 3 0 0
1.625 9996 0 3 1 0
1.75 9989 7 3 1 0
1.875 9987 8 4 1 0
2 9986 9 4 1 0
2.125 9983 11 5 1 0
2.25 9977 15 7 1 0
2.375 9964 27 8 1 0
2.5 9958 32 9 1 0
2.625 9947 40 12 1 0
2.75 9936 50 13 1 0
2.875 9927 58 14 1 0
3 9920 63 16 1 0
3.125 9908 71 20 1 0
3.25 9896 79 24 1 0
3.375 9885 85 29 1 0
3.5 9877 87 35 1 0
3.625 9861 98 39 2 0
3.75 9849 105 44 2 0
3.875 9837 110 50 3 0
4 9815 123 57 5 0
4.125 9799 134 61 6 0
4.25 9777 144 72 7 0
4.375 9757 158 76 9 0
4.5 9733 171 85 11 0
4.625 9710 184 92 14 0
4.75 9678 204 102 16 0
4.875 9654 213 116 17 0
5 9628 227 125 20 0
5.125 9597 248 130 25 0
5.25 9563 267 141 29 0
5.375 9538 270 159 33 0
5.5 9507 286 168 39 0
5.625 9485 295 178 42 0
5.75 9445 321 188 46 0
5.875 9413 330 209 48 0
6 9379 345 225 51 0
6.125 9316 383 242 58 1
6.25 9278 393 262 66 1
6.375 9224 423 281 71 1
6.5 9182 434 302 81 1
6.625 9140 442 328 89 1
6.75 9087 466 353 93 1
6.875 9042 481 375 101 1
7 8984 507 402 106 1
7.125 8933 531 425 110 1
7.25 8893 540 440 126 1
7.375 8855 540 465 138 2
7.5 8808 551 493 146 2
7.625 8752 567 522 156 3
7.75 8711 581 541 164 3
7.875 8673 585 561 178 3
8 8635 581 590 191 3
8.125 8604 571 616 206 3
8.25 8571 553 657 216 3
8.375 8538 550 678 231 3
8.5 8510 547 697 243 3
