t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9997 1 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9995 2 3 0 0
1.875 9995 2 3 0 0
2 9994 3 3 0 0
2.125 9994 3 3 0 0
2.25 9994 3 3 0 0
2.375 9994 2 4 0 0
2.5 9994 2 4 0 0
2.625 9994 2 4 0 0
2.75 9993 3 4 0 0
2.875 9993 3 4 0 0
3 9991 5 4 0 0
3.125 9991 4 5 0 0
3.25 9990 5 5 0 0
3.375 9990 5 4 1 0
3.5 9990 5 4 1 0
3.625 9990 5 4 1 0
3.75 9990 5 4 1 0
3.875 9990 4 5 1 0
4 9990 4 5 1 0
4.125 9990 4 5 1 0
4.25 9990 4 5 1 0
4.375 9990 4 5 1 0
4.5 9990 4 5 1 0
4.625 9989 5 5 1 0
4.75 9989 5 5 1 0
4.875 9989 4 6 1 0
5 9984 9 6 1 0
5.125 9984 8 7 1 0
5.25 9981 11 7 1 0
5.375 9980 12 7 1 0
5.5 9980 12 7 1 0
5.625 9979 13 7 1 0
5.75 9978 14 7 1 0
5.875 9977 14 8 1 0
6 9977 12 9 2 0
6.125 9977 10 11 2 0
6.25 9976 11 11 2 0
6.375 9975 12 11 2 0
6.5 9971 15 11 3 0
6.625 9970 15 12 3 0
6.75 9967 17 13 3 0
6.875 9966 17 13 4 0
7 9965 17 14 4 0
7.125 9965 15 16 4 0
7.25 9964 16 15 5 0
7.375 9963 16 16 5 0
7.5 9962 16 17 5 0
7.625 9961 15 19 5 0
7.75 9958 18 19 5 0
7.875 9949 26 20 5 0
8 9946 29 20 5 0
8.125 9945 28 22 5 0
8.25 9939 34 21 6 0
8.375 9933 39 20 8 0
8.5 9930 37 25 8 0
