t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9996 1 3 0 0
0.625 9995 2 3 0 0
0.75 9993 4 3 0 0
0.875 9990 7 2 1 0
1 9990 7 2 1 0
1.125 9990 7 2 1 0
1.25 9990 7 2 1 0
1.375 9990 6 3 1 0
1.5 9988 8 3 1 0
1.625 9988 8 3 1 0
1.75 9987 7 5 1 0
1.875 9983 10 6 1 0
2 9983 10 6 1 0
2.125 9981 10 8 1 0
2.25 9980 10 9 1 0
2.375 9975 14 10 1 0
2.5 9972 17 10 1 0
2.625 9968 21 10 1 0
2.75 9967 20 12 1 0
2.875 9965 21 13 1 0
3 9961 24 14 1 0
3.125 9959 25 15 1 0
3.25 9957 26 16 1 0
3.375 9954 27 18 1 0
3.5 9953 26 20 1 0
3.625 9948 30 21 1 0
3.75 9942 35 21 2 0
3.875 9938 37 21 4 0
4 9929 43 23 5 0
4.125 9926 45 24 5 0
4.25 9922 49 23 6 0
4.375 9915 53 25 7 0
4.5 9907 58 28 7 0
4.625 9904 59 29 8 0
4.75 9897 63 32 8 0
4.875 9885 70 37 8 0
5 9873 80 39 8 0
5.125 9868 80 43 9 0
5.25 9855 83 53 9 0
5.375 9843 83 64 10 0
5.5 9829 92 68 11 0
5.625 9805 111 71 13 0
5.75 9786 126 74 14 0
5.875 9767 135 82 16 0
6 9757 134 91 18 0
6.125 9731 151 99 19 0
6.25 9713 156 111 20 0
6.375 9693 167 117 23 0
6.5 9674 171 128 27 0
6.625 9650 185 134 31 0
6.75 9612 211 143 34 0
6.875 9586 224 154 36 0
7 9557 239 166 38 0
7.125 9530 249 179 42 0
7.25 9491 271 192 46 0
7.375 9449 298 204 49 0
7.5 9405 329 213 53 0
7.625 9370 343 229 58 0
7.75 9328 358 252 62 0
7.875 9288 372 273 67 0
8 9240 405 282 73 0
8.125 9185 434 304 77 0
8.25 9121 477 319 83 0
8.375 9044 525 341 90 0
8.5 8983 551 372 93 1
