t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9996 2 2 0 0
2.25 9996 2 2 0 0
2.375 9996 2 2 0 0
2.5 9996 2 2 0 0
2.625 9996 2 2 0 0
2.75 9996 1 3 0 0
2.875 9996 1 3 0 0
3 9996 1 3 0 0
3.125 9996 1 3 0 0
3.25 9995 2 3 0 0
3.375 9995 2 3 0 0
3.5 9995 2 3 0 0
3.625 9995 2 3 0 0
3.75 9995 2 3 0 0
3.875 9994 3 3 0 0
4 9994 3 3 0 0
4.125 9994 3 2 1 0
4.25 9994 2 3 1 0
4.375 9994 2 3 1 0
4.5 9993 3 3 1 0
4.625 9993 3 3 1 0
4.75 9993 3 3 1 0
4.875 9993 3 3 1 0
5 9993 2 4 1 0
5.125 9992 3 4 1 0
5.25 9992 3 4 1 0
5.375 9990 4 5 1 0
5.5 9990 4 5 1 0
5.625 9990 3 6 1 0
5.75 9990 3 6 1 0
5.875 9986 7 6 1 0
6 9986 6 7 1 0
6.125 9984 7 8 1 0
6.25 9983 7 9 1 0
6.375 9982 7 10 1 0
6.5 9978 11 9 2 0
6.625 9978 10 10 2 0
6.75 9974 14 10 2 0
6.875 9971 16 11 2 0
7 9968 18 11 3 0
7.125 9965 21 10 4 0
7.25 9962 23 11 4 0
7.375 9959 24 13 4 0
7.5 9954 28 13 5 0
7.625 9952 29 14 5 0
7.75 9947 34 14 5 0
7.875 9943 35 16 6 0
8 9942 33 19 6 0
8.125 9936 37 21 6 0
8.25 9931 42 20 7 0
8.375 9920 49 23 8 0
8.5 9911 55 26 8 0
