t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 0 3 0 0
0.5 9996 1 3 0 0
0.625 9995 2 3 0 0
0.75 9995 2 2 1 0
0.875 9994 3 2 1 0
1 9994 3 2 1 0
1.125 9994 3 2 1 0
1.25 9994 3 2 1 0
1.375 9994 3 2 1 0
1.5 9993 4 2 1 0
1.625 9993 4 2 1 0
1.75 9991 6 2 1 0
1.875 9990 7 2 1 0
2 9990 7 2 1 0
2.125 9990 7 2 1 0
2.25 9989 7 3 1 0
2.375 9987 9 3 1 0
2.5 9987 9 3 1 0
2.625 9987 8 4 1 0
2.75 9985 10 4 1 0
2.875 9984 11 4 1 0
3 9983 12 4 1 0
3.125 9982 11 6 1 0
3.25 9980 13 6 1 0
3.375 9980 13 5 2 0
3.5 9980 13 4 3 0
3.625 9980 13 4 3 0
3.75 9980 12 5 3 0
3.875 9980 11 6 3 0
4 9980 10 6 3 1
4.125 9980 9 7 3 1
4.25 9980 7 9 3 1
4.375 9980 7 8 3 2
4.5 9980 7 8 3 2
4.625 9980 7 7 4 2
4.75 9980 6 8 4 2
4.875 9980 5 8 5 2
5 9980 4 9 5 2
5.125 9979 5 7 7 2
5.25 9979 5 7 7 2
5.375 9979 5 7 7 2
5.5 9979 4 8 7 2
5.625 9979 4 8 7 2
5.75 9979 4 8 7 2
5.875 9978 5 8 7 2
6 9978 4 8 8 2
6.125 9978 3 9 8 2
6.25 9978 3 9 8 2
6.375 9978 3 9 8 2
6.5 9978 3 9 8 2
6.625 9977 4 9 8 2
6.75 9977 4 9 8 2
6.875 9977 4 9 8 2
7 9977 3 9 9 2
7.125 9976 4 8 10 2
7.25 9976 4 8 10 2
7.375 9976 4 8 10 2
7.5 9976 3 9 10 2
7.625 9976 3 9 10 2
7.75 9976 2 10 10 2
7.875 9976 2 10 10 2
8 9976 2 10 10 2
8.125 9976 2 10 10 2
8.25 9976 2 10 10 2
8.375 9976 2 10 10 2
8.5 9976 2 10 10 2
8.625 9976 1 11 10 2
8.75 9976 1 10 11 2
8.875 9976 1 9 12 2
9 9976 1 9 12 2
9.125 9976 1 9 12 2
9.25 9975 2 9 12 2
9.375 9975 2 9 12 2
9.5 9975 2 9 12 2
9.625 9974 2 10 12 2
9.75 9974 2 10 12 2
9.875 9974 2 10 12 2
10 9974 1 11 12 2
10.125 9974 0 11 13 2
10.25 9974 0 11 13 2
10.375 9974 0 11 13 2
10.5 9974 0 11 13 2
10.625 9974 0 11 13 2
10.75 9974 0 11 13 2
10.875 9974 0 10 14 2
11 9974 0 9 15 2
11.125 9974 0 9 15 2
11.25 9974 0 9 15 2
11.375 9974 0 9 15 2
11.5 9974 0 9 15 2
11.625 9974 0 9 15 2
11.75 9974 0 9 15 2
11.875 9974 0 9 15 2
12 9974 0 9 15 2
12.125 9974 0 9 15 2
12.25 9974 0 9 15 2
12.375 9974 0 9 15 2
12.5 9974 0 9 15 2
12.625 9974 0 9 15 2
12.75 9974 0 9 15 2
12.875 9974 0 9 15 2
13 9974 0 9 15 2
13.125 9974 0 9 15 2
13.25 9974 0 9 15 2
13.375 9974 0 9 15 2
13.5 9974 0 9 15 2
13.625 9974 0 9 15 2
13.75 9974 0 9 15 2
13.875 9974 0 9 15 2
14 9974 0 9 15 2
14.125 9974 0 9 15 2
14.25 9974 0 9 15 2
14.375 9974 0 9 15 2
14.5 9974 0 9 15 2
14.625 9974 0 9 15 2
14.75 9974 0 9 15 2
14.875 9974 0 9 15 2
15 9974 0 9 15 2
15.125 9974 0 8 16 2
15.25 9974 0 8 16 2
15.375 9974 0 8 16 2
15.5 9973 1 8 16 2
15.625 9973 1 8 16 2
15.75 9973 0 9 16 2
15.875 9973 0 9 16 2
16 9973 0 9 16 2
16.125 9973 0 9 16 2
16.25 9973 0 9 16 2
16.375 9973 0 8 17 2
16.5 9973 0 8 17 2
16.625 9973 0 8 17 2
16.75 9973 0 8 17 2
16.875 9973 0 8 17 2
17 9973 0 6 19 2
17.125 9972 1 6 19 2
17.25 9972 1 6 19 2
17.375 9972 1 6 19 2
17.5 9972 1 6 19 2
17.625 9972 1 5 20 2
17.75 9972 1 5 20 2
17.875 9972 1 5 20 2
18 9972 0 6 20 2
18.125 9972 0 6 20 2
18.25 9972 0 6 20 2
18.375 9972 0 6 20 2
18.5 9972 0 6 20 2
18.625 9972 0 6 20 2
18.75 9972 0 6 20 2
18.875 9972 0 6 20 2
19 9972 0 6 20 2
19.125 9971 1 6 20 2
19.25 9971 1 6 20 2
19.375 9971 1 6 20 2
19.5 9971 1 6 20 2
19.625 9970 1 7 20 2
19.75 9970 1 7 20 2
19.875 9970 1 6 21 2
20 9970 1 5 22 2
20.125 9970 1 5 22 2
20.25 9970 0 6 22 2
20.375 9970 0 6 22 2
20.5 9970 0 6 22 2
20.625 9970 0 6 22 2
20.75 9970 0 6 22 2
20.875 9970 0 5 23 2
21 9970 0 5 23 2
21.125 9970 0 5 23 2
21.25 9970 0 5 23 2
21.375 9970 0 5 23 2
21.5 9970 0 5 23 2
21.625 9970 0 5 23 2
21.75 9970 0 4 24 2
21.875 9970 0 4 24 2
22 9970 0 4 24 2
22.125 9970 0 4 24 2
22.25 9970 0 4 24 2
22.375 9970 0 4 24 2
22.5 9970 0 4 24 2
22.625 9970 0 4 24 2
22.75 9970 0 4 24 2
22.875 9970 0 3 25 2
23 9970 0 3 25 2
23.125 9970 0 3 25 2
23.25 9970 0 3 25 2
23.375 9970 0 3 25 2
23.5 9970 0 3 25 2
23.625 9970 0 2 26 2
23.75 9970 0 2 26 2
23.875 9970 0 2 26 2
