t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 1 1 0
1.5 9997 1 1 1 0
1.625 9997 1 1 1 0
1.75 9996 2 1 1 0
1.875 9996 2 1 1 0
2 9996 2 1 1 0
2.125 9996 2 1 1 0
2.25 9996 2 1 1 0
2.375 9996 2 1 1 0
2.5 9996 2 1 1 0
2.625 9996 2 1 1 0
2.75 9996 1 2 1 0
2.875 9996 1 2 1 0
3 9996 1 2 1 0
3.125 9995 2 2 1 0
3.25 9995 2 2 1 0
3.375 9995 2 2 1 0
3.5 9994 3 2 1 0
3.625 9993 4 2 1 0
3.75 9993 4 2 1 0
3.875 9992 5 2 1 0
4 9992 5 2 1 0
4.125 9992 5 2 1 0
4.25 9992 5 2 1 0
4.375 9992 5 1 2 0
4.5 9992 5 1 2 0
4.625 9992 5 1 2 0
4.75 9991 6 1 2 0
4.875 9991 6 1 2 0
5 9991 4 3 2 0
5.125 9989 6 3 2 0
5.25 9988 7 3 2 0
5.375 9987 8 3 2 0
5.5 9985 10 3 2 0
5.625 9985 8 5 2 0
5.75 9985 8 5 2 0
5.875 9984 9 5 2 0
6 9981 11 6 2 0
6.125 9979 13 6 2 0
6.25 9979 11 8 2 0
6.375 9963 26 9 2 0
6.5 9949 39 9 3 0
6.625 9947 39 11 3 0
6.75 9946 37 14 3 0
6.875 9942 37 18 3 0
7 9936 42 19 3 0
7.125 9927 48 22 3 0
7.25 9920 54 23 3 0
7.375 9915 56 26 3 0
7.5 9910 58 29 3 0
7.625 9902 62 33 3 0
7.75 9887 72 37 4 0
7.875 9879 73 44 4 0
8 9867 83 46 4 0
8.125 9857 84 54 5 0
8.25 9845 92 55 8 0
8.375 9841 90 60 9 0
8.5 9829 97 62 12 0
