t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9998 1 1 0 0
1 9997 2 1 0 0
1.125 9997 2 1 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9995 3 2 0 0
1.875 9995 3 2 0 0
2 9995 2 3 0 0
2.125 9995 1 4 0 0
2.25 9995 1 4 0 0
2.375 9994 2 4 0 0
2.5 9994 2 4 0 0
2.625 9994 2 4 0 0
2.75 9993 3 4 0 0
2.875 9992 4 4 0 0
3 9992 4 4 0 0
3.125 9992 4 4 0 0
3.25 9991 5 4 0 0
3.375 9989 6 5 0 0
3.5 9987 8 5 0 0
3.625 9985 10 5 0 0
3.75 9984 8 8 0 0
3.875 9982 10 8 0 0
4 9982 9 9 0 0
4.125 9982 8 9 1 0
4.25 9982 8 9 1 0
4.375 9981 9 9 1 0
4.5 9981 9 9 1 0
4.625 9980 10 9 1 0
4.75 9979 10 10 1 0
4.875 9978 10 9 3 0
5 9978 10 9 3 0
5.125 9977 11 8 4 0
5.25 9976 11 9 4 0
5.375 9976 11 9 4 0
5.5 9973 14 9 4 0
5.625 9973 13 10 4 0
5.75 9973 12 11 4 0
5.875 9971 13 12 4 0
6 9970 13 13 4 0
6.125 9968 13 15 4 0
6.25 9968 13 14 5 0
6.375 9968 12 15 5 0
6.5 9967 12 16 5 0
6.625 9967 10 18 5 0
6.75 9966 11 18 5 0
6.875 9965 11 19 5 0
7 9964 12 18 6 0
7.125 9962 14 18 6 0
7.25 9960 15 19 6 0
7.375 9957 18 19 6 0
7.5 9957 17 20 6 0
7.625 9946 28 20 6 0
7.75 9940 33 20 7 0
7.875 9939 32 22 7 0
8 9933 36 24 7 0
8.125 9925 41 27 7 0
8.25 9920 44 28 8 0
8.375 9912 51 28 9 0
8.5 9906 53 32 9 0
8.625 9901 55 35 9 0
8.75 9893 59 39 9 0
8.875 9885 64 42 9 0
9 9869 77 44 10 0
9.125 9859 84 47 10 0
9.25 9848 91 50 11 0
9.375 9833 103 53 11 0
9.5 9823 107 59 11 0
9.625 9809 119 60 12 0
9.75 9792 127 67 14 0
9.875 9770 140 76 14 0
10 9755 150 77 18 0
10.125 9737 164 79 20 0
10.25 9712 181 86 21 0
10.375 9688 198 91 23 0
10.5 9669 201 107 23 0
10.625 9646 207 120 27 0
10.75 9616 222 129 33 0
10.875 9593 228 142 37 0
11 9564 240 155 41 0
11.125 9537 249 173 41 0
11.25 9502 265 189 44 0
11.375 9457 299 196 48 0
11.5 9403 336 207 54 0
11.625 9376 342 223 59 0
11.75 9343 356 236 65 0
