t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9997 0 3 0 0
0.625 9997 0 2 1 0
0.75 9997 0 2 1 0
0.875 9997 0 2 1 0
1 9997 0 2 1 0
1.125 9997 0 2 1 0
1.25 9997 0 2 1 0
1.375 9997 0 2 1 0
1.5 9997 0 1 2 0
1.625 9997 0 1 2 0
1.75 9997 0 1 2 0
1.875 9997 0 1 2 0
2 9995 2 1 2 0
2.125 9995 2 1 2 0
2.25 9995 2 1 2 0
2.375 9995 2 1 2 0
2.5 9994 3 1 2 0
2.625 9994 3 1 2 0
2.75 9994 3 1 2 0
2.875 9994 3 1 2 0
3 9994 3 1 2 0
3.125 9994 3 1 2 0
3.25 9994 3 1 2 0
3.375 9994 3 1 2 0
3.5 9994 3 1 2 0
3.625 9994 2 2 2 0
3.75 9994 2 2 2 0
3.875 9994 2 2 2 0
4 9994 2 2 2 0
4.125 9994 2 2 2 0
4.25 9994 2 2 2 0
4.375 9994 2 2 2 0
4.5 9994 1 3 2 0
4.625 9994 1 3 2 0
4.75 9993 2 3 2 0
4.875 9993 0 5 2 0
5 9987 6 5 2 0
5.125 9981 11 6 2 0
5.25 9971 21 5 3 0
5.375 9969 21 7 3 0
5.5 9962 27 8 3 0
5.625 9954 32 11 3 0
5.75 9949 34 14 3 0
5.875 9944 37 15 4 0
6 9937 41 18 4 0
6.125 9933 43 20 4 0
6.25 9922 51 23 4 0
6.375 9915 55 26 4 0
6.5 9908 59 28 5 0
6.625 9900 63 32 5 0
6.75 9897 64 33 6 0
6.875 9890 65 38 7 0
7 9881 69 43 7 0
7.125 9874 72 44 10 0
7.25 9861 83 46 10 0
7.375 9854 88 48 10 0
7.5 9844 95 50 11 0
7.625 9832 98 56 14 0
7.75 9820 107 57 16 0
7.875 9804 118 62 16 0
8 9786 128 67 19 0
8.125 9774 138 68 20 0
8.25 9759 145 75 21 0
8.375 9742 148 86 24 0
8.5 9699 184 93 24 0
