t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9997 1 2 0 0
1 9997 1 1 1 0
1.125 9997 1 1 1 0
1.25 9997 1 1 1 0
1.375 9997 1 1 1 0
1.5 9997 1 1 1 0
1.625 9997 1 1 1 0
1.75 9997 1 1 1 0
1.875 9997 1 1 1 0
2 9997 1 1 1 0
2.125 9997 1 1 1 0
2.25 9997 0 2 1 0
2.375 9987 10 2 1 0
2.5 9984 11 4 1 0
2.625 9975 19 5 1 0
2.75 9972 22 5 1 0
2.875 9963 31 5 1 0
3 9959 33 7 1 0
3.125 9957 35 7 1 0
3.25 9949 42 8 1 0
3.375 9947 40 12 1 0
3.5 9935 52 12 1 0
3.625 9928 56 15 1 0
3.75 9921 59 19 1 0
3.875 9918 57 23 2 0
4 9909 61 27 3 0
4.125 9898 71 28 3 0
4.25 9884 84 29 3 0
4.375 9878 82 37 3 0
4.5 9866 87 44 3 0
4.625 9852 94 49 5 0
4.75 9836 105 52 7 0
4.875 9823 116 53 8 0
5 9807 126 58 9 0
5.125 9791 136 64 9 0
5.25 9773 147 69 11 0
5.375 9745 164 79 12 0
5.5 9721 170 96 13 0
5.625 9691 187 108 14 0
5.75 9667 200 115 18 0
5.875 9633 220 123 24 0
6 9602 236 136 26 0
6.125 9548 274 151 27 0
6.25 9505 298 165 32 0
6.375 9463 315 187 35 0
6.5 9414 342 204 40 0
6.625 9347 382 227 44 0
6.75 9279 424 248 49 0
6.875 9219 465 259 57 0
7 9147 505 286 62 0
7.125 9097 518 312 73 0
7.25 9041 538 347 74 0
7.375 8976 568 374 82 0
7.5 8899 604 408 89 0
7.625 8831 643 431 95 0
7.75 8761 675 456 107 1
7.875 8688 714 483 114 1
8 8614 741 520 124 1
8.125 8538 761 563 137 1
8.25 8461 794 592 152 1
8.375 8385 818 629 167 1
8.5 8307 847 662 182 2
