t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 0 3 0 0
0.375 9997 0 3 0 0
0.5 9997 0 3 0 0
0.625 9996 1 3 0 0
0.75 9995 2 3 0 0
0.875 9995 1 4 0 0
1 9995 1 4 0 0
1.125 9995 1 4 0 0
1.25 9994 1 5 0 0
1.375 9994 1 5 0 0
1.5 9994 1 5 0 0
1.625 9993 2 5 0 0
1.75 9993 2 5 0 0
1.875 9993 2 5 0 0
2 9992 3 5 0 0
2.125 9990 5 5 0 0
2.25 9989 6 5 0 0
2.375 9989 5 6 0 0
2.5 9989 5 6 0 0
2.625 9989 5 6 0 0
2.75 9987 7 6 0 0
2.875 9986 7 7 0 0
3 9986 7 7 0 0
3.125 9985 8 7 0 0
3.25 9985 8 7 0 0
3.375 9983 10 7 0 0
3.5 9982 9 9 0 0
3.625 9982 8 10 0 0
3.75 9981 8 11 0 0
3.875 9980 9 11 0 0
4 9979 10 11 0 0
4.125 9976 13 11 0 0
4.25 9974 14 12 0 0
4.375 9972 16 11 1 0
4.5 9969 18 12 1 0
4.625 9968 17 14 1 0
4.75 9967 15 16 2 0
4.875 9960 22 16 2 0
5 9958 23 16 3 0
5.125 9946 33 18 3 0
5.25 9935 43 19 3 0
5.375 9921 53 23 3 0
5.5 9905 67 24 4 0
5.625 9893 77 25 5 0
5.75 9878 89 28 5 0
5.875 9867 97 31 5 0
6 9851 106 38 5 0
6.125 9841 112 42 5 0
6.25 9824 124 46 6 0
6.375 9806 134 53 7 0
6.5 9782 144 67 7 0
6.625 9761 154 77 8 0
6.75 9734 170 86 10 0
6.875 9714 178 97 11 0
7 9692 185 110 13 0
7.125 9664 203 116 17 0
7.25 9632 226 124 18 0
7.375 9611 226 143 20 0
7.5 9576 244 158 22 0
7.625 9528 278 169 25 0
7.75 9481 308 184 27 0
7.875 9415 358 197 30 0
8 9357 396 209 38 0
8.125 9298 436 225 41 0
8.25 9242 470 242 46 0
8.375 9205 477 265 53 0
8.5 9152 500 286 62 0
8.625 9097 530 304 69 0
8.75 9026 572 326 76 0
8.875 8969 597 351 83 0
9 8914 608 383 95 0
9.125 8853 637 404 106 0
9.25 8807 645 433 115 0
9.375 8729 678 465 128 0
9.5 8647 693 522 138 0
9.625 8580 709 560 151 0
9.75 8516 731 584 169 0
9.875 8449 750 620 181 0
10 8362 797 645 196 0
10.125 8268 838 685 208 1
10.25 8256 796 724 223 1
10.375 8247 754 756 242 1
10.5 8234 722 787 256 1
10.625 8220 693 810 276 1
10.75 8209 650 847 293 1
10.875 8190 628 864 316 2
11 8184 592 896 326 2
11.125 8174 564 910 350 2
11.25 8164 539 928 367 2
11.375 8151 517 943 387 2
11.5 8141 504 946 407 2
11.625 8135 489 938 436 2
11.75 8128 475 934 459 4
11.875 8123 449 947 477 4
12 8117 433 950 496 4
12.125 8113 415 956 512 4
12.25 8110 389 957 540 4
12.375 8109 359 962 566 4
12.5 8107 337 969 582 5
12.625 8102 310 984 599 5
12.75 8098 301 974 622 5
12.875 8096 282 979 638 5
13 8092 265 980 658 5
13.125 8091 250 967 687 5
13.25 8086 244 958 707 5
13.375 8084 234 952 725 5
13.5 8084 223 932 756 5
13.625 8082 210 929 774 5
13.75 8079 195 927 794 5
13.875 8077 185 923 810 5
14 8073 178 913 831 5
14.125 8068 179 894 854 5
14.25 8066 172 891 866 5
14.375 8064 165 877 889 5
14.5 8062 155 873 905 5
14.625 8059 148 869 919 5
14.75 8052 148 855 940 5
14.875 8050 134 852 959 5
15 8047 122 851 975 5
15.125 8044 121 843 987 5
15.25 8042 115 834 1003 6
15.375 8039 112 826 1016 7
15.5 8037 106 817 1033 7
15.625 8037 98 812 1046 7
15.75 8036 92 799 1066 7
15.875 8036 87 784 1086 7
16 8034 84 775 1100 7
16.125 8034 82 763 1114 7
16.25 8034 73 759 1127 7
16.375 8032 69 749 1143 7
16.5 8030 65 739 1159 7
16.625 8029 65 723 1176 7
16.75 8028 61 721 1182 8
16.875 8026 62 709 1195 8
17 8022 63 690 1215 10
17.125 8022 59 679 1230 10
17.25 8022 53 666 1249 10
17.375 8021 49 654 1266 10
17.5 8021 47 644 1278 10
17.625 8019 47 633 1291 10
17.75 8019 46 617 1308 10
17.875 8018 42 606 1324 10
18 8017 43 592 1338 10
18.125 8016 38 586 1350 10
18.25 8014 36 583 1357 10
18.375 8013 35 574 1368 10
18.5 8013 32 568 1376 11
18.625 8013 27 561 1388 11
18.75 8013 26 549 1401 11
18.875 8013 25 537 1414 11
19 8012 24 532 1421 11
19.125 8012 22 526 1429 11
19.25 8011 23 518 1437 11
19.375 8009 23 506 1451 11
19.5 8009 18 500 1462 11
19.625 8006 21 484 1478 11
19.75 8005 19 477 1488 11
19.875 8005 19 467 1498 11
20 8004 20 458 1507 11
20.125 8002 21 444 1522 11
20.25 8002 21 433 1533 11
20.375 8002 20 430 1537 11
20.5 8002 19 425 1543 11
20.625 8001 18 418 1552 11
20.75 8001 17 408 1563 11
20.875 8000 18 400 1571 11
21 7999 19 395 1576 11
21.125 7999 17 388 1585 11
21.25 7999 17 382 1591 11
21.375 7999 16 378 1596 11
21.5 7999 16 367 1607 11
21.625 7999 16 361 1613 11
21.75 7999 16 355 1619 11
21.875 7999 13 346 1629 13
22 7999 13 339 1636 13
22.125 7999 11 334 1643 13
22.25 7999 9 331 1648 13
22.375 7998 9 324 1656 13
22.5 7998 9 316 1664 13
22.625 7997 10 311 1669 13
22.75 7996 11 304 1676 13
22.875 7996 9 302 1680 13
23 7996 8 298 1685 13
23.125 7996 8 292 1691 13
23.25 7996 8 284 1699 13
23.375 7996 6 276 1709 13
