t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9996 2 1 1 0
0.875 9996 1 2 1 0
1 9996 1 2 1 0
1.125 9996 1 2 1 0
1.25 9996 1 2 1 0
1.375 9995 2 2 1 0
1.5 9995 2 2 1 0
1.625 9994 2 3 1 0
1.75 9986 10 3 1 0
1.875 9981 13 5 1 0
2 9973 19 7 1 0
2.125 9958 32 9 1 0
2.25 9949 35 15 1 0
2.375 9941 40 16 3 0
2.5 9932 43 21 4 0
2.625 9927 44 25 4 0
2.75 9912 57 27 4 0
2.875 9903 66 27 4 0
3 9895 68 33 4 0
3.125 9882 77 36 5 0
3.25 9860 93 39 8 0
3.375 9846 101 43 10 0
3.5 9827 117 46 10 0
3.625 9811 126 52 11 0
3.75 9786 142 59 13 0
3.875 9764 150 73 13 0
4 9738 168 79 15 0
4.125 9717 179 87 17 0
4.25 9691 194 98 17 0
4.375 9666 203 114 17 0
4.5 9635 223 122 19 1
4.625 9627 213 137 22 1
4.75 9621 204 148 26 1
4.875 9617 196 155 31 1
5 9613 190 161 35 1
5.125 9610 183 170 36 1
5.25 9604 174 182 39 1
5.375 9599 172 187 41 1
5.5 9589 172 196 42 1
5.625 9582 170 202 45 1
5.75 9576 169 202 52 1
5.875 9572 167 207 53 1
6 9569 157 218 55 1
6.125 9564 154 220 61 1
6.25 9558 149 226 65 2
6.375 9556 139 236 67 2
6.5 9551 138 237 72 2
6.625 9547 138 235 78 2
6.75 9540 137 239 82 2
6.875 9537 130 243 88 2
7 9531 128 244 95 2
7.125 9526 119 252 101 2
7.25 9523 119 251 105 2
7.375 9519 117 252 110 2
7.5 9515 115 255 113 2
7.625 9513 112 252 121 2
7.75 9510 111 250 127 2
7.875 9507 104 257 130 2
8 9506 97 261 134 2
8.125 9501 95 263 139 2
8.25 9498 95 259 146 2
8.375 9491 96 258 153 2
8.5 9488 91 253 166 2
