t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 0 3 0 0
2.25 9996 1 3 0 0
2.375 9996 1 3 0 0
2.5 9996 1 3 0 0
2.625 9996 1 3 0 0
2.75 9996 1 2 1 0
2.875 9996 1 2 1 0
3 9996 1 2 1 0
3.125 9996 1 2 1 0
3.25 9996 1 2 1 0
3.375 9996 1 2 1 0
3.5 9996 1 2 1 0
3.625 9996 0 2 2 0
3.75 9996 0 2 2 0
3.875 9995 1 2 2 0
4 9994 2 2 2 0
4.125 9994 2 2 2 0
4.25 9994 2 1 3 0
4.375 9994 2 1 3 0
4.5 9994 2 1 3 0
4.625 9994 2 1 3 0
4.75 9994 1 2 3 0
4.875 9990 5 2 3 0
5 9983 12 2 3 0
5.125 9981 13 3 3 0
5.25 9977 16 4 3 0
5.375 9972 20 5 3 0
5.5 9966 24 7 3 0
5.625 9959 30 7 4 0
5.75 9957 31 7 5 0
5.875 9947 41 7 5 0
6 9939 48 8 5 0
6.125 9932 53 10 5 0
6.25 9925 57 13 5 0
6.375 9915 65 15 5 0
6.5 9906 73 15 6 0
6.625 9897 77 20 6 0
6.75 9887 85 22 6 0
6.875 9881 85 25 9 0
7 9877 87 26 10 0
7.125 9864 92 33 11 0
7.25 9850 98 39 13 0
7.375 9842 100 45 13 0
7.5 9834 100 52 14 0
7.625 9816 114 55 15 0
7.75 9791 134 60 15 0
7.875 9767 148 69 16 0
8 9738 158 87 17 0
8.125 9717 170 93 20 0
8.25 9692 176 109 23 0
8.375 9644 213 118 25 0
8.5 9587 256 130 27 0
