t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9995 3 1 1 0
2.375 9995 3 1 1 0
2.5 9995 3 1 1 0
2.625 9995 3 1 1 0
2.75 9995 3 1 1 0
2.875 9995 3 1 1 0
3 9995 3 1 1 0
3.125 9994 4 1 1 0
3.25 9994 4 1 1 0
3.375 9994 4 1 1 0
3.5 9994 2 3 1 0
3.625 9994 2 3 1 0
3.75 9994 2 3 1 0
3.875 9994 2 3 1 0
4 9994 1 4 1 0
4.125 9983 12 4 1 0
4.25 9969 24 6 1 0
4.375 9961 31 7 1 0
4.5 9954 36 9 1 0
4.625 9945 43 11 1 0
4.75 9934 52 13 1 0
4.875 9916 68 15 1 0
5 9906 74 19 1 0
5.125 9886 91 22 1 0
5.25 9864 106 29 1 0
5.375 9830 133 35 2 0
5.5 9805 150 42 3 0
5.625 9779 167 50 4 0
5.75 9755 183 55 7 0
5.875 9728 199 66 7 0
6 9703 212 78 7 0
6.125 9675 227 88 10 0
6.25 9643 247 98 12 0
6.375 9619 247 122 12 0
6.5 9577 265 145 13 0
6.625 9539 291 156 14 0
6.75 9506 309 169 16 0
6.875 9467 322 191 20 0
7 9425 344 210 21 0
7.125 9388 354 230 28 0
7.25 9343 380 243 34 0
7.375 9304 394 260 42 0
7.5 9243 430 280 47 0
7.625 9190 451 308 51 0
7.75 9129 476 337 58 0
7.875 9071 509 353 67 0
8 9015 539 370 76 0
8.125 8948 565 402 85 0
8.25 8892 591 421 96 0
8.375 8815 622 455 105 3
8.5 8744 661 476 116 3
