t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9996 2 2 0 0
0.375 9996 2 2 0 0
0.5 9996 1 3 0 0
0.625 9996 1 3 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9995 2 3 0 0
1.125 9995 2 3 0 0
1.25 9994 3 3 0 0
1.375 9994 3 3 0 0
1.5 9994 3 3 0 0
1.625 9993 4 3 0 0
1.75 9993 4 3 0 0
1.875 9992 5 3 0 0
2 9991 6 3 0 0
2.125 9991 5 4 0 0
2.25 9990 6 4 0 0
2.375 9989 7 4 0 0
2.5 9989 6 5 0 0
2.625 9989 6 5 0 0
2.75 9987 8 5 0 0
2.875 9986 8 6 0 0
3 9984 10 6 0 0
3.125 9984 10 6 0 0
3.25 9983 10 7 0 0
3.375 9980 13 7 0 0
3.5 9978 15 7 0 0
3.625 9978 15 7 0 0
3.75 9978 13 9 0 0
3.875 9978 13 8 1 0
4 9977 11 11 1 0
4.125 9976 10 13 1 0
4.25 9975 10 14 1 0
4.375 9973 11 14 2 0
4.5 9964 19 15 2 0
4.625 9958 22 18 2 0
4.75 9943 37 18 2 0
4.875 9927 50 21 2 0
5 9915 58 25 2 0
5.125 9899 69 29 3 0
5.25 9890 76 31 3 0
5.375 9883 82 32 3 0
5.5 9873 85 37 5 0
5.625 9867 88 38 7 0
5.75 9849 94 49 8 0
5.875 9824 114 51 11 0
6 9796 135 57 12 0
6.125 9777 147 64 12 0
6.25 9757 154 77 12 0
6.375 9723 179 84 14 0
6.5 9698 190 97 15 0
6.625 9673 203 104 20 0
6.75 9614 255 108 23 0
6.875 9548 304 124 24 0
7 9497 333 142 28 0
7.125 9447 357 165 31 0
7.25 9387 386 194 33 0
7.375 9319 430 214 37 0
7.5 9247 471 241 41 0
7.625 9157 521 275 47 0
7.75 9082 551 317 50 0
7.875 9002 596 337 65 0
8 8922 639 365 74 0
8.125 8831 689 402 78 0
8.25 8748 731 439 82 0
8.375 8662 768 482 88 0
8.5 8546 829 521 104 0
8.625 8443 881 562 113 1
8.75 8430 843 604 122 1
8.875 8413 814 639 133 1
9 8403 781 666 149 1
9.125 8397 739 698 165 1
9.25 8380 704 731 184 1
9.375 8362 686 747 203 2
9.5 8350 665 763 220 2
9.625 8342 621 803 232 2
9.75 8337 593 826 241 3
9.875 8328 569 848 252 3
10 8323 545 858 271 3
10.125 8319 516 867 295 3
10.25 8313 494 881 309 3
10.375 8301 477 887 332 3
10.5 8298 441 908 350 3
10.625 8291 428 912 366 3
10.75 8288 404 914 391 3
10.875 8280 376 925 416 3
11 8273 361 927 436 3
11.125 8268 354 921 453 4
11.25 8261 329 927 479 4
11.375 8259 305 929 503 4
11.5 8255 294 926 521 4
11.625 8252 272 932 540 4
11.75 8247 261 919 569 4
11.875 8242 254 907 593 4
12 8239 237 912 608 4
12.125 8234 223 903 635 5
12.25 8231 217 887 660 5
12.375 8228 211 882 674 5
12.5 8226 201 876 692 5
12.625 8223 194 872 706 5
12.75 8220 191 864 720 5
12.875 8214 183 866 732 5
13 8210 171 855 759 5
13.125 8209 164 839 782 6
13.25 8204 158 836 796 6
13.375 8203 151 821 819 6
13.5 8199 143 817 835 6
13.625 8198 139 795 862 6
13.75 8196 133 789 876 6
13.875 8192 133 785 884 6
14 8190 128 771 905 6
14.125 8187 123 768 916 6
14.25 8186 119 755 933 7
14.375 8184 116 747 946 7
14.5 8178 109 741 964 8
14.625 8175 103 736 978 8
14.75 8175 101 724 991 9
14.875 8173 96 716 1006 9
15 8170 96 701 1024 9
15.125 8170 89 692 1038 11
15.25 8169 82 689 1049 11
15.375 8168 79 672 1069 12
15.5 8167 74 667 1080 12
15.625 8166 67 658 1097 12
15.75 8166 63 642 1117 12
15.875 8164 62 631 1130 13
16 8163 58 623 1143 13
16.125 8163 55 613 1156 13
16.25 8162 52 604 1169 13
16.375 8161 49 595 1182 13
16.5 8161 45 583 1198 13
16.625 8161 42 574 1210 13
16.75 8159 40 569 1219 13
16.875 8158 37 561 1231 13
17 8158 34 553 1242 13
17.125 8156 34 540 1257 13
17.25 8155 33 532 1266 14
17.375 8154 33 520 1278 15
17.5 8153 33 511 1288 15
17.625 8153 30 503 1299 15
17.75 8153 28 493 1311 15
17.875 8153 27 485 1320 15
18 8153 25 474 1333 15
18.125 8153 23 469 1340 15
18.25 8153 20 465 1347 15
18.375 8153 20 458 1354 15
18.5 8153 19 453 1360 15
18.625 8153 17 445 1370 15
18.75 8152 15 434 1384 15
18.875 8152 14 429 1389 16
19 8152 13 423 1396 16
19.125 8151 13 416 1403 17
19.25 8151 12 407 1413 17
19.375 8151 11 395 1426 17
19.5 8150 12 385 1436 17
19.625 8150 12 377 1444 17
19.75 8150 10 371 1452 17
19.875 8149 11 362 1461 17
20 8148 9 358 1468 17
20.125 8148 7 349 1479 17
20.25 8148 7 339 1489 17
20.375 8148 7 335 1493 17
20.5 8148 7 328 1500 17
20.625 8148 6 325 1504 17
20.75 8148 6 321 1508 17
20.875 8148 6 321 1508 17
21 8148 6 316 1513 17
21.125 8147 6 310 1520 17
21.25 8147 6 301 1529 17
21.375 8146 6 294 1537 17
21.5 8145 7 292 1539 17
21.625 8145 7 283 1548 17
21.75 8145 7 276 1555 17
21.875 8145 5 271 1562 17
22 8145 5 262 1571 17
22.125 8145 4 259 1575 17
22.25 8144 5 252 1582 17
22.375 8144 5 246 1587 18
22.5 8143 6 245 1588 18
22.625 8142 7 240 1593 18
22.75 8142 7 236 1597 18
22.875 8142 7 233 1600 18
23 8142 7 232 1601 18
23.125 8142 6 230 1604 18
23.25 8142 6 223 1611 18
23.375 8142 6 217 1617 18
