t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9998 1 1 0 0
0.5 9998 1 1 0 0
0.625 9998 1 1 0 0
0.75 9998 1 1 0 0
0.875 9998 1 1 0 0
1 9998 1 1 0 0
1.125 9998 1 1 0 0
1.25 9998 1 1 0 0
1.375 9998 1 1 0 0
1.5 9998 1 1 0 0
1.625 9998 1 1 0 0
1.75 9998 1 1 0 0
1.875 9998 0 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9997 1 2 0 0
2.375 9996 2 2 0 0
2.5 9996 2 2 0 0
2.625 9996 1 3 0 0
2.75 9996 1 3 0 0
2.875 9995 2 3 0 0
3 9995 2 3 0 0
3.125 9994 3 3 0 0
3.25 9994 3 3 0 0
3.375 9992 5 3 0 0
3.5 9992 5 3 0 0
3.625 9991 6 3 0 0
3.75 9991 6 3 0 0
3.875 9991 6 3 0 0
4 9989 8 3 0 0
4.125 9988 7 5 0 0
4.25 9988 7 5 0 0
4.375 9988 6 6 0 0
4.5 9988 6 6 0 0
4.625 9987 6 7 0 0
4.75 9983 10 7 0 0
4.875 9982 11 7 0 0
5 9982 10 7 1 0
5.125 9981 10 8 1 0
5.25 9978 13 7 2 0
5.375 9977 14 7 2 0
5.5 9977 14 7 2 0
5.625 9976 15 7 2 0
5.75 9975 15 8 2 0
5.875 9974 16 8 2 0
6 9974 15 9 2 0
6.125 9974 13 11 2 0
6.25 9973 13 12 2 0
6.375 9971 14 13 2 0
6.5 9970 15 13 2 0
6.625 9968 16 14 2 0
6.75 9968 16 14 2 0
6.875 9968 16 14 2 0
7 9966 18 14 2 0
7.125 9964 19 14 3 0
7.25 9964 16 17 3 0
7.375 9962 18 17 3 0
7.5 9962 18 16 4 0
7.625 9962 16 17 5 0
7.75 9957 21 16 6 0
7.875 9955 22 17 6 0
8 9951 23 20 6 0
8.125 9947 25 21 7 0
8.25 9942 27 24 7 0
8.375 9938 31 24 7 0
8.5 9932 34 27 7 0
8.625 9926 36 31 7 0
8.75 9924 37 31 8 0
8.875 9919 38 35 8 0
9 9912 42 38 8 0
9.125 9909 44 37 10 0
9.25 9900 52 38 10 0
9.375 9896 51 40 13 0
9.5 9888 55 42 15 0
9.625 9879 60 45 16 0
9.75 9873 63 46 18 0
9.875 9858 73 51 18 0
10 9850 78 54 18 0
10.125 9840 83 58 19 0
10.25 9829 92 60 19 0
10.375 9822 92 66 20 0
10.5 9813 98 68 21 0
10.625 9803 103 73 21 0
10.75 9787 113 79 21 0
10.875 9774 117 85 24 0
11 9762 119 93 26 0
11.125 9747 121 102 30 0
11.25 9728 130 111 31 0
11.375 9708 147 113 32 0
11.5 9684 157 126 33 0
11.625 9665 164 133 38 0
11.75 9637 180 141 42 0
