t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9998 1 1 0 0
0.75 9998 1 1 0 0
0.875 9998 1 1 0 0
1 9998 1 1 0 0
1.125 9998 1 1 0 0
1.25 9998 1 1 0 0
1.375 9998 1 1 0 0
1.5 9998 1 1 0 0
1.625 9998 1 1 0 0
1.75 9998 1 1 0 0
1.875 9998 1 1 0 0
2 9998 1 1 0 0
2.125 9998 1 1 0 0
2.25 9998 1 1 0 0
2.375 9998 1 1 0 0
2.5 9998 1 1 0 0
2.625 9998 1 1 0 0
2.75 9998 1 1 0 0
2.875 9998 0 2 0 0
3 9998 0 2 0 0
3.125 9998 0 2 0 0
3.25 9997 1 2 0 0
3.375 9997 0 3 0 0
3.5 9997 0 3 0 0
3.625 9997 0 3 0 0
3.75 9997 0 3 0 0
3.875 9997 0 3 0 0
4 9996 1 3 0 0
4.125 9996 1 3 0 0
4.25 9996 1 3 0 0
4.375 9996 1 3 0 0
4.5 9996 1 3 0 0
4.625 9996 1 3 0 0
4.75 9996 1 3 0 0
4.875 9995 1 4 0 0
5 9995 1 4 0 0
5.125 9995 1 4 0 0
5.25 9995 1 4 0 0
5.375 9995 0 5 0 0
5.5 9992 3 4 1 0
5.625 9989 6 4 1 0
5.75 9986 9 4 1 0
5.875 9986 8 5 1 0
6 9985 8 6 1 0
6.125 9984 8 7 1 0
6.25 9981 11 7 1 0
6.375 9973 19 7 1 0
6.5 9968 22 9 1 0
6.625 9964 26 8 2 0
6.75 9958 28 12 2 0
6.875 9954 30 13 3 0
7 9949 32 15 4 0
7.125 9944 36 16 4 0
7.25 9942 38 16 4 0
7.375 9937 43 16 4 0
7.5 9932 46 18 4 0
7.625 9927 47 22 4 0
7.75 9918 55 23 4 0
7.875 9915 54 27 4 0
8 9904 63 29 4 0
8.125 9892 75 29 4 0
8.25 9884 78 33 5 0
8.375 9873 83 39 5 0
8.5 9862 91 42 5 0
8.625 9850 96 49 5 0
8.75 9834 108 53 5 0
8.875 9824 111 57 8 0
9 9813 119 58 10 0
9.125 9803 120 67 10 0
9.25 9791 122 76 11 0
9.375 9780 123 84 13 0
9.5 9764 131 92 13 0
9.625 9747 143 96 14 0
9.75 9730 154 100 16 0
9.875 9710 164 108 18 0
10 9682 179 119 20 0
10.125 9663 180 137 20 0
10.25 9641 186 147 26 0
10.375 9617 193 162 28 0
10.5 9591 207 170 32 0
10.625 9564 226 175 35 0
10.75 9530 252 175 43 0
10.875 9509 260 186 45 0
11 9476 277 198 49 0
11.125 9450 280 218 52 0
11.25 9419 287 236 58 0
11.375 9384 305 247 64 0
11.5 9346 324 261 69 0
11.625 9307 352 261 80 0
11.75 9280 359 277 84 0
