t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 1 3 0 0
2 9996 1 3 0 0
2.125 9996 1 3 0 0
2.25 9996 1 3 0 0
2.375 9996 1 2 1 0
2.5 9996 1 2 1 0
2.625 9996 1 2 1 0
2.75 9995 1 3 1 0
2.875 9995 1 3 1 0
3 9994 2 3 1 0
3.125 9993 3 3 1 0
3.25 9991 5 3 1 0
3.375 9990 6 3 1 0
3.5 9990 5 4 1 0
3.625 9989 6 4 1 0
3.75 9987 8 4 1 0
3.875 9985 10 4 1 0
4 9978 16 5 1 0
4.125 9976 16 7 1 0
4.25 9974 17 8 1 0
4.375 9970 20 9 1 0
4.5 9968 21 10 1 0
4.625 9966 22 11 1 0
4.75 9960 27 12 1 0
4.875 9956 30 13 1 0
5 9953 33 13 1 0
5.125 9946 36 17 1 0
5.25 9940 42 17 1 0
5.375 9935 44 20 1 0
5.5 9929 48 22 1 0
5.625 9925 48 26 1 0
5.75 9914 56 29 1 0
5.875 9909 56 33 2 0
6 9903 61 33 3 0
6.125 9897 62 36 5 0
6.25 9891 65 38 6 0
6.375 9885 66 42 7 0
6.5 9879 66 47 8 0
6.625 9866 71 54 9 0
6.75 9842 91 56 11 0
6.875 9821 105 62 12 0
7 9798 124 66 12 0
7.125 9770 148 69 13 0
7.25 9744 162 81 13 0
7.375 9711 182 94 13 0
7.5 9677 202 104 17 0
7.625 9636 229 115 20 0
7.75 9593 254 130 23 0
7.875 9564 267 143 26 0
8 9532 288 151 29 0
8.125 9482 317 170 31 0
8.25 9438 342 184 36 0
8.375 9384 375 205 36 0
8.5 9323 415 222 40 0
