t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9996 2 2 0 0
0.75 9995 3 2 0 0
0.875 9995 2 3 0 0
1 9993 4 3 0 0
1.125 9993 4 2 1 0
1.25 9993 3 3 1 0
1.375 9991 5 3 1 0
1.5 9991 5 3 1 0
1.625 9991 5 3 1 0
1.75 9989 7 2 2 0
1.875 9989 6 3 2 0
2 9988 6 4 2 0
2.125 9987 7 4 2 0
2.25 9986 7 5 2 0
2.375 9985 8 5 2 0
2.5 9983 10 5 2 0
2.625 9981 12 5 2 0
2.75 9980 12 6 2 0
2.875 9978 14 6 2 0
3 9978 14 6 2 0
3.125 9976 16 6 2 0
3.25 9974 17 6 3 0
3.375 9973 18 5 4 0
3.5 9973 16 7 4 0
3.625 9967 22 7 4 0
3.75 9954 34 7 5 0
3.875 9945 41 9 5 0
4 9940 43 11 6 0
4.125 9928 50 16 6 0
4.25 9919 56 18 7 0
4.375 9905 63 25 7 0
4.5 9886 78 29 7 0
4.625 9859 103 31 7 0
4.75 9840 116 37 7 0
4.875 9817 131 42 10 0
5 9807 137 46 10 0
5.125 9782 153 55 10 0
5.25 9767 162 61 10 0
5.375 9745 175 70 10 0
5.5 9728 183 79 10 0
5.625 9705 197 87 11 0
5.75 9688 200 100 12 0
5.875 9661 214 109 16 0
6 9633 232 116 19 0
6.125 9606 246 128 20 0
6.25 9573 262 143 22 0
6.375 9523 299 153 25 0
6.5 9481 320 170 29 0
6.625 9435 345 188 32 0
6.75 9388 369 206 37 0
6.875 9344 390 228 38 0
7 9285 423 252 40 0
7.125 9219 471 264 46 0
7.25 9164 496 292 48 0
7.375 9104 529 313 54 0
7.5 9027 574 337 61 1
7.625 9021 550 359 69 1
7.75 9015 522 387 75 1
7.875 9013 498 404 84 1
8 9009 478 419 93 1
8.125 9006 452 439 102 1
8.25 8997 435 454 113 1
8.375 8992 404 478 125 1
8.5 8987 388 490 133 2
