t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9996 2 2 0 0
2.25 9996 1 3 0 0
2.375 9995 1 4 0 0
2.5 9995 1 4 0 0
2.625 9992 4 4 0 0
2.75 9990 5 5 0 0
2.875 9990 4 6 0 0
3 9990 4 6 0 0
3.125 9989 5 6 0 0
3.25 9987 6 7 0 0
3.375 9986 5 9 0 0
3.5 9980 11 9 0 0
3.625 9975 16 8 1 0
3.75 9970 19 10 1 0
3.875 9966 19 14 1 0
4 9961 23 15 1 0
4.125 9953 31 15 1 0
4.25 9942 40 16 2 0
4.375 9933 45 19 3 0
4.5 9919 56 21 4 0
4.625 9904 69 22 5 0
4.75 9890 83 21 6 0
4.875 9876 95 23 6 0
5 9863 104 25 8 0
5.125 9852 110 29 8 1
5.25 9844 107 40 8 1
5.375 9835 110 44 10 1
5.5 9827 110 52 10 1
5.625 9812 118 57 12 1
5.75 9802 119 62 16 1
5.875 9787 119 76 17 1
6 9769 125 85 20 1
6.125 9742 146 89 22 1
6.25 9720 162 93 24 1
6.375 9691 182 101 25 1
6.5 9664 199 108 28 1
6.625 9632 218 118 31 1
6.75 9619 225 122 33 1
6.875 9594 234 134 37 1
7 9570 237 152 40 1
7.125 9535 259 162 43 1
7.25 9503 278 169 49 1
7.375 9466 301 176 56 1
7.5 9423 321 198 57 1
7.625 9380 349 211 59 1
7.75 9335 371 232 61 1
7.875 9293 397 241 68 1
8 9243 430 255 71 1
8.125 9193 456 269 81 1
8.25 9163 451 302 83 1
8.375 9103 481 330 85 1
8.5 9026 532 349 92 1
