t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9995 3 2 0 0
1.875 9995 3 2 0 0
2 9995 3 2 0 0
2.125 9995 3 2 0 0
2.25 9995 3 2 0 0
2.375 9995 2 3 0 0
2.5 9995 1 4 0 0
2.625 9994 2 4 0 0
2.75 9993 3 4 0 0
2.875 9993 3 4 0 0
3 9993 3 4 0 0
3.125 9992 4 4 0 0
3.25 9992 4 4 0 0
3.375 9992 3 5 0 0
3.5 9991 4 5 0 0
3.625 9991 4 5 0 0
3.75 9990 5 5 0 0
3.875 9990 5 5 0 0
4 9989 6 5 0 0
4.125 9989 4 7 0 0
4.25 9988 5 7 0 0
4.375 9988 4 8 0 0
4.5 9987 4 8 1 0
4.625 9985 5 9 1 0
4.75 9981 9 9 1 0
4.875 9979 10 10 1 0
5 9979 9 11 1 0
5.125 9979 8 12 1 0
5.25 9975 11 13 1 0
5.375 9972 14 13 1 0
5.5 9970 15 14 1 0
5.625 9965 20 14 1 0
5.75 9961 23 15 1 0
5.875 9958 25 16 1 0
6 9952 29 17 2 0
6.125 9951 29 18 2 0
6.25 9947 33 18 2 0
6.375 9944 33 21 2 0
6.5 9936 38 24 2 0
6.625 9932 39 27 2 0
6.75 9927 40 31 2 0
6.875 9919 45 31 5 0
7 9913 50 32 5 0
7.125 9906 54 35 5 0
7.25 9900 58 35 7 0
7.375 9894 58 41 7 0
7.5 9877 74 42 7 0
7.625 9861 86 45 8 0
7.75 9842 97 53 8 0
7.875 9822 114 55 9 0
8 9803 127 61 9 0
8.125 9780 144 65 11 0
8.25 9759 154 75 12 0
8.375 9736 161 89 14 0
8.5 9715 174 95 16 0
