t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9997 1 2 0 0
2 9997 1 2 0 0
2.125 9997 1 2 0 0
2.25 9997 0 3 0 0
2.375 9997 0 3 0 0
2.5 9996 1 3 0 0
2.625 9995 2 2 1 0
2.75 9995 2 1 2 0
2.875 9995 2 1 2 0
3 9995 2 1 2 0
3.125 9995 1 2 2 0
3.25 9993 3 2 2 0
3.375 9987 9 2 2 0
3.5 9983 13 2 2 0
3.625 9981 14 3 2 0
3.75 9973 21 4 2 0
3.875 9963 27 8 2 0
4 9956 31 10 3 0
4.125 9953 32 12 3 0
4.25 9951 33 13 3 0
4.375 9947 35 15 3 0
4.5 9940 37 19 4 0
4.625 9937 36 23 4 0
4.75 9932 40 24 4 0
4.875 9926 44 25 5 0
5 9922 43 28 7 0
5.125 9919 43 31 7 0
5.25 9915 46 31 8 0
5.375 9909 46 36 9 0
5.5 9890 64 35 11 0
5.625 9866 83 40 11 0
5.75 9842 102 44 12 0
5.875 9818 119 51 12 0
6 9795 137 56 12 0
6.125 9769 153 64 14 0
6.25 9732 179 74 15 0
6.375 9705 197 81 17 0
6.5 9674 220 87 19 0
6.625 9641 242 98 19 0
6.75 9615 246 119 20 0
6.875 9582 266 131 21 0
7 9536 299 141 24 0
7.125 9515 305 150 30 0
7.25 9466 336 168 30 0
7.375 9420 362 186 32 0
7.5 9385 369 210 36 0
7.625 9341 393 220 46 0
7.75 9297 410 246 47 0
7.875 9234 447 267 52 0
8 9174 485 284 57 0
8.125 9108 511 320 61 0
8.25 9051 534 349 66 0
8.375 8988 568 367 77 0
8.5 8947 578 395 80 0
