t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9999 0 1 0 0
1.25 9999 0 1 0 0
1.375 9998 1 1 0 0
1.5 9998 1 1 0 0
1.625 9998 1 1 0 0
1.75 9998 1 1 0 0
1.875 9998 1 1 0 0
2 9998 1 1 0 0
2.125 9998 0 2 0 0
2.25 9998 0 2 0 0
2.375 9998 0 2 0 0
2.5 9998 0 2 0 0
2.625 9998 0 2 0 0
2.75 9998 0 2 0 0
2.875 9998 0 2 0 0
3 9998 0 2 0 0
3.125 9998 0 2 0 0
3.25 9998 0 2 0 0
3.375 9997 1 2 0 0
3.5 9997 1 2 0 0
3.625 9997 1 1 1 0
3.75 9997 1 1 1 0
3.875 9997 1 1 1 0
4 9997 1 1 1 0
4.125 9996 1 2 1 0
4.25 9996 1 2 1 0
4.375 9996 0 3 1 0
4.5 9995 1 3 1 0
4.625 9995 1 3 1 0
4.75 9995 1 3 1 0
4.875 9995 1 3 1 0
5 9995 1 3 1 0
5.125 9995 1 3 1 0
5.25 9995 1 3 1 0
5.375 9995 1 3 1 0
5.5 9995 1 3 1 0
5.625 9995 1 3 1 0
5.75 9995 1 3 1 0
5.875 9995 1 3 1 0
6 9995 1 3 1 0
6.125 9994 1 4 1 0
6.25 9991 4 4 1 0
6.375 9991 4 4 1 0
6.5 9990 5 4 1 0
6.625 9988 5 6 1 0
6.75 9985 8 6 1 0
6.875 9984 8 7 1 0
7 9983 9 7 1 0
7.125 9980 12 7 1 0
7.25 9977 15 7 1 0
7.375 9977 13 9 1 0
7.5 9974 16 9 1 0
7.625 9973 16 9 2 0
7.75 9971 16 11 2 0
7.875 9969 17 12 2 0
8 9967 19 12 2 0
8.125 9963 22 13 2 0
8.25 9960 25 13 2 0
8.375 9955 29 14 2 0
8.5 9949 34 14 3 0
8.625 9944 35 18 3 0
8.75 9943 33 21 3 0
8.875 9940 36 20 4 0
9 9935 37 24 4 0
9.125 9932 38 26 4 0
9.25 9926 38 31 5 0
9.375 9922 39 32 7 0
9.5 9918 40 33 8 1
9.625 9918 38 33 10 1
9.75 9918 37 34 10 1
9.875 9917 37 34 11 1
10 9915 33 40 11 1
10.125 9915 32 40 12 1
10.25 9914 32 39 14 1
10.375 9910 35 39 15 1
10.5 9910 33 40 16 1
10.625 9908 33 42 16 1
10.75 9906 32 43 18 1
10.875 9905 33 43 18 1
11 9903 32 46 18 1
11.125 9902 30 45 22 1
11.25 9902 29 44 24 1
11.375 9898 31 45 25 1
11.5 9898 29 47 25 1
11.625 9893 31 50 25 1
11.75 9892 27 52 28 1
