t S E I R D
0 9999 0 1 0 0
0.125 9998 1 1 0 0
0.25 9998 1 1 0 0
0.375 9998 0 2 0 0
0.5 9993 5 2 0 0
0.625 9989 9 2 0 0
0.75 9985 13 2 0 0
0.875 9981 17 2 0 0
1 9980 18 2 0 0
1.125 9977 18 5 0 0
1.25 9975 19 6 0 0
1.375 9969 24 7 0 0
1.5 9962 29 9 0 0
1.625 9953 36 11 0 0
1.75 9949 38 12 1 0
1.875 9949 37 12 2 0
2 9947 39 11 3 0
2.125 9947 36 13 4 0
2.25 9946 37 13 4 0
2.375 9942 39 15 4 0
2.5 9939 41 15 5 0
2.625 9936 41 17 6 0
2.75 9936 38 20 6 0
2.875 9934 37 23 6 0
3 9933 34 26 7 0
3.125 9931 34 28 7 0
3.25 9931 34 28 7 0
3.375 9929 35 29 7 0
3.5 9925 37 31 7 0
3.625 9922 35 36 7 0
3.75 9920 36 34 10 0
3.875 9920 34 36 10 0
4 9914 37 37 12 0
4.125 9908 43 37 12 0
4.25 9905 44 39 12 0
4.375 9900 48 40 12 0
4.5 9896 49 40 15 0
4.625 9885 56 44 15 0
4.75 9880 58 45 17 0
4.875 9871 65 46 18 0
5 9865 67 50 18 0
5.125 9855 71 56 18 0
5.25 9847 74 60 19 0
5.375 9844 68 68 20 0
5.5 9838 69 73 20 0
5.625 9832 72 75 21 0
5.75 9817 83 78 22 0
5.875 9811 83 81 25 0
6 9802 88 84 26 0
6.125 9793 92 88 27 0
6.25 9781 101 88 30 0
6.375 9770 104 96 30 0
6.5 9746 121 100 33 0
6.625 9727 132 108 33 0
6.75 9708 146 108 38 0
6.875 9693 151 115 41 0
7 9662 174 119 44 1
7.125 9645 177 131 46 1
7.25 9623 187 142 47 1
7.375 9595 205 147 52 1
7.5 9566 224 154 55 1
7.625 9536 239 168 56 1
7.75 9497 264 178 60 1
7.875 9474 272 187 66 1
8 9444 281 205 69 1
8.125 9400 309 217 73 1
8.25 9365 334 223 77 1
8.375 9334 348 236 81 1
8.5 9302 357 252 87 2
8.625 9267 370 269 92 2
8.75 9238 381 280 99 2
8.875 9207 394 292 105 2
9 9165 407 314 112 2
9.125 9126 421 335 116 2
9.25 9096 428 351 123 2
9.375 9050 438 384 126 2
9.5 8996 461 409 132 2
9.625 8945 483 432 138 2
9.75 8891 510 446 151 2
9.875 8853 517 466 160 4
10 8819 522 487 168 4
10.125 8770 529 516 180 5
