t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9999 0 1 0 0
1.25 9999 0 1 0 0
1.375 9999 0 1 0 0
1.5 9999 0 1 0 0
1.625 9999 0 1 0 0
1.75 9999 0 1 0 0
1.875 9999 0 1 0 0
2 9999 0 1 0 0
2.125 9999 0 1 0 0
2.25 9999 0 1 0 0
2.375 9999 0 1 0 0
2.5 9999 0 1 0 0
2.625 9999 0 1 0 0
2.75 9999 0 1 0 0
2.875 9999 0 1 0 0
3 9999 0 1 0 0
3.125 9999 0 1 0 0
3.25 9999 0 1 0 0
3.375 9999 0 1 0 0
3.5 9999 0 1 0 0
3.625 9999 0 1 0 0
3.75 9999 0 1 0 0
3.875 9999 0 1 0 0
4 9999 0 1 0 0
4.125 9999 0 1 0 0
4.25 9999 0 1 0 0
4.375 9999 0 1 0 0
4.5 9999 0 1 0 0
4.625 9998 1 1 0 0
4.75 9998 1 1 0 0
4.875 9998 1 1 0 0
5 9998 1 1 0 0
5.125 9998 0 2 0 0
5.25 9998 0 2 0 0
5.375 9998 0 2 0 0
5.5 9998 0 2 0 0
5.625 9997 1 2 0 0
5.75 9996 2 2 0 0
5.875 9996 2 1 1 0
6 9995 3 1 1 0
6.125 9995 3 1 1 0
6.25 9995 3 1 1 0
6.375 9995 2 2 1 0
6.5 9995 2 2 1 0
6.625 9994 3 2 1 0
6.75 9993 4 2 1 0
6.875 9992 4 2 2 0
7 9990 5 3 2 0
7.125 9988 7 3 2 0
7.25 9986 7 5 2 0
7.375 9985 7 6 2 0
7.5 9984 7 7 2 0
7.625 9982 7 9 2 0
7.75 9980 8 10 2 0
7.875 9978 10 10 2 0
8 9977 11 10 2 0
8.125 9977 11 9 3 0
8.25 9976 11 10 3 0
8.375 9974 13 10 3 0
8.5 9973 14 9 4 0
8.625 9973 11 12 4 0
8.75 9969 15 12 4 0
8.875 9966 16 13 5 0
9 9966 14 13 7 0
9.125 9964 15 14 7 0
9.25 9963 14 15 8 0
9.375 9962 15 14 9 0
9.5 9962 15 14 9 0
9.625 9961 14 15 10 0
9.75 9959 15 16 10 0
9.875 9956 17 17 10 0
10 9954 19 17 10 0
10.125 9952 21 16 11 0
10.25 9948 25 16 11 0
10.375 9945 25 18 12 0
10.5 9942 24 22 12 0
10.625 9939 26 23 12 0
10.75 9933 31 23 13 0
10.875 9932 31 24 13 0
11 9929 33 25 13 0
11.125 9928 32 27 13 0
11.25 9927 32 28 13 0
11.375 9926 31 30 13 0
11.5 9922 35 30 13 0
11.625 9921 35 30 14 0
11.75 9920 30 36 14 0
