t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9996 2 2 0 0
0.375 9995 3 2 0 0
0.5 9995 3 2 0 0
0.625 9993 5 2 0 0
0.75 9993 5 2 0 0
0.875 9992 6 2 0 0
1 9991 7 2 0 0
1.125 9989 8 3 0 0
1.25 9987 9 4 0 0
1.375 9987 8 5 0 0
1.5 9986 8 6 0 0
1.625 9982 11 7 0 0
1.75 9979 14 6 1 0
1.875 9979 13 7 1 0
2 9978 13 7 2 0
2.125 9977 13 8 2 0
2.25 9977 12 9 2 0
2.375 9974 14 10 2 0
2.5 9973 12 13 2 0
2.625 9972 13 13 2 0
2.75 9971 13 13 3 0
2.875 9967 17 12 4 0
3 9965 17 14 4 0
3.125 9954 25 17 4 0
3.25 9947 31 18 4 0
3.375 9942 35 18 5 0
3.5 9936 38 21 5 0
3.625 9926 47 22 5 0
3.75 9919 51 24 6 0
3.875 9911 57 25 7 0
4 9903 63 27 7 0
4.125 9895 68 29 8 0
4.25 9889 71 31 9 0
4.375 9880 69 42 9 0
4.5 9868 79 43 10 0
4.625 9856 87 46 11 0
4.75 9838 98 52 12 0
4.875 9823 101 63 13 0
5 9800 120 66 14 0
5.125 9788 120 74 18 0
5.25 9770 128 84 18 0
5.375 9753 133 92 22 0
5.5 9729 151 94 26 0
5.625 9704 168 100 28 0
5.75 9682 182 104 32 0
5.875 9665 189 113 33 0
6 9643 196 126 35 0
6.125 9623 212 126 39 0
6.25 9594 228 136 42 0
6.375 9568 237 148 47 0
6.5 9538 247 163 52 0
6.625 9500 269 177 54 0
6.75 9460 290 192 58 0
6.875 9431 308 197 62 2
7 9426 295 211 66 2
7.125 9423 283 223 69 2
7.25 9419 268 234 77 2
7.375 9417 252 246 83 2
7.5 9415 242 252 89 2
7.625 9414 231 255 98 2
7.75 9409 224 264 101 2
7.875 9409 217 271 101 2
8 9405 210 276 107 2
8.125 9399 202 284 113 2
8.25 9395 197 286 120 2
8.375 9391 197 277 133 2
8.5 9386 183 293 136 2
8.625 9382 171 306 139 2
8.75 9380 167 307 144 2
8.875 9377 161 307 153 2
9 9374 155 308 161 2
9.125 9369 146 317 166 2
9.25 9364 142 319 173 2
9.375 9362 133 326 177 2
9.5 9360 130 325 183 2
9.625 9358 127 325 188 2
9.75 9351 128 325 194 2
9.875 9346 126 326 200 2
10 9340 118 338 202 2
10.125 9339 114 334 211 2
10.25 9335 110 333 220 2
10.375 9334 101 336 226 3
10.5 9330 98 341 228 3
10.625 9327 97 339 234 3
10.75 9324 96 337 240 3
10.875 9321 92 331 253 3
11 9319 91 323 264 3
11.125 9318 90 319 270 3
11.25 9318 81 326 272 3
11.375 9317 73 326 281 3
11.5 9316 70 326 285 3
11.625 9312 69 327 288 4
11.75 9312 67 327 290 4
11.875 9309 68 324 295 4
12 9309 64 320 302 5
12.125 9309 61 315 310 5
12.25 9306 59 315 314 6
12.375 9304 54 316 320 6
12.5 9303 51 315 325 6
12.625 9302 49 315 328 6
12.75 9302 47 306 339 6
12.875 9301 44 300 349 6
13 9298 46 296 354 6
13.125 9298 40 293 363 6
13.25 9298 38 286 372 6
13.375 9298 37 281 378 6
13.5 9298 37 274 385 6
13.625 9294 39 270 391 6
13.75 9293 39 269 393 6
13.875 9292 39 263 400 6
14 9290 35 264 404 7
14.125 9288 34 261 410 7
14.25 9287 32 259 415 7
14.375 9287 31 257 418 7
14.5 9287 28 254 424 7
14.625 9286 29 246 432 7
14.75 9286 29 239 439 7
14.875 9285 26 239 443 7
15 9284 26 232 451 7
15.125 9283 26 228 456 7
15.25 9283 25 226 459 7
15.375 9283 24 222 464 7
15.5 9282 24 215 472 7
15.625 9282 23 211 477 7
15.75 9281 23 210 479 7
15.875 9280 23 207 483 7
16 9278 24 203 487 8
16.125 9278 23 204 487 8
16.25 9278 23 202 489 8
16.375 9277 22 201 492 8
16.5 9277 21 199 495 8
16.625 9274 24 194 500 8
16.75 9273 24 193 502 8
16.875 9272 22 191 507 8
17 9270 23 188 511 8
17.125 9270 21 185 516 8
17.25 9270 18 186 518 8
17.375 9270 16 183 523 8
17.5 9269 16 183 524 8
17.625 9269 16 179 528 8
17.75 9268 15 179 530 8
17.875 9268 15 173 536 8
18 9268 13 170 541 8
18.125 9268 8 167 549 8
18.25 9268 7 166 551 8
18.375 9268 7 161 556 8
18.5 9268 7 160 557 8
18.625 9268 7 159 558 8
18.75 9268 6 157 560 9
18.875 9268 5 153 565 9
19 9267 6 149 569 9
19.125 9267 6 146 572 9
19.25 9267 6 145 573 9
19.375 9267 5 142 577 9
19.5 9266 6 138 581 9
19.625 9266 6 138 581 9
19.75 9266 6 138 581 9
19.875 9266 6 137 582 9
20 9266 6 134 585 9
20.125 9266 6 132 587 9
20.25 9266 6 131 588 9
20.375 9265 7 129 590 9
20.5 9265 7 127 592 9
20.625 9265 7 126 593 9
20.75 9265 7 122 597 9
20.875 9265 7 117 602 9
21 9264 8 115 604 9
21.125 9264 8 112 607 9
21.25 9263 8 112 608 9
21.375 9263 8 111 609 9
21.5 9263 8 107 613 9
21.625 9263 6 107 615 9
21.75 9263 5 106 617 9
21.875 9263 5 104 619 9
22 9263 5 103 620 9
22.125 9263 5 102 621 9
22.25 9263 5 102 621 9
22.375 9263 5 102 621 9
22.5 9263 4 98 626 9
22.625 9263 4 97 627 9
22.75 9263 4 94 630 9
22.875 9263 4 93 631 9
23 9263 4 91 633 9
23.125 9263 4 91 633 9
23.25 9263 4 90 634 9
23.375 9263 4 90 634 9
23.5 9263 4 88 636 9
23.625 9263 3 89 636 9
23.75 9263 2 89 637 9
23.875 9263 2 87 639 9
