t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9998 1 1 0 0
1 9998 1 1 0 0
1.125 9998 1 1 0 0
1.25 9998 1 1 0 0
1.375 9998 1 1 0 0
1.5 9998 1 1 0 0
1.625 9998 1 1 0 0
1.75 9998 1 1 0 0
1.875 9998 1 1 0 0
2 9997 2 1 0 0
2.125 9997 2 1 0 0
2.25 9997 2 1 0 0
2.375 9997 2 1 0 0
2.5 9997 1 2 0 0
2.625 9997 1 2 0 0
2.75 9997 1 2 0 0
2.875 9997 1 2 0 0
3 9997 1 2 0 0
3.125 9997 1 2 0 0
3.25 9997 1 2 0 0
3.375 9997 1 2 0 0
3.5 9996 2 2 0 0
3.625 9996 2 2 0 0
3.75 9996 2 2 0 0
3.875 9996 2 2 0 0
4 9996 2 2 0 0
4.125 9996 2 2 0 0
4.25 9996 1 3 0 0
4.375 9996 1 3 0 0
4.5 9995 2 3 0 0
4.625 9994 3 3 0 0
4.75 9993 4 3 0 0
4.875 9992 5 3 0 0
5 9990 6 4 0 0
5.125 9988 8 4 0 0
5.25 9987 9 4 0 0
5.375 9986 10 4 0 0
5.5 9986 10 4 0 0
5.625 9986 9 4 1 0
5.75 9984 8 7 1 0
5.875 9984 8 7 1 0
6 9984 7 8 1 0
6.125 9982 9 8 1 0
6.25 9978 13 8 1 0
6.375 9975 15 9 1 0
6.5 9973 16 10 1 0
6.625 9970 19 10 1 0
6.75 9970 19 10 1 0
6.875 9970 19 9 2 0
7 9967 21 10 2 0
7.125 9966 20 12 2 0
7.25 9966 17 15 2 0
7.375 9966 16 16 2 0
7.5 9964 16 18 2 0
7.625 9963 17 18 2 0
7.75 9961 18 18 3 0
7.875 9960 19 18 3 0
8 9960 18 18 4 0
8.125 9960 16 20 4 0
8.25 9958 18 20 4 0
8.375 9955 21 20 4 0
8.5 9954 19 23 4 0
8.625 9951 21 23 5 0
8.75 9949 21 25 5 0
8.875 9949 19 27 5 0
9 9947 19 28 6 0
9.125 9942 23 29 6 0
9.25 9937 27 30 6 0
9.375 9935 29 29 7 0
9.5 9934 29 30 7 0
9.625 9928 33 32 7 0
9.75 9923 36 33 8 0
9.875 9916 41 35 8 0
10 9914 40 38 8 0
10.125 9908 42 42 8 0
10.25 9905 42 45 8 0
10.375 9903 41 47 9 0
10.5 9900 41 47 12 0
10.625 9895 42 47 16 0
10.75 9893 42 49 16 0
10.875 9892 42 50 16 0
11 9889 40 53 18 0
11.125 9878 48 54 20 0
11.25 9869 52 59 20 0
11.375 9866 54 57 23 0
11.5 9859 58 57 26 0
11.625 9854 61 59 26 0
11.75 9846 69 59 26 0
