t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9999 0 1 0 0
1.25 9999 0 1 0 0
1.375 9999 0 1 0 0
1.5 9998 1 1 0 0
1.625 9998 1 1 0 0
1.75 9997 2 1 0 0
1.875 9997 2 1 0 0
2 9996 3 1 0 0
2.125 9996 3 1 0 0
2.25 9995 4 1 0 0
2.375 9995 4 1 0 0
2.5 9995 4 1 0 0
2.625 9995 4 1 0 0
2.75 9995 4 1 0 0
2.875 9995 3 2 0 0
3 9995 3 2 0 0
3.125 9995 3 2 0 0
3.25 9994 3 3 0 0
3.375 9994 3 3 0 0
3.5 9994 3 3 0 0
3.625 9994 3 2 1 0
3.75 9994 3 2 1 0
3.875 9994 3 2 1 0
4 9994 3 2 1 0
4.125 9994 3 2 1 0
4.25 9994 3 2 1 0
4.375 9994 2 3 1 0
4.5 9994 2 3 1 0
4.625 9994 2 3 1 0
4.75 9994 0 5 1 0
4.875 9994 0 5 1 0
5 9994 0 5 1 0
5.125 9992 2 5 1 0
5.25 9991 3 5 1 0
5.375 9991 2 6 1 0
5.5 9991 1 7 1 0
5.625 9989 3 7 1 0
5.75 9988 4 7 1 0
5.875 9987 5 6 2 0
6 9987 5 6 2 0
6.125 9987 5 5 3 0
6.25 9987 4 6 3 0
6.375 9986 5 6 3 0
6.5 9985 6 6 3 0
6.625 9985 6 6 3 0
6.75 9985 5 7 3 0
6.875 9985 4 8 3 0
7 9984 5 8 3 0
7.125 9983 6 8 3 0
7.25 9983 5 9 3 0
7.375 9983 4 9 4 0
7.5 9983 4 8 5 0
7.625 9983 4 8 5 0
7.75 9982 4 9 5 0
7.875 9982 3 10 5 0
8 9982 3 10 5 0
8.125 9982 3 9 6 0
8.25 9982 2 10 6 0
8.375 9982 1 11 6 0
8.5 9982 1 11 6 0
8.625 9982 1 10 7 0
8.75 9981 2 10 7 0
8.875 9979 4 10 7 0
9 9979 4 10 7 0
9.125 9978 5 10 7 0
9.25 9978 4 11 7 0
9.375 9977 5 11 7 0
9.5 9977 5 11 7 0
9.625 9976 6 10 8 0
9.75 9976 5 10 9 0
9.875 9973 8 10 9 0
10 9972 9 10 9 0
10.125 9972 9 10 9 0
10.25 9972 9 10 9 0
10.375 9971 10 10 9 0
10.5 9970 10 11 9 0
10.625 9970 8 13 9 0
10.75 9969 9 13 9 0
10.875 9969 9 13 9 0
11 9968 9 13 10 0
11.125 9967 9 14 10 0
11.25 9967 9 14 10 0
11.375 9967 9 13 11 0
11.5 9963 12 14 11 0
11.625 9959 14 16 11 0
11.75 9957 16 16 11 0
