t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 1 1 0
0.5 9997 1 1 1 0
0.625 9997 1 1 1 0
0.75 9997 1 1 1 0
0.875 9997 1 1 1 0
1 9996 2 1 1 0
1.125 9996 2 1 1 0
1.25 9995 2 2 1 0
1.375 9995 2 2 1 0
1.5 9995 2 2 1 0
1.625 9995 2 2 1 0
1.75 9995 2 2 1 0
1.875 9995 2 2 1 0
2 9995 2 2 1 0
2.125 9995 2 2 1 0
2.25 9995 2 2 1 0
2.375 9995 2 2 1 0
2.5 9995 2 2 1 0
2.625 9995 2 2 1 0
2.75 9995 2 2 1 0
2.875 9995 2 2 1 0
3 9995 2 2 1 0
3.125 9995 2 2 1 0
3.25 9995 1 3 1 0
3.375 9994 2 3 1 0
3.5 9993 3 3 1 0
3.625 9993 2 4 1 0
3.75 9981 14 4 1 0
3.875 9966 29 4 1 0
4 9948 46 5 1 0
4.125 9938 52 9 1 0
4.25 9917 70 12 1 0
4.375 9906 80 13 1 0
4.5 9889 91 19 1 0
4.625 9882 95 22 1 0
4.75 9868 107 24 1 0
4.875 9855 114 30 1 0
5 9839 125 34 2 0
5.125 9828 129 40 3 0
5.25 9811 142 41 6 0
5.375 9792 154 48 6 0
5.5 9766 173 54 7 0
5.625 9745 189 58 8 0
5.75 9717 201 73 9 0
5.875 9677 226 85 12 0
6 9622 263 102 13 0
6.125 9569 300 116 15 0
6.25 9518 336 129 17 0
6.375 9452 374 152 22 0
6.5 9387 422 165 26 0
6.625 9327 456 187 30 0
6.75 9261 501 206 32 0
6.875 9202 536 223 39 0
7 9122 591 243 44 0
7.125 9047 626 279 48 0
7.25 8976 651 319 54 0
7.375 8897 690 351 62 0
7.5 8813 723 392 72 0
7.625 8731 760 428 81 0
7.75 8654 791 468 87 0
7.875 8548 855 504 93 0
8 8442 903 557 98 0
8.125 8333 959 600 108 0
8.25 8221 1006 652 121 0
8.375 8104 1059 707 130 0
8.5 7975 1128 755 142 0
