t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9996 2 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9995 3 2 0 0
2.125 9995 3 1 1 0
2.25 9995 3 1 1 0
2.375 9995 3 1 1 0
2.5 9995 2 2 1 0
2.625 9991 6 2 1 0
2.75 9984 13 2 1 0
2.875 9973 23 3 1 0
3 9965 31 3 1 0
3.125 9959 34 6 1 0
3.25 9952 41 6 1 0
3.375 9946 45 8 1 0
3.5 9941 47 11 1 0
3.625 9926 58 15 1 0
3.75 9918 62 18 2 0
3.875 9913 62 23 2 0
4 9908 62 27 3 0
4.125 9900 66 31 3 0
4.25 9896 62 39 3 0
4.375 9887 69 41 3 0
4.5 9875 76 46 3 0
4.625 9872 77 48 3 0
4.75 9864 77 55 4 0
4.875 9849 90 57 4 0
5 9840 92 63 5 0
5.125 9827 101 64 8 0
5.25 9818 101 71 10 0
5.375 9805 107 78 10 0
5.5 9788 120 81 11 0
5.625 9758 145 86 11 0
5.75 9737 157 92 14 0
5.875 9699 183 102 16 0
6 9648 220 115 17 0
6.125 9570 285 124 21 0
6.25 9529 307 143 21 0
6.375 9468 350 159 23 0
6.5 9384 414 175 27 0
6.625 9304 471 196 29 0
6.75 9231 518 218 33 0
6.875 9147 567 247 39 0
7 9082 600 271 47 0
7.125 9014 632 302 52 0
7.25 8961 640 338 61 0
7.375 8894 672 366 68 0
7.5 8834 703 387 76 0
7.625 8764 721 430 84 1
7.75 8760 686 463 90 1
7.875 8758 648 495 98 1
8 8754 619 522 104 1
8.125 8746 586 555 112 1
8.25 8742 556 573 128 1
8.375 8736 518 602 143 1
8.5 8730 497 623 149 1
