t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9998 1 1 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9998 0 2 0 0
1.75 9998 0 2 0 0
1.875 9998 0 2 0 0
2 9998 0 2 0 0
2.125 9998 0 2 0 0
2.25 9998 0 2 0 0
2.375 9998 0 2 0 0
2.5 9998 0 2 0 0
2.625 9998 0 2 0 0
2.75 9998 0 2 0 0
2.875 9998 0 2 0 0
3 9998 0 2 0 0
3.125 9998 0 2 0 0
3.25 9998 0 2 0 0
3.375 9998 0 2 0 0
3.5 9998 0 2 0 0
3.625 9998 0 2 0 0
3.75 9997 1 2 0 0
3.875 9997 1 2 0 0
4 9997 1 2 0 0
4.125 9997 1 2 0 0
4.25 9997 1 2 0 0
4.375 9997 1 2 0 0
4.5 9997 1 2 0 0
4.625 9996 2 2 0 0
4.75 9996 2 2 0 0
4.875 9995 3 2 0 0
5 9995 3 2 0 0
5.125 9995 3 2 0 0
5.25 9995 1 4 0 0
5.375 9994 2 4 0 0
5.5 9991 5 4 0 0
5.625 9989 7 4 0 0
5.75 9985 10 5 0 0
5.875 9983 12 5 0 0
6 9980 14 5 1 0
6.125 9977 17 5 1 0
6.25 9972 21 6 1 0
6.375 9969 20 10 1 0
6.5 9964 24 10 2 0
6.625 9961 27 9 3 0
6.75 9957 31 8 4 0
6.875 9953 33 10 4 0
7 9951 33 12 4 0
7.125 9949 33 14 4 0
7.25 9940 40 16 4 0
7.375 9931 48 17 4 0
7.5 9929 47 19 5 0
7.625 9925 47 21 7 0
7.75 9920 48 25 7 0
7.875 9916 49 28 7 0
8 9914 48 30 8 0
8.125 9911 46 35 8 0
8.25 9904 52 35 9 0
8.375 9898 57 33 12 0
8.5 9894 52 42 12 0
8.625 9885 58 44 13 0
8.75 9880 60 47 13 0
8.875 9873 61 52 14 0
9 9864 62 58 16 0
9.125 9856 67 60 17 0
9.25 9851 66 64 19 0
9.375 9844 68 68 20 0
9.5 9832 78 69 21 0
9.625 9821 83 75 21 0
9.75 9815 85 77 23 0
9.875 9806 91 80 23 0
10 9802 92 81 25 0
10.125 9793 97 85 25 0
10.25 9791 93 85 31 0
10.375 9786 89 91 34 0
10.5 9775 96 92 37 0
10.625 9772 92 96 40 0
10.75 9764 96 100 40 0
10.875 9753 99 105 43 0
11 9736 106 112 46 0
11.125 9724 112 117 47 0
11.25 9715 112 122 51 0
11.375 9698 121 127 54 0
11.5 9680 132 131 57 0
11.625 9660 146 136 58 0
11.75 9643 150 145 62 0
