t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9997 0 3 0 0
0.625 9996 1 3 0 0
0.75 9996 1 3 0 0
0.875 9996 1 3 0 0
1 9996 1 3 0 0
1.125 9996 1 3 0 0
1.25 9996 1 3 0 0
1.375 9996 1 3 0 0
1.5 9996 1 3 0 0
1.625 9996 0 4 0 0
1.75 9991 5 4 0 0
1.875 9985 11 4 0 0
2 9974 22 4 0 0
2.125 9965 30 5 0 0
2.25 9955 38 7 0 0
2.375 9943 48 8 1 0
2.5 9941 48 10 1 0
2.625 9939 47 13 1 0
2.75 9936 42 21 1 0
2.875 9934 43 21 2 0
3 9930 45 23 2 0
3.125 9929 44 25 2 0
3.25 9924 46 27 3 0
3.375 9920 48 29 3 0
3.5 9918 47 31 4 0
3.625 9917 43 36 4 0
3.75 9907 49 38 6 0
3.875 9899 51 44 6 0
4 9891 54 47 8 0
4.125 9884 59 47 10 0
4.25 9879 55 55 11 0
4.375 9867 62 60 11 0
4.5 9844 84 59 13 0
4.625 9823 97 66 14 0
4.75 9802 113 68 17 0
4.875 9789 120 74 17 0
5 9778 121 82 19 0
5.125 9762 131 87 20 0
5.25 9745 135 99 21 0
5.375 9728 140 106 26 0
5.5 9704 158 111 27 0
5.625 9681 173 117 29 0
5.75 9651 189 128 32 0
5.875 9632 201 131 36 0
6 9601 221 139 39 0
6.125 9582 229 149 40 0
6.25 9547 246 166 41 0
6.375 9517 265 176 42 0
6.5 9485 286 186 43 0
6.625 9446 308 203 43 0
6.75 9417 318 218 47 0
6.875 9370 348 230 52 0
7 9337 364 242 57 0
7.125 9292 380 267 61 0
7.25 9238 409 287 66 0
7.375 9171 447 311 71 0
7.5 9095 490 335 80 0
7.625 9009 543 357 91 0
7.75 8925 577 403 95 0
7.875 8830 642 428 100 0
8 8745 690 454 111 0
8.125 8656 736 487 121 0
8.25 8589 757 521 133 0
8.375 8504 794 556 146 0
8.5 8405 836 605 154 0
