t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9996 2 1 1 0
0.875 9996 2 1 1 0
1 9996 2 1 1 0
1.125 9996 2 1 1 0
1.25 9996 2 1 1 0
1.375 9996 2 1 1 0
1.5 9996 2 1 1 0
1.625 9996 2 1 1 0
1.75 9996 2 1 1 0
1.875 9996 1 2 1 0
2 9996 1 2 1 0
2.125 9996 1 2 1 0
2.25 9996 1 2 1 0
2.375 9996 1 2 1 0
2.5 9996 1 2 1 0
2.625 9996 1 2 1 0
2.75 9996 1 2 1 0
2.875 9996 1 2 1 0
3 9996 1 2 1 0
3.125 9996 1 2 1 0
3.25 9996 1 2 1 0
3.375 9996 1 1 2 0
3.5 9996 1 1 2 0
3.625 9996 1 1 2 0
3.75 9996 0 2 2 0
3.875 9982 14 1 3 0
4 9982 11 4 3 0
4.125 9982 10 5 3 0
4.25 9982 10 5 3 0
4.375 9982 10 4 4 0
4.5 9982 10 4 4 0
4.625 9981 10 5 4 0
4.75 9981 8 7 4 0
4.875 9981 6 9 4 0
5 9979 7 10 4 0
5.125 9977 8 11 4 0
5.25 9977 7 11 5 0
5.375 9977 7 11 5 0
5.5 9975 9 11 5 0
5.625 9974 9 12 5 0
5.75 9972 10 13 5 0
5.875 9971 10 14 5 0
6 9971 10 14 5 0
6.125 9970 10 14 6 0
6.25 9968 12 14 6 0
6.375 9968 11 14 7 0
6.5 9967 12 14 7 0
6.625 9967 12 13 8 0
6.75 9966 11 15 8 0
6.875 9963 14 15 8 0
7 9961 16 15 8 0
7.125 9960 16 15 9 0
7.25 9960 16 15 9 0
7.375 9960 15 16 9 0
7.5 9955 19 16 10 0
7.625 9943 31 15 11 0
7.75 9925 46 18 11 0
7.875 9913 54 21 12 0
8 9911 52 25 12 0
8.125 9903 58 26 13 0
8.25 9883 74 30 13 0
8.375 9867 87 32 14 0
8.5 9841 108 37 14 0
