t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9999 0 1 0 0
1.25 9999 0 1 0 0
1.375 9999 0 1 0 0
1.5 9999 0 1 0 0
1.625 9999 0 1 0 0
1.75 9998 1 1 0 0
1.875 9998 1 1 0 0
2 9998 1 1 0 0
2.125 9998 1 1 0 0
2.25 9998 1 1 0 0
2.375 9998 1 1 0 0
2.5 9998 1 1 0 0
2.625 9998 1 1 0 0
2.75 9998 1 1 0 0
2.875 9998 1 1 0 0
3 9998 1 1 0 0
3.125 9998 1 1 0 0
3.25 9998 1 1 0 0
3.375 9998 1 1 0 0
3.5 9998 1 1 0 0
3.625 9998 1 1 0 0
3.75 9998 1 1 0 0
3.875 9998 1 1 0 0
4 9998 1 1 0 0
4.125 9998 1 1 0 0
4.25 9998 1 1 0 0
4.375 9998 1 1 0 0
4.5 9998 1 1 0 0
4.625 9998 1 1 0 0
4.75 9998 1 1 0 0
4.875 9998 1 1 0 0
5 9998 1 1 0 0
5.125 9998 1 1 0 0
5.25 9998 1 1 0 0
5.375 9998 1 1 0 0
5.5 9998 1 1 0 0
5.625 9998 1 1 0 0
5.75 9998 1 1 0 0
5.875 9998 1 1 0 0
6 9998 1 1 0 0
6.125 9998 1 1 0 0
6.25 9998 1 1 0 0
6.375 9998 1 1 0 0
6.5 9998 1 1 0 0
6.625 9998 1 1 0 0
6.75 9998 1 1 0 0
6.875 9998 0 2 0 0
7 9996 2 2 0 0
7.125 9993 5 2 0 0
7.25 9993 5 2 0 0
7.375 9991 5 4 0 0
7.5 9987 7 6 0 0
7.625 9985 9 5 1 0
7.75 9984 9 6 1 0
7.875 9981 12 5 2 0
8 9979 13 6 2 0
8.125 9978 12 8 2 0
8.25 9974 16 8 2 0
8.375 9972 17 9 2 0
8.5 9972 16 10 2 0
8.625 9968 20 10 2 0
8.75 9965 23 10 2 0
8.875 9964 23 11 2 0
9 9960 25 13 2 0
9.125 9959 26 13 2 0
9.25 9957 28 12 3 0
9.375 9957 27 13 3 0
9.5 9956 24 17 3 0
9.625 9950 28 19 3 0
9.75 9944 31 22 3 0
9.875 9936 37 24 3 0
10 9931 37 28 4 0
10.125 9924 42 30 4 0
10.25 9914 49 32 5 0
10.375 9909 47 38 6 0
10.5 9899 54 41 6 0
10.625 9891 59 44 6 0
10.75 9884 64 46 6 0
10.875 9873 70 51 6 0
11 9867 74 52 7 0
11.125 9862 78 52 8 0
11.25 9849 82 60 9 0
11.375 9833 95 61 11 0
11.5 9817 105 67 11 0
11.625 9803 111 74 12 0
11.75 9792 118 77 13 0
