t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 1 1 0
0.625 9998 0 1 1 0
0.75 9998 0 1 1 0
0.875 9998 0 1 1 0
1 9998 0 1 1 0
1.125 9998 0 1 1 0
1.25 9998 0 1 1 0
1.375 9998 0 1 1 0
1.5 9998 0 1 1 0
1.625 9998 0 1 1 0
1.75 9998 0 1 1 0
1.875 9998 0 1 1 0
2 9998 0 1 1 0
2.125 9998 0 1 1 0
2.25 9998 0 1 1 0
2.375 9998 0 1 1 0
2.5 9998 0 1 1 0
2.625 9998 0 1 1 0
2.75 9998 0 1 1 0
2.875 9997 1 1 1 0
3 9997 0 2 1 0
3.125 9997 0 2 1 0
3.25 9996 1 2 1 0
3.375 9995 2 2 1 0
3.5 9994 3 2 1 0
3.625 9992 5 2 1 0
3.75 9992 5 2 1 0
3.875 9991 6 2 1 0
4 9990 7 2 1 0
4.125 9989 8 2 1 0
4.25 9989 6 4 1 0
4.375 9987 8 4 1 0
4.5 9985 10 4 1 0
4.625 9985 9 5 1 0
4.75 9985 8 6 1 0
4.875 9984 8 7 1 0
5 9983 9 7 1 0
5.125 9981 11 7 1 0
5.25 9979 13 7 1 0
5.375 9976 14 9 1 0
5.5 9975 15 9 1 0
5.625 9974 16 9 1 0
5.75 9974 15 10 1 0
5.875 9972 17 10 1 0
6 9971 15 13 1 0
6.125 9967 18 13 2 0
6.25 9964 21 13 2 0
6.375 9957 26 15 2 0
6.5 9955 26 17 2 0
6.625 9952 26 20 2 0
6.75 9947 30 20 3 0
6.875 9941 32 23 4 0
7 9937 34 24 5 0
7.125 9927 41 27 5 0
7.25 9922 45 27 6 0
7.375 9913 51 30 6 0
7.5 9907 54 30 9 0
7.625 9905 53 29 13 0
7.75 9900 56 30 14 0
7.875 9899 53 33 15 0
8 9877 70 37 16 0
8.125 9860 81 43 16 0
8.25 9826 111 46 17 0
8.375 9806 122 55 17 0
8.5 9775 146 62 17 0
