t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9996 2 2 0 0
1.125 9995 3 2 0 0
1.25 9995 3 2 0 0
1.375 9995 3 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 2 0 0
1.75 9994 4 2 0 0
1.875 9994 4 2 0 0
2 9994 4 2 0 0
2.125 9993 4 3 0 0
2.25 9993 4 3 0 0
2.375 9992 5 3 0 0
2.5 9992 5 3 0 0
2.625 9990 5 5 0 0
2.75 9990 4 6 0 0
2.875 9989 5 6 0 0
3 9984 10 5 1 0
3.125 9980 14 5 1 0
3.25 9978 14 7 1 0
3.375 9974 18 7 1 0
3.5 9973 18 8 1 0
3.625 9971 18 8 3 0
3.75 9968 20 9 3 0
3.875 9965 23 9 3 0
4 9959 28 10 3 0
4.125 9955 31 11 3 0
4.25 9953 29 15 3 0
4.375 9949 31 17 3 0
4.5 9946 31 20 3 0
4.625 9940 37 19 4 0
4.75 9935 41 20 4 0
4.875 9929 45 22 4 0
5 9923 49 24 4 0
5.125 9916 53 24 7 0
5.25 9908 59 25 8 0
5.375 9904 60 28 8 0
5.5 9899 61 30 10 0
5.625 9894 64 32 10 0
5.75 9891 64 35 10 0
5.875 9886 64 38 12 0
6 9879 67 40 14 0
6.125 9875 69 41 15 0
6.25 9854 84 47 15 0
6.375 9834 98 51 17 0
6.5 9818 109 52 21 0
6.625 9794 125 59 22 0
6.75 9765 146 67 22 0
6.875 9749 156 73 22 0
7 9727 171 76 26 0
7.125 9700 182 90 28 0
7.25 9670 204 97 29 0
7.375 9628 230 112 30 0
7.5 9595 252 117 36 0
7.625 9562 271 127 40 0
7.75 9528 285 146 41 0
7.875 9480 312 166 42 0
8 9435 334 186 45 0
8.125 9399 351 198 52 0
8.25 9349 376 219 56 0
8.375 9299 402 235 64 0
8.5 9253 425 252 70 0
