t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9998 1 1 0 0
0.625 9998 1 1 0 0
0.75 9998 1 1 0 0
0.875 9997 2 1 0 0
1 9997 2 1 0 0
1.125 9997 2 1 0 0
1.25 9997 2 1 0 0
1.375 9997 2 1 0 0
1.5 9997 1 2 0 0
1.625 9990 8 2 0 0
1.75 9985 13 2 0 0
1.875 9982 16 2 0 0
2 9978 20 2 0 0
2.125 9972 25 3 0 0
2.25 9968 29 3 0 0
2.375 9961 33 6 0 0
2.5 9960 31 8 1 0
2.625 9956 32 10 2 0
2.75 9953 33 12 2 0
2.875 9948 38 12 2 0
3 9944 42 12 2 0
3.125 9939 47 12 2 0
3.25 9937 47 14 2 0
3.375 9932 48 17 3 0
3.5 9928 48 21 3 0
3.625 9921 53 21 5 0
3.75 9915 54 26 5 0
3.875 9911 52 31 6 0
4 9904 54 35 7 0
4.125 9899 57 35 9 0
4.25 9890 64 36 10 0
4.375 9881 72 37 10 0
4.5 9870 77 43 10 0
4.625 9864 76 49 11 0
4.75 9858 72 56 14 0
4.875 9843 80 63 14 0
5 9834 84 67 15 0
5.125 9821 93 68 18 0
5.25 9819 83 80 18 0
5.375 9811 85 86 18 0
5.5 9801 90 85 24 0
5.625 9790 94 88 28 0
5.75 9783 96 91 30 0
5.875 9778 97 93 32 0
6 9774 91 102 33 0
6.125 9761 92 112 35 0
6.25 9746 99 120 35 0
6.375 9738 105 120 37 0
6.5 9723 115 121 41 0
6.625 9712 120 122 46 0
6.75 9696 127 128 49 0
6.875 9680 137 133 50 0
7 9661 149 137 53 0
7.125 9652 148 143 57 0
7.25 9634 156 150 60 0
7.375 9618 163 156 63 0
7.5 9596 181 156 67 0
7.625 9580 186 166 68 0
7.75 9559 195 172 74 0
7.875 9546 194 185 75 0
8 9518 210 194 78 0
8.125 9489 227 200 84 0
8.25 9466 238 206 90 0
8.375 9412 280 210 98 0
8.5 9385 292 221 102 0
8.625 9342 316 237 105 0
8.75 9307 333 250 110 0
8.875 9274 345 267 114 0
9 9250 356 276 118 0
9.125 9216 365 297 122 0
9.25 9192 372 309 127 0
9.375 9153 388 324 135 0
9.5 9122 392 346 140 0
9.625 9089 400 369 142 0
9.75 9043 430 380 147 0
9.875 9004 441 398 157 0
10 8972 443 416 169 0
10.125 8942 445 434 179 0
10.25 8896 460 461 183 0
10.375 8847 488 468 197 0
10.5 8809 490 495 205 1
10.625 8792 477 514 216 1
10.75 8769 466 538 226 1
10.875 8747 461 553 238 1
11 8727 454 566 252 1
11.125 8702 456 580 261 1
11.25 8683 446 598 272 1
11.375 8664 441 613 281 1
11.5 8649 426 634 290 1
11.625 8624 421 655 299 1
11.75 8603 414 671 311 1
