t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9999 0 1 0 0
1.25 9999 0 1 0 0
1.375 9999 0 1 0 0
1.5 9999 0 1 0 0
1.625 9999 0 1 0 0
1.75 9999 0 1 0 0
1.875 9999 0 1 0 0
2 9999 0 1 0 0
2.125 9998 1 1 0 0
2.25 9998 1 1 0 0
2.375 9998 1 1 0 0
2.5 9998 1 1 0 0
2.625 9998 0 2 0 0
2.75 9996 2 2 0 0
2.875 9993 5 2 0 0
3 9991 7 2 0 0
3.125 9990 8 2 0 0
3.25 9987 11 2 0 0
3.375 9986 10 4 0 0
3.5 9982 12 5 1 0
3.625 9980 14 5 1 0
3.75 9978 16 5 1 0
3.875 9977 16 6 1 0
4 9975 17 7 1 0
4.125 9973 18 8 1 0
4.25 9972 19 7 2 0
4.375 9969 20 9 2 0
4.5 9967 21 9 3 0
4.625 9965 22 10 3 0
4.75 9963 22 12 3 0
4.875 9960 24 13 3 0
5 9957 26 14 3 0
5.125 9954 27 16 3 0
5.25 9954 26 17 3 0
5.375 9951 27 19 3 0
5.5 9948 27 20 5 0
5.625 9945 28 21 6 0
5.75 9942 29 23 6 0
5.875 9938 31 24 7 0
6 9934 33 24 9 0
6.125 9932 34 25 9 0
6.25 9928 36 26 10 0
6.375 9926 36 26 12 0
6.5 9922 38 26 14 0
6.625 9920 36 28 16 0
6.75 9920 33 31 16 0
6.875 9917 34 33 16 0
7 9916 31 37 16 0
7.125 9916 28 38 18 0
7.25 9909 34 39 18 0
7.375 9908 33 41 18 0
7.5 9904 37 41 18 0
7.625 9903 36 42 19 0
7.75 9902 35 43 20 0
7.875 9900 36 41 23 0
8 9897 37 43 23 0
8.125 9891 42 43 24 0
8.25 9890 42 43 25 0
8.375 9887 41 46 26 0
8.5 9881 45 48 26 0
8.625 9877 46 51 26 0
8.75 9874 47 53 26 0
8.875 9868 49 57 26 0
9 9860 53 60 27 0
9.125 9850 59 63 28 0
9.25 9845 60 66 29 0
9.375 9836 64 69 31 0
9.5 9825 70 72 33 0
9.625 9816 76 74 34 0
9.75 9808 78 79 35 0
9.875 9788 95 80 37 0
10 9780 100 83 37 0
10.125 9764 111 86 39 0
10.25 9758 112 88 42 0
10.375 9747 115 95 43 0
10.5 9736 120 97 47 0
10.625 9727 120 101 52 0
10.75 9715 130 101 54 0
10.875 9702 137 105 56 0
11 9686 144 113 57 0
11.125 9673 144 121 62 0
11.25 9658 151 128 63 0
11.375 9644 152 139 65 0
11.5 9632 152 149 67 0
11.625 9617 151 165 67 0
11.75 9600 155 175 70 0
