t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9996 2 2 0 0
0.875 9995 3 2 0 0
1 9995 3 2 0 0
1.125 9994 4 2 0 0
1.25 9993 5 2 0 0
1.375 9993 5 2 0 0
1.5 9992 6 2 0 0
1.625 9992 6 2 0 0
1.75 9992 6 2 0 0
1.875 9992 5 3 0 0
2 9992 5 3 0 0
2.125 9992 4 4 0 0
2.25 9992 4 4 0 0
2.375 9992 4 4 0 0
2.5 9992 4 4 0 0
2.625 9991 5 4 0 0
2.75 9990 4 6 0 0
2.875 9990 3 7 0 0
3 9989 4 7 0 0
3.125 9988 5 7 0 0
3.25 9987 6 7 0 0
3.375 9987 6 7 0 0
3.5 9987 6 7 0 0
3.625 9987 5 8 0 0
3.75 9983 9 8 0 0
3.875 9980 11 9 0 0
4 9979 11 10 0 0
4.125 9976 14 10 0 0
4.25 9974 16 10 0 0
4.375 9971 16 13 0 0
4.5 9966 19 15 0 0
4.625 9963 21 16 0 0
4.75 9955 29 16 0 0
4.875 9948 35 17 0 0
5 9946 36 18 0 0
5.125 9942 36 22 0 0
5.25 9933 43 23 1 0
5.375 9930 42 26 2 0
5.5 9927 39 31 3 0
5.625 9924 36 36 4 0
5.75 9919 40 37 4 0
5.875 9912 46 36 6 0
6 9902 54 36 8 0
6.125 9882 69 41 8 0
6.25 9861 84 47 8 0
6.375 9831 110 49 10 0
6.5 9792 142 54 12 0
6.625 9746 174 67 13 0
6.75 9714 195 77 14 0
6.875 9682 214 89 15 0
7 9625 263 96 16 0
7.125 9557 314 111 18 0
7.25 9475 373 133 19 0
7.375 9406 415 159 20 0
7.5 9332 466 177 25 0
7.625 9249 511 211 29 0
7.75 9159 577 231 33 0
7.875 9066 640 257 37 0
8 8979 683 295 43 0
8.125 8898 719 334 49 0
8.25 8787 773 385 55 0
8.375 8692 806 443 59 0
8.5 8595 851 485 69 0
