t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9998 1 1 0 0
0.875 9997 2 1 0 0
1 9997 1 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9995 3 2 0 0
1.625 9995 3 1 1 0
1.75 9995 3 1 1 0
1.875 9993 5 1 1 0
2 9993 5 1 1 0
2.125 9993 5 1 1 0
2.25 9992 6 1 1 0
2.375 9990 8 1 1 0
2.5 9990 6 3 1 0
2.625 9990 6 3 1 0
2.75 9989 7 3 1 0
2.875 9989 6 4 1 0
3 9988 6 5 1 0
3.125 9987 7 5 1 0
3.25 9987 6 6 1 0
3.375 9987 6 6 1 0
3.5 9984 9 6 1 0
3.625 9981 12 5 2 0
3.75 9978 15 5 2 0
3.875 9977 14 7 2 0
4 9976 14 8 2 0
4.125 9976 13 9 2 0
4.25 9975 14 9 2 0
4.375 9970 17 10 3 0
4.5 9969 18 10 3 0
4.625 9967 18 11 4 0
4.75 9965 20 11 4 0
4.875 9964 21 11 4 0
5 9962 23 11 4 0
5.125 9962 21 13 4 0
5.25 9961 20 14 5 0
5.375 9960 20 14 6 0
5.5 9959 20 15 6 0
5.625 9959 20 15 6 0
5.75 9958 19 17 6 0
5.875 9956 19 19 6 0
6 9953 20 21 6 0
6.125 9950 23 19 8 0
6.25 9949 23 20 8 0
6.375 9947 24 21 8 0
6.5 9944 26 21 9 0
6.625 9942 27 21 10 0
6.75 9939 25 25 11 0
6.875 9934 28 25 13 0
7 9925 36 25 14 0
7.125 9924 34 28 14 0
7.25 9919 36 30 15 0
7.375 9914 36 34 16 0
7.5 9909 38 36 17 0
7.625 9901 43 38 18 0
7.75 9890 52 40 18 0
7.875 9885 54 43 18 0
8 9881 54 45 20 0
8.125 9874 60 46 20 0
8.25 9865 67 46 22 0
8.375 9855 72 51 22 0
8.5 9848 75 54 23 0
8.625 9836 84 56 24 0
8.75 9831 84 60 25 0
8.875 9824 82 65 29 0
9 9817 85 68 30 0
9.125 9806 88 75 31 0
9.25 9791 95 82 32 0
9.375 9781 98 88 33 0
9.5 9771 101 95 33 0
9.625 9760 109 98 33 0
9.75 9751 113 99 37 0
9.875 9743 117 101 39 0
10 9736 117 106 41 0
10.125 9725 122 111 42 0
10.25 9721 121 114 44 0
10.375 9708 127 120 45 0
10.5 9696 131 126 47 0
10.625 9675 145 131 49 0
10.75 9655 159 134 52 0
10.875 9632 171 142 55 0
11 9619 172 152 57 0
11.125 9597 184 160 59 0
11.25 9574 191 174 61 0
11.375 9538 212 186 64 0
11.5 9503 238 190 69 0
11.625 9474 250 203 73 0
11.75 9441 264 217 78 0
