t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9997 1 2 0 0
0.5 9996 2 2 0 0
0.625 9995 3 2 0 0
0.75 9995 3 2 0 0
0.875 9995 3 2 0 0
1 9993 5 2 0 0
1.125 9992 5 3 0 0
1.25 9992 5 3 0 0
1.375 9991 6 3 0 0
1.5 9991 6 3 0 0
1.625 9991 6 3 0 0
1.75 9990 6 4 0 0
1.875 9990 6 4 0 0
2 9990 6 4 0 0
2.125 9988 8 4 0 0
2.25 9988 8 4 0 0
2.375 9987 8 5 0 0
2.5 9987 8 5 0 0
2.625 9987 8 5 0 0
2.75 9986 9 5 0 0
2.875 9986 9 5 0 0
3 9986 9 5 0 0
3.125 9985 10 5 0 0
3.25 9984 11 5 0 0
3.375 9984 11 5 0 0
3.5 9983 11 6 0 0
3.625 9975 19 6 0 0
3.75 9964 30 6 0 0
3.875 9943 48 8 1 0
4 9923 66 10 1 0
4.125 9906 80 13 1 0
4.25 9890 85 24 1 0
4.375 9868 101 30 1 0
4.5 9856 108 34 2 0
4.625 9842 116 40 2 0
4.75 9827 126 44 3 0
4.875 9812 135 49 4 0
5 9784 153 57 6 0
5.125 9764 164 65 7 0
5.25 9736 184 71 9 0
5.375 9718 192 80 10 0
5.5 9695 204 90 11 0
5.625 9667 223 99 11 0
5.75 9638 238 110 14 0
5.875 9607 255 122 16 0
6 9575 269 136 20 0
6.125 9550 271 154 25 0
6.25 9523 282 167 28 0
6.375 9493 294 177 36 0
6.5 9460 301 198 41 0
6.625 9426 321 203 50 0
6.75 9389 334 223 54 0
6.875 9346 356 239 59 0
7 9302 373 258 67 0
7.125 9246 405 277 72 0
7.25 9205 433 286 76 0
7.375 9158 456 308 78 0
7.5 9101 488 329 82 0
7.625 9042 512 353 92 1
7.75 9036 487 379 96 2
7.875 9034 456 403 105 2
8 9027 430 433 108 2
8.125 9023 406 453 116 2
8.25 9017 383 469 129 2
8.375 9012 367 479 140 2
8.5 9007 350 489 152 2
