t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9997 1 2 0 0
1.25 9996 2 2 0 0
1.375 9996 2 2 0 0
1.5 9996 2 2 0 0
1.625 9995 3 2 0 0
1.75 9995 3 2 0 0
1.875 9995 3 2 0 0
2 9995 3 2 0 0
2.125 9994 4 2 0 0
2.25 9994 4 2 0 0
2.375 9994 4 2 0 0
2.5 9993 4 3 0 0
2.625 9993 4 3 0 0
2.75 9992 5 3 0 0
2.875 9992 4 4 0 0
3 9991 5 4 0 0
3.125 9991 5 4 0 0
3.25 9989 7 4 0 0
3.375 9988 8 4 0 0
3.5 9987 9 4 0 0
3.625 9985 10 5 0 0
3.75 9984 10 6 0 0
3.875 9983 11 6 0 0
4 9983 11 5 1 0
4.125 9980 14 5 1 0
4.25 9979 13 7 1 0
4.375 9976 14 9 1 0
4.5 9976 13 10 1 0
4.625 9975 14 10 1 0
4.75 9974 15 10 1 0
4.875 9974 15 10 1 0
5 9972 16 11 1 0
5.125 9971 17 9 3 0
5.25 9971 16 9 4 0
5.375 9969 17 10 4 0
5.5 9969 16 11 4 0
5.625 9967 18 11 4 0
5.75 9966 19 11 4 0
5.875 9965 18 13 4 0
6 9963 19 14 4 0
6.125 9958 23 15 4 0
6.25 9953 26 16 5 0
6.375 9951 27 17 5 0
6.5 9951 27 17 5 0
6.625 9949 28 18 5 0
6.75 9946 28 20 6 0
6.875 9940 32 22 6 0
7 9936 34 23 7 0
7.125 9931 36 24 9 0
7.25 9921 45 24 10 0
7.375 9919 42 28 11 0
7.5 9907 50 32 11 0
7.625 9899 53 37 11 0
7.75 9893 58 37 12 0
7.875 9886 61 41 12 0
8 9877 68 43 12 0
8.125 9868 74 45 13 0
8.25 9861 70 54 15 0
8.375 9852 75 56 16 1
8.5 9851 72 59 17 1
