t S E I R D
0 9998 0 2 0 0
0.125 9998 0 1 1 0
0.25 9998 0 1 1 0
0.375 9998 0 1 1 0
0.5 9998 0 1 1 0
0.625 9997 1 1 1 0
0.75 9997 1 1 1 0
0.875 9997 1 1 1 0
1 9997 1 0 2 0
1.125 9997 0 1 2 0
1.25 9997 0 1 2 0
1.375 9997 0 1 2 0
1.5 9997 0 1 2 0
1.625 9997 0 1 2 0
1.75 9996 1 1 2 0
1.875 9995 2 1 2 0
2 9995 2 1 2 0
2.125 9995 2 1 2 0
2.25 9995 2 1 2 0
2.375 9995 2 0 3 0
2.5 9995 2 0 3 0
2.625 9995 2 0 3 0
2.75 9995 2 0 3 0
2.875 9995 2 0 3 0
3 9995 2 0 3 0
3.125 9995 2 0 3 0
3.25 9995 2 0 3 0
3.375 9995 2 0 3 0
3.5 9995 2 0 3 0
3.625 9995 2 0 3 0
3.75 9995 2 0 3 0
3.875 9995 2 0 3 0
4 9995 1 1 3 0
4.125 9987 9 1 3 0
4.25 9980 15 2 3 0
4.375 9968 26 2 4 0
4.5 9968 25 3 4 0
4.625 9967 25 4 4 0
4.75 9967 25 4 4 0
4.875 9967 25 4 4 0
5 9967 22 7 4 0
5.125 9967 21 8 4 0
5.25 9966 19 11 4 0
5.375 9965 20 11 4 0
5.5 9964 20 12 4 0
5.625 9963 20 13 4 0
5.75 9962 20 12 6 0
5.875 9960 21 13 6 0
6 9958 18 18 6 0
6.125 9955 18 21 6 0
6.25 9948 23 22 7 0
6.375 9940 31 22 7 0
6.5 9933 37 23 7 0
6.625 9926 43 22 9 0
6.75 9924 44 22 10 0
6.875 9922 46 22 10 0
7 9919 47 24 10 0
7.125 9918 45 27 10 0
7.25 9915 43 31 11 0
7.375 9915 39 35 11 0
7.5 9909 42 36 13 0
7.625 9906 42 38 14 0
7.75 9900 46 36 18 0
7.875 9894 50 37 19 0
8 9894 46 40 20 0
8.125 9891 46 42 21 0
8.25 9886 51 41 22 0
8.375 9876 57 45 22 0
8.5 9872 59 45 24 0
8.625 9869 60 47 24 0
8.75 9862 63 51 24 0
8.875 9857 63 55 25 0
9 9853 63 59 25 0
9.125 9847 63 64 26 0
9.25 9838 71 63 28 0
9.375 9826 81 65 28 0
9.5 9813 88 70 29 0
9.625 9799 97 73 31 0
9.75 9785 100 83 32 0
9.875 9775 108 84 33 0
10 9761 114 91 34 0
10.125 9749 119 96 36 0
10.25 9736 126 102 36 0
10.375 9713 142 105 40 0
10.5 9688 161 109 42 0
