t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9997 1 2 0 0
1.625 9997 1 2 0 0
1.75 9997 1 2 0 0
1.875 9996 1 3 0 0
2 9996 1 3 0 0
2.125 9996 1 3 0 0
2.25 9996 1 3 0 0
2.375 9996 0 4 0 0
2.5 9995 1 4 0 0
2.625 9995 1 4 0 0
2.75 9995 1 3 1 0
2.875 9993 3 3 1 0
3 9992 4 3 1 0
3.125 9992 4 3 1 0
3.25 9992 4 3 1 0
3.375 9991 5 3 1 0
3.5 9991 5 3 1 0
3.625 9990 6 3 1 0
3.75 9990 5 4 1 0
3.875 9990 5 4 1 0
4 9990 5 4 1 0
4.125 9990 5 4 1 0
4.25 9988 7 4 1 0
4.375 9988 6 5 1 0
4.5 9987 7 5 1 0
4.625 9987 7 5 1 0
4.75 9986 6 7 1 0
4.875 9986 6 6 2 0
5 9985 7 6 2 0
5.125 9985 7 6 2 0
5.25 9985 7 6 2 0
5.375 9985 7 6 2 0
5.5 9985 6 7 2 0
5.625 9984 7 6 3 0
5.75 9984 7 6 3 0
5.875 9982 9 6 3 0
6 9982 7 8 3 0
6.125 9980 9 8 3 0
6.25 9980 9 8 3 0
6.375 9980 8 9 3 0
6.5 9978 10 9 3 0
6.625 9973 15 8 4 0
6.75 9972 15 8 5 0
6.875 9969 17 9 5 0
7 9966 19 10 5 0
7.125 9965 19 10 6 0
7.25 9962 20 12 6 0
7.375 9958 23 13 6 0
7.5 9952 28 12 8 0
7.625 9947 31 14 8 0
7.75 9942 32 18 8 0
7.875 9936 36 19 9 0
8 9930 41 19 10 0
8.125 9919 50 21 10 0
8.25 9911 57 22 10 0
8.375 9896 70 23 11 0
8.5 9887 72 29 12 0
