t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9995 3 2 0 0
1 9994 4 2 0 0
1.125 9991 7 2 0 0
1.25 9991 7 1 1 0
1.375 9991 5 3 1 0
1.5 9990 6 3 1 0
1.625 9990 6 3 1 0
1.75 9990 6 3 1 0
1.875 9989 7 3 1 0
2 9989 6 4 1 0
2.125 9985 10 3 2 0
2.25 9983 10 5 2 0
2.375 9980 13 5 2 0
2.5 9979 12 7 2 0
2.625 9972 17 9 2 0
2.75 9969 18 11 2 0
2.875 9962 23 12 3 0
3 9961 22 14 3 0
3.125 9959 21 16 4 0
3.25 9956 23 17 4 0
3.375 9950 28 18 4 0
3.5 9946 30 20 4 0
3.625 9944 30 22 4 0
3.75 9940 34 20 6 0
3.875 9939 31 24 6 0
4 9934 36 24 6 0
4.125 9927 37 29 7 0
4.25 9919 41 32 8 0
4.375 9913 42 35 10 0
4.5 9903 50 37 10 0
4.625 9896 55 38 11 0
4.75 9893 57 39 11 0
4.875 9888 58 43 11 0
5 9880 63 45 12 0
5.125 9873 66 49 12 0
5.25 9865 68 53 14 0
5.375 9851 80 55 14 0
5.5 9836 94 56 14 0
5.625 9823 102 59 16 0
5.75 9810 111 62 17 0
5.875 9799 113 69 19 0
6 9790 114 74 22 0
6.125 9772 126 79 23 0
6.25 9756 133 84 27 0
6.375 9739 141 90 30 0
6.5 9692 181 96 31 0
6.625 9662 194 112 32 0
6.75 9602 245 119 34 0
6.875 9549 277 137 37 0
7 9508 297 156 39 0
7.125 9469 320 171 40 0
7.25 9417 357 180 46 0
7.375 9355 396 196 53 0
7.5 9302 429 212 57 0
7.625 9243 461 237 59 0
7.75 9201 476 258 65 0
7.875 9140 511 280 69 0
8 9090 524 314 72 0
8.125 9005 584 331 80 0
8.25 8940 617 354 89 0
8.375 8858 648 401 93 0
8.5 8796 677 427 100 0
