t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9996 2 2 0 0
1.75 9995 3 2 0 0
1.875 9995 3 2 0 0
2 9995 3 2 0 0
2.125 9995 3 2 0 0
2.25 9994 4 2 0 0
2.375 9993 5 2 0 0
2.5 9993 5 2 0 0
2.625 9992 6 2 0 0
2.75 9992 5 3 0 0
2.875 9992 5 3 0 0
3 9992 4 4 0 0
3.125 9992 4 3 1 0
3.25 9992 4 3 1 0
3.375 9992 4 3 1 0
3.5 9992 4 3 1 0
3.625 9992 4 3 1 0
3.75 9992 4 3 1 0
3.875 9992 4 2 2 0
4 9992 4 2 2 0
4.125 9992 4 2 2 0
4.25 9992 2 4 2 0
4.375 9991 3 4 2 0
4.5 9988 6 4 2 0
4.625 9985 9 4 2 0
4.75 9983 10 5 2 0
4.875 9981 12 5 2 0
5 9981 10 7 2 0
5.125 9980 10 8 2 0
5.25 9978 12 8 2 0
5.375 9974 16 8 2 0
5.5 9972 16 10 2 0
5.625 9969 18 10 3 0
5.75 9965 21 11 3 0
5.875 9959 25 11 5 0
6 9958 24 12 6 0
6.125 9955 27 12 6 0
6.25 9951 31 11 7 0
6.375 9947 32 14 7 0
6.5 9941 37 15 7 0
6.625 9934 42 17 7 0
6.75 9930 41 22 7 0
6.875 9927 38 28 7 0
7 9920 43 28 9 0
7.125 9911 47 31 11 0
7.25 9900 55 34 11 0
7.375 9888 64 36 12 0
7.5 9876 72 39 13 0
7.625 9866 80 41 13 0
7.75 9853 86 48 13 0
7.875 9836 95 55 14 0
8 9830 97 58 15 0
8.125 9822 96 67 15 0
8.25 9806 102 76 16 0
8.375 9781 119 81 19 0
8.5 9758 131 91 20 0
