t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9999 0 1 0 0
0.5 9999 0 1 0 0
0.625 9999 0 1 0 0
0.75 9999 0 1 0 0
0.875 9999 0 1 0 0
1 9999 0 1 0 0
1.125 9999 0 1 0 0
1.25 9999 0 1 0 0
1.375 9999 0 1 0 0
1.5 9999 0 1 0 0
1.625 9999 0 1 0 0
1.75 9998 1 1 0 0
1.875 9998 1 1 0 0
2 9998 0 2 0 0
2.125 9998 0 2 0 0
2.25 9998 0 2 0 0
2.375 9998 0 2 0 0
2.5 9998 0 2 0 0
2.625 9998 0 2 0 0
2.75 9998 0 2 0 0
2.875 9998 0 2 0 0
3 9998 0 2 0 0
3.125 9998 0 1 1 0
3.25 9998 0 1 1 0
3.375 9998 0 1 1 0
3.5 9998 0 1 1 0
3.625 9998 0 1 1 0
3.75 9998 0 1 1 0
3.875 9998 0 1 1 0
4 9997 1 1 1 0
4.125 9997 1 1 1 0
4.25 9997 1 0 2 0
4.375 9997 1 0 2 0
4.5 9997 1 0 2 0
4.625 9997 1 0 2 0
4.75 9997 1 0 2 0
4.875 9997 1 0 2 0
5 9997 1 0 2 0
5.125 9997 1 0 2 0
5.25 9997 1 0 2 0
5.375 9997 1 0 2 0
5.5 9997 1 0 2 0
5.625 9997 1 0 2 0
5.75 9997 1 0 2 0
5.875 9997 1 0 2 0
6 9997 1 0 2 0
6.125 9997 1 0 2 0
6.25 9997 0 1 2 0
6.375 9996 1 1 2 0
6.5 9996 1 1 2 0
6.625 9995 2 1 2 0
6.75 9992 5 1 2 0
6.875 9991 6 1 2 0
7 9991 6 1 2 0
7.125 9991 6 1 2 0
7.25 9990 5 3 2 0
7.375 9986 9 3 2 0
7.5 9984 11 3 2 0
7.625 9983 11 4 2 0
7.75 9980 13 5 2 0
7.875 9977 15 6 2 0
8 9976 14 8 2 0
8.125 9976 14 7 3 0
8.25 9975 14 7 4 0
8.375 9972 16 8 4 0
8.5 9971 15 10 4 0
8.625 9970 16 10 4 0
8.75 9970 16 9 5 0
8.875 9970 14 10 6 0
9 9970 14 10 6 0
9.125 9966 15 13 6 0
9.25 9964 17 13 6 0
9.375 9959 22 13 6 0
9.5 9953 27 14 6 0
9.625 9951 25 18 6 0
9.75 9946 29 17 8 0
9.875 9939 36 17 8 0
10 9937 36 19 8 0
10.125 9930 43 17 10 0
10.25 9924 41 25 10 0
10.375 9920 41 29 10 0
10.5 9918 42 30 10 0
10.625 9915 44 28 13 0
10.75 9907 50 28 15 0
10.875 9900 56 29 15 0
11 9894 60 30 16 0
11.125 9887 65 32 16 0
11.25 9880 68 34 18 0
11.375 9873 67 42 18 0
11.5 9864 75 42 19 0
11.625 9848 87 45 20 0
11.75 9836 97 47 20 0
