t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 0 3 0 0
1.125 9995 2 3 0 0
1.25 9993 4 3 0 0
1.375 9990 7 3 0 0
1.5 9989 6 5 0 0
1.625 9989 6 5 0 0
1.75 9986 8 6 0 0
1.875 9986 8 6 0 0
2 9984 10 6 0 0
2.125 9983 11 6 0 0
2.25 9981 13 6 0 0
2.375 9977 16 7 0 0
2.5 9976 14 10 0 0
2.625 9971 18 10 1 0
2.75 9965 22 12 1 0
2.875 9962 25 12 1 0
3 9957 30 12 1 0
3.125 9956 30 13 1 0
3.25 9954 30 15 1 0
3.375 9952 32 15 1 0
3.5 9948 34 16 2 0
3.625 9946 33 19 2 0
3.75 9943 33 21 3 0
3.875 9940 35 22 3 0
4 9934 36 27 3 0
4.125 9932 35 29 4 0
4.25 9925 42 27 6 0
4.375 9920 45 29 6 0
4.5 9913 50 30 7 0
4.625 9907 51 33 9 0
4.75 9901 54 35 10 0
4.875 9900 53 36 11 0
5 9898 52 38 12 0
5.125 9894 55 39 12 0
5.25 9890 54 44 12 0
5.375 9885 56 45 14 0
5.5 9880 60 45 15 0
5.625 9875 61 47 17 0
5.75 9869 61 52 18 0
5.875 9862 65 54 19 0
6 9853 69 58 20 0
6.125 9839 77 63 21 0
6.25 9818 94 67 21 0
6.375 9798 107 73 22 0
6.5 9777 122 78 23 0
6.625 9730 158 89 23 0
6.75 9676 201 99 24 0
6.875 9612 255 105 28 0
7 9557 291 120 32 0
7.125 9477 353 136 34 0
7.25 9418 395 151 36 0
7.375 9352 437 173 38 0
7.5 9288 467 202 43 0
7.625 9206 516 232 46 0
7.75 9135 559 256 50 0
7.875 9056 600 288 56 0
8 8973 637 325 65 0
8.125 8892 689 346 73 0
8.25 8812 727 382 79 0
8.375 8724 772 419 85 0
8.5 8641 799 464 96 0
