t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 0 3 0 0
0.5 9992 5 3 0 0
0.625 9987 9 4 0 0
0.75 9983 13 4 0 0
0.875 9975 21 4 0 0
1 9965 30 5 0 0
1.125 9957 38 4 1 0
1.25 9955 38 6 1 0
1.375 9948 44 7 1 0
1.5 9941 48 10 1 0
1.625 9936 50 13 1 0
1.75 9929 55 15 1 0
1.875 9922 58 18 2 0
2 9912 64 22 2 0
2.125 9907 63 28 2 0
2.25 9901 64 33 2 0
2.375 9896 65 36 3 0
2.5 9887 66 43 4 0
2.625 9873 75 48 4 0
2.75 9860 85 50 5 0
2.875 9850 91 52 7 0
3 9840 97 54 9 0
3.125 9829 99 63 9 0
3.25 9816 104 71 9 0
3.375 9803 107 81 9 0
3.5 9774 130 85 11 0
3.625 9738 158 91 13 0
3.75 9706 177 104 13 0
3.875 9651 215 120 14 0
4 9613 242 130 15 0
4.125 9558 286 139 17 0
4.25 9509 319 154 18 0
4.375 9450 355 174 21 0
4.5 9381 402 192 25 0
4.625 9321 433 217 29 0
4.75 9258 471 238 33 0
4.875 9189 514 261 36 0
5 9124 543 292 41 0
5.125 9048 578 328 46 0
5.25 8974 615 359 52 0
5.375 8904 653 377 66 0
5.5 8834 687 407 71 1
5.625 8820 666 438 75 1
5.75 8812 631 474 82 1
5.875 8797 607 505 90 1
6 8784 592 524 99 1
6.125 8770 575 544 110 1
6.25 8757 550 571 121 1
6.375 8749 519 601 130 1
6.5 8735 512 609 143 1
6.625 8719 492 638 150 1
6.75 8710 461 667 161 1
6.875 8698 447 674 180 1
7 8683 434 694 188 1
7.125 8671 425 701 202 1
7.25 8655 420 704 219 2
7.375 8644 411 713 230 2
7.5 8634 400 719 245 2
7.625 8629 380 724 265 2
7.75 8618 363 737 279 3
7.875 8616 342 743 296 3
8 8610 323 756 308 3
8.125 8606 306 764 321 3
8.25 8599 297 765 336 3
8.375 8592 289 757 359 3
8.5 8586 270 760 380 4
