t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9996 2 2 0 0
1.25 9996 2 2 0 0
1.375 9996 1 3 0 0
1.5 9993 4 3 0 0
1.625 9990 7 2 1 0
1.75 9989 8 2 1 0
1.875 9989 6 4 1 0
2 9989 6 4 1 0
2.125 9989 5 5 1 0
2.25 9974 20 5 1 0
2.375 9962 32 4 2 0
2.5 9951 42 5 2 0
2.625 9944 47 7 2 0
2.75 9930 57 11 2 0
2.875 9916 65 17 2 0
3 9901 75 22 2 0
3.125 9893 80 24 3 0
3.25 9888 78 30 4 0
3.375 9880 85 30 5 0
3.5 9868 92 33 7 0
3.625 9856 97 38 9 0
3.75 9846 104 40 10 0
3.875 9837 105 46 12 0
4 9830 106 50 14 0
4.125 9821 109 56 14 0
4.25 9811 111 64 14 0
4.375 9802 112 72 14 0
4.5 9787 117 81 15 0
4.625 9772 124 88 16 0
4.75 9759 129 95 17 0
4.875 9746 136 97 21 0
5 9732 140 102 26 0
5.125 9719 147 108 26 0
5.25 9698 159 111 32 0
5.375 9663 183 121 33 0
5.5 9626 207 133 34 0
5.625 9585 235 141 39 0
5.75 9536 269 149 46 0
5.875 9493 299 159 49 0
6 9436 334 176 54 0
6.125 9382 371 190 57 0
6.25 9320 409 208 63 0
6.375 9255 451 222 72 0
6.5 9185 496 242 77 0
6.625 9128 517 274 81 0
6.75 9061 546 305 88 0
6.875 8974 606 326 94 0
7 8892 658 342 108 0
7.125 8796 707 384 113 0
7.25 8719 738 421 122 0
7.375 8620 792 458 130 0
7.5 8536 824 501 139 0
7.625 8440 869 537 154 0
7.75 8348 898 587 167 0
7.875 8247 954 622 177 0
8 8152 1003 658 187 0
8.125 8068 1021 710 201 0
8.25 7974 1058 753 215 0
8.375 7863 1098 808 231 0
8.5 7769 1130 854 247 0
8.625 7667 1153 914 266 0
8.75 7554 1182 976 288 0
8.875 7457 1210 1024 309 0
9 7346 1242 1083 328 1
9.125 7210 1294 1139 355 2
9.25 7112 1296 1214 376 2
9.375 7002 1325 1281 390 2
9.5 6891 1347 1341 419 2
9.625 6785 1348 1415 450 2
9.75 6667 1383 1457 491 2
9.875 6538 1422 1514 524 2
10 6411 1452 1587 547 3
10.125 6294 1476 1655 572 3
10.25 6142 1517 1727 611 3
10.375 6018 1538 1791 649 4
10.5 5879 1580 1846 691 4
10.625 5752 1617 1892 735 4
10.75 5619 1662 1939 776 4
10.875 5475 1710 1997 814 4
11 5354 1713 2077 852 4
11.125 5219 1754 2136 887 4
11.25 5079 1781 2205 930 5
11.375 4946 1815 2268 966 5
11.5 4837 1810 2339 1009 5
11.625 4728 1814 2396 1057 5
11.75 4604 1822 2469 1100 5
11.875 4478 1832 2538 1146 6
12 4374 1829 2589 1202 6
12.125 4266 1837 2640 1249 8
12.25 4151 1840 2690 1311 8
12.375 4063 1827 2741 1360 9
12.5 3942 1834 2797 1417 10
12.625 3843 1829 2840 1477 11
12.75 3755 1806 2894 1532 13
12.875 3637 1809 2951 1590 13
13 3551 1790 2996 1649 14
13.125 3452 1775 3042 1717 14
13.25 3373 1741 3100 1771 15
13.375 3297 1716 3128 1843 16
13.5 3214 1685 3185 1899 17
13.625 3120 1678 3231 1953 18
13.75 3041 1652 3262 2024 21
13.875 2940 1658 3288 2093 21
14 2861 1639 3321 2158 21
14.125 2784 1612 3363 2219 22
14.25 2717 1580 3397 2284 22
14.375 2634 1582 3404 2356 24
14.5 2557 1553 3426 2440 24
14.625 2487 1533 3459 2497 24
14.75 2423 1481 3513 2559 24
14.875 2355 1476 3519 2625 25
15 2280 1476 3527 2691 26
15.125 2217 1448 3543 2766 26
15.25 2152 1421 3559 2841 27
15.375 2106 1406 3555 2904 29
15.5 2058 1357 3568 2987 30
15.625 1992 1340 3586 3051 31
15.75 1942 1313 3603 3111 31
15.875 1898 1259 3618 3192 33
16 1841 1242 3610 3274 33
16.125 1805 1207 3601 3354 33
16.25 1770 1153 3602 3442 33
16.375 1727 1137 3583 3519 34
16.5 1687 1116 3558 3605 34
16.625 1647 1079 3558 3682 34
16.75 1608 1028 3580 3748 36
16.875 1573 1005 3560 3825 37
17 1545 972 3550 3896 37
17.125 1513 955 3524 3971 37
17.25 1482 933 3498 4049 38
17.375 1451 922 3485 4103 39
17.5 1424 888 3473 4175 40
17.625 1396 859 3444 4260 41
17.75 1377 823 3445 4313 42
17.875 1349 797 3427 4385 42
18 1326 771 3384 4474 45
18.125 1298 752 3357 4546 47
18.25 1278 724 3329 4621 48
18.375 1262 704 3299 4687 48
18.5 1240 684 3273 4755 48
18.625 1224 647 3246 4834 49
18.75 1205 621 3234 4891 49
18.875 1185 604 3200 4960 51
19 1162 583 3175 5029 51
19.125 1144 555 3152 5097 52
19.25 1126 543 3110 5169 52
19.375 1104 532 3083 5229 52
19.5 1093 506 3063 5284 54
19.625 1075 499 3034 5338 54
19.75 1063 476 2994 5410 57
19.875 1041 474 2954 5473 58
20 1030 455 2913 5542 60
20.125 1021 436 2878 5605 60
20.25 1004 432 2832 5670 62
20.375 994 410 2812 5722 62
20.5 975 408 2771 5784 62
20.625 960 396 2748 5834 62
20.75 946 383 2720 5888 63
20.875 935 372 2689 5941 63
21 923 362 2666 5984 65
21.125 914 355 2625 6040 66
21.25 904 343 2591 6095 67
21.375 893 330 2556 6153 68
21.5 883 320 2529 6198 70
21.625 870 310 2506 6244 70
21.75 859 303 2482 6286 70
