t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9996 2 2 0 0
0.375 9996 1 3 0 0
0.5 9996 1 3 0 0
0.625 9996 1 2 1 0
0.75 9996 1 2 1 0
0.875 9996 1 2 1 0
1 9995 2 2 1 0
1.125 9994 3 2 1 0
1.25 9994 3 2 1 0
1.375 9994 3 2 1 0
1.5 9994 3 2 1 0
1.625 9994 3 2 1 0
1.75 9994 2 2 2 0
1.875 9994 2 2 2 0
2 9993 3 2 2 0
2.125 9993 3 2 2 0
2.25 9993 3 2 2 0
2.375 9993 3 2 2 0
2.5 9993 3 2 2 0
2.625 9992 4 2 2 0
2.75 9992 4 1 3 0
2.875 9992 4 1 3 0
3 9992 4 1 3 0
3.125 9992 4 1 3 0
3.25 9991 5 1 3 0
3.375 9991 5 1 3 0
3.5 9991 5 1 3 0
3.625 9991 5 1 3 0
3.75 9991 5 1 3 0
3.875 9991 4 2 3 0
4 9991 4 2 3 0
4.125 9991 4 2 3 0
4.25 9991 4 2 3 0
4.375 9991 4 2 3 0
4.5 9991 4 2 3 0
4.625 9991 4 1 4 0
4.75 9991 4 1 4 0
4.875 9991 4 1 4 0
5 9991 4 1 4 0
5.125 9991 4 1 4 0
5.25 9991 4 1 4 0
5.375 9991 4 1 4 0
5.5 9991 4 1 4 0
5.625 9991 4 1 4 0
5.75 9991 3 2 4 0
5.875 9991 3 2 4 0
6 9990 4 2 4 0
6.125 9990 4 2 4 0
6.25 9990 2 4 4 0
6.375 9989 3 4 4 0
6.5 9989 3 4 4 0
6.625 9989 2 5 4 0
6.75 9977 13 6 4 0
6.875 9961 28 7 4 0
7 9944 42 10 4 0
7.125 9917 67 11 5 0
7.25 9898 81 16 5 0
7.375 9880 96 19 5 0
7.5 9864 108 23 5 0
7.625 9854 109 32 5 0
7.75 9835 118 42 5 0
7.875 9808 140 45 7 0
8 9784 163 45 8 0
8.125 9762 173 54 11 0
8.25 9741 176 71 12 0
8.375 9726 180 80 14 0
8.5 9693 205 85 17 0
