t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9996 2 2 0 0
1 9996 2 2 0 0
1.125 9996 2 2 0 0
1.25 9995 3 2 0 0
1.375 9994 4 2 0 0
1.5 9994 4 2 0 0
1.625 9994 4 2 0 0
1.75 9994 4 2 0 0
1.875 9994 4 2 0 0
2 9994 3 3 0 0
2.125 9994 3 3 0 0
2.25 9994 3 3 0 0
2.375 9994 3 3 0 0
2.5 9994 3 3 0 0
2.625 9994 3 3 0 0
2.75 9994 3 2 1 0
2.875 9993 4 2 1 0
3 9992 5 2 1 0
3.125 9992 4 3 1 0
3.25 9992 3 4 1 0
3.375 9992 3 4 1 0
3.5 9991 4 4 1 0
3.625 9991 4 4 1 0
3.75 9991 4 4 1 0
3.875 9991 3 5 1 0
4 9988 6 4 2 0
4.125 9986 8 4 2 0
4.25 9986 7 5 2 0
4.375 9986 7 5 2 0
4.5 9986 7 5 2 0
4.625 9986 7 5 2 0
4.75 9984 7 7 2 0
4.875 9981 10 6 3 0
5 9981 10 6 3 0
5.125 9979 12 5 4 0
5.25 9979 11 6 4 0
5.375 9979 11 5 5 0
5.5 9977 12 6 5 0
5.625 9976 12 7 5 0
5.75 9975 12 8 5 0
5.875 9972 14 9 5 0
6 9970 16 8 6 0
6.125 9970 15 9 6 0
6.25 9969 15 10 6 0
6.375 9969 14 11 6 0
6.5 9967 15 12 6 0
6.625 9965 16 12 7 0
6.75 9962 19 11 8 0
6.875 9960 20 12 8 0
7 9960 20 11 9 0
7.125 9959 19 13 9 0
7.25 9957 20 14 9 0
7.375 9956 20 15 9 0
7.5 9955 20 16 9 0
7.625 9953 22 16 9 0
7.75 9949 25 17 9 0
7.875 9947 24 19 10 0
8 9941 28 21 10 0
8.125 9935 32 23 10 0
8.25 9929 36 25 10 0
8.375 9921 39 29 11 0
8.5 9918 41 30 11 0
