t S E I R D
0 9999 0 1 0 0
0.125 9999 0 1 0 0
0.25 9999 0 1 0 0
0.375 9998 1 1 0 0
0.5 9998 1 1 0 0
0.625 9998 1 1 0 0
0.75 9998 1 1 0 0
0.875 9998 1 1 0 0
1 9998 1 1 0 0
1.125 9998 1 1 0 0
1.25 9998 1 1 0 0
1.375 9997 2 1 0 0
1.5 9997 2 1 0 0
1.625 9997 2 1 0 0
1.75 9997 2 1 0 0
1.875 9997 2 1 0 0
2 9997 2 1 0 0
2.125 9997 2 1 0 0
2.25 9997 2 1 0 0
2.375 9996 3 1 0 0
2.5 9996 3 1 0 0
2.625 9995 4 1 0 0
2.75 9995 4 1 0 0
2.875 9995 4 1 0 0
3 9995 4 1 0 0
3.125 9994 5 1 0 0
3.25 9994 4 2 0 0
3.375 9994 2 4 0 0
3.5 9994 2 4 0 0
3.625 9994 2 4 0 0
3.75 9994 1 5 0 0
3.875 9994 1 5 0 0
4 9994 1 5 0 0
4.125 9994 1 5 0 0
4.25 9994 1 5 0 0
4.375 9994 0 6 0 0
4.5 9994 0 5 1 0
4.625 9994 0 5 1 0
4.75 9993 1 4 2 0
4.875 9993 1 4 2 0
5 9993 1 4 2 0
5.125 9993 1 4 2 0
5.25 9993 1 4 2 0
5.375 9992 2 4 2 0
5.5 9991 3 4 2 0
5.625 9991 3 4 2 0
5.75 9991 3 4 2 0
5.875 9991 3 4 2 0
6 9991 3 4 2 0
6.125 9991 2 5 2 0
6.25 9991 2 5 2 0
6.375 9991 1 6 2 0
6.5 9990 2 6 2 0
6.625 9990 1 7 2 0
6.75 9990 1 7 2 0
6.875 9989 2 7 2 0
7 9988 3 7 2 0
7.125 9987 4 7 2 0
7.25 9987 4 7 2 0
7.375 9985 6 7 2 0
7.5 9983 7 8 2 0
7.625 9983 7 6 4 0
7.75 9983 7 6 4 0
7.875 9983 7 6 4 0
8 9983 7 5 5 0
8.125 9983 7 5 5 0
8.25 9983 7 5 5 0
8.375 9983 7 5 5 0
8.5 9983 6 6 5 0
8.625 9982 7 6 5 0
8.75 9982 6 7 5 0
8.875 9982 6 6 6 0
9 9980 8 5 7 0
9.125 9979 9 5 7 0
9.25 9979 8 6 7 0
9.375 9978 9 6 7 0
9.5 9977 10 6 7 0
9.625 9977 10 6 7 0
9.75 9975 10 8 7 0
9.875 9974 8 11 7 0
10 9972 10 11 7 0
10.125 9971 10 11 8 0
10.25 9971 10 11 8 0
10.375 9969 11 12 8 0
10.5 9967 13 11 9 0
10.625 9967 11 12 10 0
10.75 9966 12 11 11 0
10.875 9966 12 11 11 0
11 9966 11 12 11 0
11.125 9966 11 12 11 0
11.25 9964 12 12 12 0
11.375 9963 11 14 12 0
11.5 9956 17 14 13 0
11.625 9947 26 14 13 0
11.75 9938 34 15 13 0
