t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 0 3 0 0
0.375 9997 0 3 0 0
0.5 9996 1 3 0 0
0.625 9996 1 3 0 0
0.75 9995 2 3 0 0
0.875 9995 1 4 0 0
1 9994 2 4 0 0
1.125 9994 2 4 0 0
1.25 9992 4 4 0 0
1.375 9991 5 4 0 0
1.5 9991 5 4 0 0
1.625 9990 5 5 0 0
1.75 9990 4 6 0 0
1.875 9990 4 5 1 0
2 9990 4 4 2 0
2.125 9988 6 4 2 0
2.25 9988 6 4 2 0
2.375 9986 8 4 2 0
2.5 9986 7 5 2 0
2.625 9986 5 7 2 0
2.75 9986 4 8 2 0
2.875 9985 5 8 2 0
3 9984 5 9 2 0
3.125 9982 7 9 2 0
3.25 9980 9 9 2 0
3.375 9978 10 10 2 0
3.5 9972 16 10 2 0
3.625 9969 18 11 2 0
3.75 9968 17 12 3 0
3.875 9962 23 12 3 0
4 9957 27 13 3 0
4.125 9955 28 13 4 0
4.25 9952 29 14 5 0
4.375 9949 30 16 5 0
4.5 9943 36 15 6 0
4.625 9940 38 16 6 0
4.75 9936 40 17 7 0
4.875 9934 41 18 7 0
5 9919 54 20 7 0
5.125 9894 78 21 7 0
5.25 9881 88 24 7 0
5.375 9866 99 28 7 0
5.5 9843 116 34 7 0
5.625 9828 121 43 8 0
5.75 9817 124 51 8 0
5.875 9787 145 58 10 0
6 9762 157 69 12 0
6.125 9731 180 76 13 0
6.25 9701 199 86 14 0
6.375 9674 206 103 17 0
6.5 9626 240 114 20 0
6.625 9589 259 130 22 0
6.75 9553 279 144 24 0
6.875 9506 313 155 26 0
7 9459 333 178 30 0
7.125 9367 403 196 34 0
7.25 9287 451 225 37 0
7.375 9199 521 238 42 0
7.5 9144 545 264 47 0
7.625 9076 578 293 53 0
7.75 9018 587 337 58 0
7.875 8935 632 365 68 0
8 8864 660 403 73 0
8.125 8771 704 440 85 0
8.25 8676 762 468 94 0
8.375 8580 813 504 103 0
8.5 8500 851 541 108 0
8.625 8394 898 590 118 0
8.75 8307 931 631 131 0
8.875 8220 957 678 144 1
9 8121 992 733 152 2
9.125 8027 1031 771 169 2
9.25 7936 1053 824 184 3
9.375 7828 1084 883 201 4
9.5 7726 1110 942 218 4
9.625 7612 1147 1002 235 4
9.75 7500 1175 1067 254 4
9.875 7346 1247 1124 279 4
10 7245 1271 1184 295 5
10.125 7133 1314 1229 319 5
10.25 6997 1363 1291 344 5
10.375 6855 1421 1350 368 6
10.5 6723 1450 1430 391 6
10.625 6601 1484 1498 411 6
10.75 6468 1540 1540 446 6
10.875 6352 1555 1610 477 6
11 6230 1592 1655 516 7
11.125 6095 1631 1727 540 7
11.25 5964 1644 1808 576 8
11.375 5853 1655 1870 614 8
11.5 5715 1685 1940 652 8
11.625 5573 1720 2003 696 8
11.75 5457 1738 2059 738 8
11.875 5320 1755 2144 773 8
12 5180 1798 2193 821 8
12.125 5053 1814 2265 859 9
12.25 4932 1839 2309 910 10
12.375 4814 1854 2357 964 11
12.5 4702 1843 2430 1014 11
12.625 4601 1830 2490 1066 13
12.75 4478 1821 2574 1114 13
12.875 4380 1786 2652 1168 14
13 4270 1763 2738 1214 15
13.125 4145 1765 2805 1270 15
13.25 4049 1750 2848 1338 15
13.375 3935 1765 2891 1394 15
13.5 3847 1721 2969 1445 18
13.625 3739 1711 3021 1510 19
13.75 3648 1699 3056 1578 19
13.875 3559 1674 3112 1634 21
14 3462 1657 3160 1699 22
14.125 3364 1641 3220 1753 22
14.25 3291 1614 3247 1824 24
14.375 3211 1606 3244 1913 26
14.5 3136 1565 3305 1968 26
14.625 3054 1556 3329 2033 28
14.75 2971 1536 3366 2097 30
14.875 2888 1529 3378 2174 31
15 2823 1504 3389 2252 32
15.125 2750 1479 3422 2316 33
15.25 2668 1471 3434 2391 36
15.375 2608 1444 3454 2455 39
15.5 2545 1410 3472 2534 39
15.625 2469 1381 3498 2609 43
15.75 2410 1355 3502 2689 44
15.875 2365 1324 3513 2754 44
16 2309 1298 3520 2829 44
16.125 2260 1264 3529 2902 45
16.25 2220 1228 3520 2985 47
16.375 2173 1205 3518 3057 47
16.5 2125 1177 3528 3122 48
16.625 2083 1145 3523 3201 48
16.75 2044 1122 3525 3261 48
16.875 2000 1097 3521 3334 48
17 1946 1077 3513 3416 48
17.125 1904 1050 3509 3488 49
17.25 1864 1018 3510 3559 49
17.375 1831 989 3498 3633 49
17.5 1793 963 3486 3708 50
17.625 1753 945 3463 3789 50
17.75 1723 920 3446 3860 51
17.875 1695 883 3442 3927 53
18 1661 865 3412 4009 53
18.125 1634 835 3387 4091 53
18.25 1614 806 3373 4152 55
18.375 1586 777 3366 4215 56
18.5 1551 767 3354 4272 56
18.625 1537 736 3335 4336 56
18.75 1504 728 3304 4407 57
18.875 1480 703 3287 4473 57
19 1452 690 3252 4549 57
19.125 1425 673 3241 4604 57
19.25 1398 663 3198 4682 59
19.375 1380 627 3178 4753 62
19.5 1362 604 3164 4806 64
19.625 1338 577 3149 4872 64
19.75 1315 572 3113 4934 66
19.875 1301 549 3080 5003 67
20 1277 529 3063 5064 67
20.125 1255 512 3038 5128 67
20.25 1239 496 2991 5207 67
20.375 1216 484 2966 5267 67
20.5 1195 476 2947 5315 67
20.625 1175 462 2919 5377 67
20.75 1158 452 2888 5435 67
20.875 1136 451 2863 5483 67
21 1121 432 2856 5524 67
21.125 1102 420 2841 5570 67
21.25 1087 412 2792 5641 68
21.375 1072 390 2776 5694 68
21.5 1053 389 2743 5746 69
21.625 1035 382 2707 5807 69
21.75 1021 372 2675 5863 69
21.875 1003 368 2629 5930 70
