t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9998 0 2 0 0
0.375 9998 0 2 0 0
0.5 9998 0 2 0 0
0.625 9998 0 2 0 0
0.75 9998 0 2 0 0
0.875 9998 0 2 0 0
1 9998 0 2 0 0
1.125 9998 0 2 0 0
1.25 9998 0 2 0 0
1.375 9998 0 2 0 0
1.5 9998 0 2 0 0
1.625 9998 0 1 1 0
1.75 9998 0 1 1 0
1.875 9998 0 1 1 0
2 9998 0 1 1 0
2.125 9998 0 1 1 0
2.25 9998 0 1 1 0
2.375 9997 1 1 1 0
2.5 9997 1 1 1 0
2.625 9997 1 1 1 0
2.75 9997 1 1 1 0
2.875 9997 1 1 1 0
3 9997 1 1 1 0
3.125 9997 1 1 1 0
3.25 9997 1 1 1 0
3.375 9997 1 1 1 0
3.5 9997 1 1 1 0
3.625 9997 1 1 1 0
3.75 9996 2 1 1 0
3.875 9996 2 1 1 0
4 9996 2 1 1 0
4.125 9996 2 1 1 0
4.25 9996 2 1 1 0
4.375 9996 2 1 1 0
4.5 9996 1 2 1 0
4.625 9994 3 2 1 0
4.75 9992 5 2 1 0
4.875 9990 7 2 1 0
5 9989 8 2 1 0
5.125 9989 8 2 1 0
5.25 9989 6 4 1 0
5.375 9987 6 5 2 0
5.5 9987 5 5 3 0
5.625 9987 5 5 3 0
5.75 9987 5 5 3 0
5.875 9987 4 6 3 0
6 9985 5 7 3 0
6.125 9983 7 7 3 0
6.25 9981 9 7 3 0
6.375 9980 9 8 3 0
6.5 9980 9 8 3 0
6.625 9980 9 8 3 0
6.75 9979 10 8 3 0
6.875 9977 12 8 3 0
7 9975 13 9 3 0
7.125 9974 14 8 4 0
7.25 9971 16 9 4 0
7.375 9970 16 10 4 0
7.5 9969 15 12 4 0
7.625 9968 15 12 5 0
7.75 9967 16 12 5 0
7.875 9966 15 13 6 0
8 9955 26 13 6 0
8.125 9941 39 14 6 0
8.25 9932 45 17 6 0
8.375 9921 51 22 6 0
8.5 9907 61 24 8 0
