t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9997 1 2 0 0
0.875 9997 1 2 0 0
1 9997 1 2 0 0
1.125 9997 1 2 0 0
1.25 9997 1 2 0 0
1.375 9997 1 2 0 0
1.5 9996 2 2 0 0
1.625 9996 2 2 0 0
1.75 9996 2 2 0 0
1.875 9996 2 2 0 0
2 9996 2 2 0 0
2.125 9996 2 2 0 0
2.25 9996 2 2 0 0
2.375 9995 3 2 0 0
2.5 9995 2 3 0 0
2.625 9995 2 3 0 0
2.75 9995 2 3 0 0
2.875 9995 2 3 0 0
3 9995 2 3 0 0
3.125 9995 2 3 0 0
3.25 9995 2 3 0 0
3.375 9995 2 3 0 0
3.5 9995 2 3 0 0
3.625 9995 2 3 0 0
3.75 9995 2 2 1 0
3.875 9995 2 2 1 0
4 9995 2 2 1 0
4.125 9995 2 2 1 0
4.25 9995 2 2 1 0
4.375 9995 2 2 1 0
4.5 9995 1 3 1 0
4.625 9995 1 3 1 0
4.75 9994 2 3 1 0
4.875 9991 4 4 1 0
5 9990 5 4 1 0
5.125 9988 7 4 1 0
5.25 9985 10 4 1 0
5.375 9985 9 4 2 0
5.5 9983 9 6 2 0
5.625 9982 9 7 2 0
5.75 9977 12 9 2 0
5.875 9965 23 10 2 0
6 9958 28 12 2 0
6.125 9954 29 15 2 0
6.25 9947 34 17 2 0
6.375 9937 44 17 2 0
6.5 9930 47 21 2 0
6.625 9921 54 22 3 0
6.75 9913 60 24 3 0
6.875 9905 67 25 3 0
7 9894 75 28 3 0
7.125 9884 81 31 4 0
7.25 9874 85 37 4 0
7.375 9865 91 38 6 0
7.5 9855 98 39 8 0
7.625 9845 103 44 8 0
7.75 9838 107 46 9 0
7.875 9825 115 50 10 0
8 9810 123 55 12 0
8.125 9791 131 65 13 0
8.25 9766 148 71 15 0
8.375 9754 146 84 16 0
8.5 9733 160 87 20 0
8.625 9716 166 94 24 0
8.75 9697 177 100 26 0
8.875 9674 184 116 26 0
9 9650 200 121 29 0
9.125 9626 206 137 31 0
9.25 9580 249 136 35 0
9.375 9543 264 155 38 0
9.5 9502 283 174 41 0
9.625 9464 314 177 45 0
9.75 9418 346 188 48 0
9.875 9380 367 204 49 0
10 9335 390 218 57 0
10.125 9289 413 236 62 0
10.25 9246 428 262 64 0
10.375 9192 453 284 71 0
10.5 9122 494 308 76 0
10.625 9061 513 345 81 0
10.75 8986 551 376 87 0
10.875 8895 606 402 97 0
11 8806 662 428 104 0
11.125 8736 703 447 114 0
11.25 8631 764 483 122 0
11.375 8515 839 515 131 0
11.5 8433 880 550 137 0
11.625 8343 907 598 152 0
11.75 8253 943 638 166 0
11.875 8130 1001 690 179 0
12 8010 1057 736 197 0
12.125 7886 1113 792 209 0
12.25 7771 1152 856 221 0
12.375 7632 1232 888 248 0
12.5 7509 1268 953 270 0
12.625 7379 1318 1014 289 0
12.75 7235 1367 1086 312 0
12.875 7122 1386 1160 332 0
13 6974 1444 1224 358 0
13.125 6843 1509 1262 386 0
13.25 6706 1548 1325 421 0
13.375 6590 1558 1406 444 2
13.5 6449 1608 1469 472 2
13.625 6312 1644 1542 500 2
13.75 6178 1667 1615 538 2
13.875 6048 1688 1699 563 2
14 5920 1690 1794 594 2
14.125 5802 1707 1859 629 3
14.25 5661 1745 1930 661 3
14.375 5509 1808 1978 700 5
14.5 5401 1821 2030 743 5
14.625 5268 1831 2104 792 5
14.75 5140 1834 2183 837 6
14.875 4993 1861 2253 886 7
15 4873 1882 2308 929 8
15.125 4753 1890 2384 965 8
15.25 4632 1885 2458 1017 8
15.375 4502 1899 2503 1088 8
15.5 4378 1908 2560 1146 8
15.625 4263 1910 2623 1196 8
15.75 4146 1917 2669 1259 9
15.875 4047 1883 2740 1321 9
16 3943 1870 2808 1368 11
16.125 3839 1859 2864 1427 11
16.25 3733 1840 2934 1481 12
16.375 3616 1831 2996 1545 12
16.5 3513 1820 3060 1594 13
16.625 3417 1814 3095 1660 14
16.75 3330 1781 3153 1720 16
16.875 3228 1792 3180 1783 17
17 3154 1765 3218 1845 18
17.125 3075 1736 3258 1913 18
17.25 3004 1687 3324 1965 20
17.375 2924 1655 3368 2031 22
17.5 2863 1604 3419 2092 22
17.625 2799 1572 3446 2160 23
17.75 2706 1567 3482 2222 23
17.875 2627 1541 3522 2286 24
18 2552 1508 3553 2363 24
18.125 2484 1468 3584 2438 26
18.25 2416 1446 3593 2518 27
18.375 2359 1426 3588 2599 28
18.5 2291 1419 3589 2673 28
18.625 2225 1411 3587 2748 29
18.75 2163 1389 3606 2813 29
18.875 2103 1371 3595 2902 29
19 2050 1341 3606 2974 29
19.125 2003 1298 3631 3038 30
19.25 1947 1265 3646 3111 31
19.375 1911 1241 3635 3181 32
19.5 1859 1216 3655 3237 33
19.625 1804 1193 3651 3319 33
19.75 1749 1178 3637 3401 35
19.875 1719 1147 3616 3482 36
20 1684 1101 3620 3559 36
20.125 1638 1080 3616 3630 36
20.25 1590 1071 3609 3692 38
20.375 1544 1036 3621 3761 38
20.5 1505 1011 3589 3857 38
20.625 1478 976 3572 3935 39
20.75 1456 938 3545 4021 40
20.875 1413 920 3529 4098 40
21 1385 884 3523 4168 40
21.125 1349 873 3503 4234 41
21.25 1309 864 3489 4296 42
21.375 1284 825 3468 4379 44
21.5 1252 810 3439 4453 46
21.625 1224 791 3412 4527 46
21.75 1203 770 3385 4595 47
21.875 1177 752 3336 4687 48
22 1153 728 3310 4760 49
22.125 1132 701 3287 4831 49
