t S E I R D
0 9998 0 2 0 0
0.125 9997 1 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9997 1 2 0 0
0.625 9997 1 2 0 0
0.75 9996 2 2 0 0
0.875 9996 1 3 0 0
1 9996 1 3 0 0
1.125 9994 3 3 0 0
1.25 9993 4 3 0 0
1.375 9989 8 3 0 0
1.5 9985 11 4 0 0
1.625 9983 12 4 1 0
1.75 9979 16 4 1 0
1.875 9968 25 5 2 0
2 9967 24 6 3 0
2.125 9959 32 6 3 0
2.25 9956 33 7 4 0
2.375 9953 31 12 4 0
2.5 9950 33 13 4 0
2.625 9949 32 15 4 0
2.75 9946 34 16 4 0
2.875 9943 35 18 4 0
3 9936 41 19 4 0
3.125 9934 42 20 4 0
3.25 9929 45 21 5 0
3.375 9926 46 23 5 0
3.5 9925 47 23 5 0
3.625 9918 50 26 6 0
3.75 9913 50 31 6 0
3.875 9908 49 37 6 0
4 9907 47 40 6 0
4.125 9906 48 40 6 0
4.25 9898 51 44 7 0
4.375 9892 53 47 8 0
4.5 9882 61 48 9 0
4.625 9869 69 53 9 0
4.75 9861 73 57 9 0
4.875 9852 77 60 11 0
5 9833 93 63 11 0
5.125 9818 100 70 12 0
5.25 9803 110 73 14 0
5.375 9782 118 85 15 0
5.5 9768 123 94 15 0
5.625 9746 137 100 17 0
5.75 9692 178 111 19 0
5.875 9628 232 119 21 0
6 9577 267 135 21 0
6.125 9508 318 152 22 0
6.25 9460 347 167 26 0
6.375 9402 380 187 31 0
6.5 9348 411 204 37 0
6.625 9290 444 227 39 0
6.75 9222 489 245 44 0
6.875 9164 521 266 49 0
7 9105 555 282 58 0
7.125 9056 567 310 67 0
7.25 8974 611 341 74 0
7.375 8904 647 366 83 0
7.5 8829 674 409 88 0
7.625 8746 716 440 98 0
7.75 8663 753 480 104 0
7.875 8576 793 514 117 0
8 8471 854 540 135 0
8.125 8374 902 581 143 0
8.25 8278 936 626 160 0
8.375 8181 980 661 177 1
8.5 8169 929 715 186 1
8.625 8161 894 750 194 1
8.75 8151 842 805 201 1
8.875 8140 791 836 231 2
9 8130 739 879 248 4
9.125 8127 684 915 270 4
9.25 8118 650 942 286 4
9.375 8113 614 967 302 4
9.5 8111 581 982 321 5
9.625 8108 545 1002 339 6
9.75 8106 505 1026 356 7
9.875 8106 478 1024 385 7
10 8102 438 1041 411 8
10.125 8102 407 1053 430 8
10.25 8102 374 1067 449 8
10.375 8102 350 1075 465 8
10.5 8098 330 1075 487 10
10.625 8098 313 1072 505 12
10.75 8095 300 1069 524 12
10.875 8094 282 1069 543 12
11 8093 274 1056 565 12
11.125 8092 256 1056 584 12
11.25 8088 236 1062 602 12
11.375 8085 229 1049 625 12
11.5 8082 216 1048 642 12
11.625 8080 206 1039 663 12
11.75 8078 196 1028 686 12
11.875 8076 184 1024 703 13
12 8076 174 1014 723 13
12.125 8076 163 1005 741 15
12.25 8075 154 994 762 15
12.375 8074 146 985 779 16
12.5 8074 138 972 800 16
12.625 8074 130 969 811 16
12.75 8072 126 953 833 16
12.875 8072 120 939 853 16
13 8071 118 920 875 16
13.125 8069 114 903 898 16
13.25 8068 109 890 917 16
13.375 8068 103 883 930 16
13.5 8067 96 869 952 16
13.625 8064 93 856 971 16
13.75 8064 89 835 995 17
13.875 8064 81 827 1011 17
14 8063 77 816 1027 17
14.125 8062 73 806 1040 19
14.25 8061 74 798 1048 19
14.375 8060 71 784 1066 19
14.5 8056 71 774 1080 19
14.625 8056 68 755 1102 19
14.75 8056 62 735 1128 19
14.875 8056 58 727 1140 19
15 8056 55 719 1151 19
15.125 8056 53 711 1161 19
15.25 8055 51 697 1177 20
15.375 8055 47 688 1190 20
15.5 8055 43 677 1205 20
15.625 8055 40 664 1221 20
15.75 8054 36 647 1243 20
15.875 8053 34 642 1251 20
16 8053 31 626 1270 20
16.125 8053 30 617 1280 20
16.25 8053 27 606 1294 20
16.375 8053 26 591 1310 20
16.5 8053 26 579 1322 20
16.625 8052 24 563 1341 20
16.75 8052 23 555 1350 20
16.875 8052 19 547 1362 20
17 8052 18 541 1369 20
17.125 8052 17 532 1379 20
17.25 8052 15 519 1394 20
17.375 8052 12 512 1404 20
17.5 8052 12 500 1416 20
17.625 8051 12 493 1424 20
17.75 8051 8 484 1437 20
17.875 8051 8 470 1451 20
18 8051 8 457 1464 20
18.125 8050 9 448 1473 20
18.25 8050 8 440 1482 20
18.375 8050 7 432 1491 20
18.5 8050 6 421 1503 20
18.625 8050 5 412 1513 20
18.75 8050 5 406 1519 20
18.875 8050 5 398 1527 20
19 8050 5 390 1535 20
19.125 8050 4 379 1547 20
19.25 8050 4 372 1554 20
19.375 8050 3 366 1561 20
19.5 8049 4 357 1570 20
19.625 8049 4 347 1580 20
19.75 8048 5 342 1585 20
19.875 8048 5 340 1587 20
20 8048 5 324 1602 21
20.125 8048 5 314 1612 21
20.25 8048 5 305 1621 21
20.375 8048 5 297 1629 21
20.5 8047 6 291 1635 21
20.625 8047 5 287 1640 21
20.75 8047 4 281 1647 21
20.875 8047 4 275 1653 21
21 8047 4 269 1659 21
21.125 8046 5 263 1665 21
21.25 8046 4 260 1669 21
21.375 8046 3 256 1674 21
21.5 8046 3 248 1682 21
21.625 8045 3 243 1688 21
21.75 8045 3 240 1691 21
21.875 8045 3 235 1696 21
22 8045 3 232 1699 21
22.125 8045 3 226 1705 21
22.25 8045 2 222 1710 21
22.375 8045 2 213 1719 21
22.5 8045 2 211 1721 21
22.625 8045 2 210 1722 21
22.75 8045 2 204 1728 21
22.875 8045 2 204 1728 21
23 8045 2 201 1731 21
23.125 8045 2 196 1736 21
