t S E I R D
0 9998 0 2 0 0
0.125 9998 0 2 0 0
0.25 9997 1 2 0 0
0.375 9997 1 2 0 0
0.5 9996 2 1 1 0
0.625 9996 2 1 1 0
0.75 9996 2 1 1 0
0.875 9996 2 1 1 0
1 9996 2 1 1 0
1.125 9995 2 2 1 0
1.25 9995 2 2 1 0
1.375 9995 2 2 1 0
1.5 9995 2 2 1 0
1.625 9994 3 2 1 0
1.75 9993 4 2 1 0
1.875 9992 5 2 1 0
2 9992 5 2 1 0
2.125 9992 4 3 1 0
2.25 9991 4 4 1 0
2.375 9990 5 4 1 0
2.5 9990 5 3 2 0
2.625 9989 6 2 3 0
2.75 9989 6 2 3 0
2.875 9987 7 3 3 0
3 9986 8 3 3 0
3.125 9986 8 3 3 0
3.25 9986 7 4 3 0
3.375 9986 7 4 3 0
3.5 9986 6 5 3 0
3.625 9986 6 5 3 0
3.75 9986 5 6 3 0
3.875 9986 5 6 3 0
4 9986 2 9 3 0
4.125 9984 4 9 3 0
4.25 9982 6 9 3 0
4.375 9980 7 10 3 0
4.5 9980 7 10 3 0
4.625 9979 8 10 3 0
4.75 9976 11 10 3 0
4.875 9973 14 10 3 0
5 9968 19 10 3 0
5.125 9962 24 11 3 0
5.25 9960 26 11 3 0
5.375 9958 27 10 5 0
5.5 9956 28 11 5 0
5.625 9954 29 11 6 0
5.75 9954 27 13 6 0
5.875 9953 26 15 6 0
6 9949 29 16 6 0
6.125 9946 29 19 6 0
6.25 9943 29 21 7 0
6.375 9941 30 22 7 0
6.5 9938 28 26 8 0
6.625 9926 38 26 10 0
6.75 9921 41 28 10 0
6.875 9915 47 26 12 0
7 9905 55 27 13 0
7.125 9892 65 30 13 0
7.25 9885 69 32 14 0
7.375 9877 73 36 14 0
7.5 9857 91 36 16 0
7.625 9843 101 38 18 0
7.75 9832 107 41 20 0
7.875 9817 116 47 20 0
8 9805 123 49 23 0
8.125 9775 147 54 24 0
8.25 9759 158 58 25 0
8.375 9750 159 66 25 0
8.5 9726 175 72 27 0
