t S E I R D
0 98 0 2 0 0
0.125 98 0 2 0 0
0.25 97 1 2 0 0
0.375 97 1 2 0 0
0.5 96 2 2 0 0
0.625 96 2 2 0 0
0.75 96 2 2 0 0
0.875 96 2 2 0 0
1 96 2 2 0 0
1.125 96 2 2 0 0
1.25 96 2 2 0 0
1.375 96 2 2 0 0
1.5 96 2 2 0 0
1.625 96 2 2 0 0
1.75 96 2 2 0 0
1.875 96 2 2 0 0
2 96 2 2 0 0
2.125 96 2 2 0 0
2.25 96 1 3 0 0
2.375 95 2 3 0 0
2.5 94 3 3 0 0
2.625 93 3 4 0 0
2.75 92 4 4 0 0
2.875 92 4 4 0 0
3 92 4 4 0 0
3.125 92 3 5 0 0
3.25 91 3 6 0 0
3.375 88 5 7 0 0
3.5 88 4 7 1 0
3.625 88 3 8 1 0
3.75 88 3 8 1 0
3.875 88 3 8 1 0
4 85 6 8 1 0
4.125 83 8 8 1 0
4.25 83 6 10 1 0
4.375 82 6 11 1 0
4.5 82 6 11 1 0
4.625 82 6 11 1 0
4.75 80 7 12 1 0
4.875 80 6 12 2 0
5 80 6 12 2 0
5.125 80 5 12 3 0
5.25 80 5 12 3 0
5.375 77 8 12 3 0
5.5 77 8 12 3 0
5.625 75 10 12 3 0
5.75 74 10 12 4 0
5.875 71 12 13 4 0
6 70 11 15 4 0
6.125 70 11 15 4 0
6.25 69 12 14 5 0
6.375 68 12 14 6 0
6.5 68 11 15 6 0
6.625 65 11 18 6 0
6.75 64 12 17 7 0
6.875 64 12 17 7 0
7 64 11 17 8 0
7.125 63 11 17 9 0
7.25 61 13 17 9 0
7.375 61 12 17 10 0
7.5 61 11 18 10 0
7.625 60 10 19 11 0
7.75 59 11 19 11 0
7.875 56 13 17 14 0
8 55 13 18 14 0
8.125 54 13 18 15 0
8.25 54 13 17 16 0
8.375 53 13 18 16 0
8.5 53 13 18 16 0
8.625 51 15 18 16 0
8.75 51 15 18 16 0
8.875 50 15 18 17 0
9 50 10 23 17 0
9.125 49 11 22 18 0
9.25 49 11 22 18 0
9.375 47 12 23 18 0
9.5 47 11 23 19 0
9.625 46 12 23 19 0
9.75 42 16 23 19 0
9.875 41 16 24 19 0
10 40 17 23 20 0
10.125 39 18 23 20 0
10.25 38 18 23 21 0
10.375 37 19 23 21 0
10.5 37 17 24 22 0
10.625 37 17 24 22 0
10.75 36 17 23 24 0
10.875 36 15 24 25 0
11 36 15 23 26 0
11.125 35 16 23 26 0
11.25 34 17 23 26 0
11.375 33 15 26 26 0
11.5 33 14 27 26 0
11.625 33 14 27 26 0
11.75 33 14 26 27 0
11.875 33 14 25 28 0
12 31 15 26 28 0
12.125 30 16 26 28 0
12.25 29 17 26 28 0
12.375 29 17 26 28 0
12.5 29 17 26 28 0
12.625 29 17 24 30 0
12.75 29 17 24 30 0
12.875 28 16 25 31 0
13 28 16 25 31 0
13.125 28 13 28 31 0
13.25 28 13 28 31 0
13.375 28 13 27 32 0
13.5 28 12 27 33 0
13.625 28 11 28 33 0
13.75 26 12 29 33 0
13.875 25 12 30 33 0
14 24 11 32 33 0
14.125 22 13 32 33 0
14.25 22 12 33 33 0
14.375 20 14 33 33 0
14.5 20 14 33 33 0
14.625 20 14 32 34 0
14.75 20 14 31 35 0
14.875 19 13 33 35 0
15 19 13 33 35 0
15.125 18 13 33 36 0
15.25 16 14 33 37 0
15.375 14 14 34 38 0
15.5 14 12 35 39 0
15.625 14 12 34 40 0
15.75 14 12 33 41 0
15.875 14 10 35 41 0
16 14 10 33 43 0
16.125 13 11 32 44 0
16.25 13 11 30 46 0
16.375 12 11 31 46 0
16.5 10 11 33 46 0
16.625 10 10 33 47 0
16.75 10 10 32 48 0
16.875 10 10 30 50 0
17 10 10 30 50 0
17.125 10 10 30 50 0
17.25 9 10 29 52 0
17.375 9 8 30 53 0
17.5 9 8 28 55 0
17.625 9 8 27 56 0
17.75 9 6 28 57 0
17.875 9 6 27 58 0
18 9 6 26 59 0
18.125 9 6 26 59 0
18.25 8 7 26 59 0
18.375 8 6 27 59 0
18.5 8 6 24 62 0
18.625 8 5 24 63 0
18.75 8 5 23 64 0
18.875 8 4 24 64 0
19 8 3 25 64 0
19.125 8 3 25 64 0
19.25 8 3 24 65 0
19.375 8 3 24 65 0
19.5 7 4 23 66 0
19.625 7 3 24 66 0
19.75 7 3 24 66 0
19.875 7 3 23 67 0
20 7 3 22 68 0
20.125 7 3 22 68 0
20.25 7 3 21 69 0
20.375 7 3 21 69 0
20.5 7 3 21 69 0
20.625 7 3 21 69 0
20.75 7 3 20 70 0
20.875 7 3 18 72 0
21 7 3 17 73 0
21.125 6 4 16 74 0
21.25 6 4 15 75 0
21.375 6 4 15 75 0
21.5 6 4 14 76 0
21.625 6 4 13 77 0
21.75 6 3 14 77 0
21.875 6 3 14 77 0
22 6 3 12 79 0
22.125 6 3 12 79 0
22.25 6 3 12 79 0
22.375 6 3 12 79 0
22.5 6 3 12 79 0
22.625 6 3 12 79 0
22.75 6 3 12 79 0
22.875 6 3 10 81 0
23 6 3 10 81 0
23.125 6 3 10 81 0
23.25 6 3 10 81 0
23.375 6 3 10 81 0
23.5 6 2 11 81 0
23.625 6 2 11 81 0
23.75 6 2 10 82 0
23.875 6 2 10 82 0
24 6 2 10 82 0
24.125 6 2 10 82 0
24.25 6 2 10 82 0
24.375 6 2 10 82 0
24.5 6 2 10 82 0
24.625 6 2 10 82 0
24.75 6 2 10 82 0
24.875 6 2 10 82 0
25 6 2 10 82 0
25.125 6 1 11 82 0
25.25 6 1 11 82 0
25.375 6 1 10 83 0
25.5 6 1 10 83 0
25.625 6 1 10 83 0
25.75 6 1 10 83 0
25.875 6 1 10 83 0
26 6 1 10 83 0
26.125 6 1 10 83 0
26.25 6 1 10 83 0
26.375 6 1 10 83 0
26.5 6 1 10 83 0
26.625 6 1 10 83 0
26.75 6 1 10 83 0
26.875 6 1 10 83 0
27 6 1 10 83 0
27.125 6 1 9 84 0
27.25 6 1 9 84 0
27.375 6 1 9 84 0
27.5 6 1 9 84 0
27.625 6 1 9 84 0
27.75 6 1 9 84 0
27.875 6 1 9 84 0
28 6 1 9 84 0
28.125 6 1 9 84 0
28.25 6 1 8 85 0
28.375 6 1 8 85 0
28.5 6 1 8 85 0
28.625 6 1 8 85 0
28.75 6 1 7 86 0
28.875 6 1 7 86 0
29 6 1 7 86 0
29.125 6 1 7 86 0
29.25 6 1 7 86 0
29.375 6 1 6 87 0
29.5 6 1 6 87 0
29.625 6 1 6 87 0
29.75 6 1 6 87 0
29.875 6 1 6 87 0
30 6 1 6 87 0
30.125 6 1 6 87 0
30.25 6 1 6 87 0
30.375 6 1 6 87 0
30.5 6 1 6 87 0
30.625 6 1 6 87 0
30.75 6 1 6 87 0
30.875 6 1 6 87 0
31 6 1 6 87 0
31.125 6 1 6 87 0
31.25 6 1 6 87 0
31.375 6 1 6 87 0
31.5 6 1 6 87 0
31.625 6 1 6 87 0
31.75 6 1 6 87 0
31.875 6 1 6 87 0
32 6 1 6 87 0
32.125 6 1 6 87 0
32.25 6 1 5 88 0
32.375 6 1 5 88 0
32.5 6 1 5 88 0
32.625 6 1 5 88 0
32.75 6 1 5 88 0
32.875 6 1 5 88 0
33 6 1 5 88 0
33.125 6 1 5 88 0
33.25 6 1 5 88 0
33.375 6 1 5 88 0
33.5 6 0 6 88 0
33.625 6 0 6 88 0
33.75 6 0 6 88 0
33.875 6 0 6 88 0
34 6 0 6 88 0
34.125 6 0 6 88 0
34.25 6 0 6 88 0
34.375 6 0 5 89 0
34.5 6 0 5 89 0
34.625 6 0 4 90 0
